The Cdc6 protein is ubiquitinated in vivo for proteolysis in Saccharomyces cerevisiae.	"Cdc6	4	8	Gene_or_gene_product"	"[{""token"": ""Cdc6"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
The timing of their activation is determined by their post - translational modifications ( phosphorylations / dephosphorylations), and by the association of a protein called cyclin, which is the regulatory subunit of the kinase complex.	"cyclin	174	180	Gene_or_gene_product"	"[{""token"": ""cyclin"", ""start_span"": 174, ""end_span"": 180, ""type"": ""Gene_or_gene_product""}]"
The cyclin family is divided into two main classes.	"cyclin	4	10	Gene_or_gene_product"	"[{""token"": ""cyclin"", ""start_span"": 4, ""end_span"": 10, ""type"": ""Gene_or_gene_product""}]"
Each of the major components of this mechanism may become deregulated in cancer, and accumulating evidence points to the ' pRb pathway ' as a candidate obligatory target in multistep oncogenesis of possibly all human tumor types.	"pRb	123	126	Gene_or_gene_product"	"[{""token"": ""pRb"", ""start_span"": 123, ""end_span"": 126, ""type"": ""Gene_or_gene_product""}]"
The Rb / chromatin connection and epigenetic control: opinion.	"Rb	4	6	Gene_or_gene_product"	"[{""token"": ""Rb"", ""start_span"": 4, ""end_span"": 6, ""type"": ""Gene_or_gene_product""}]"
The G1 / S transition is orchestrated by the transcription factor E2F.	"E2F	66	69	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 66, ""end_span"": 69, ""type"": ""Gene_or_gene_product""}]"
E2F controls the expression of a group of checkpoint genes whose products are required either for the G1 - to - S transition itself or for DNA replication ( e. g. DNA polymerase alpha).	"E2F	0	3	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
E2F activity is repressed in growth - arrested cells and in early G1, and is activated at mid - to - late G1.	"E2F	0	3	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
Expression of TLR2 renders HMEC responsive to all these ligands.	"TLR2	14	18	Gene_or_gene_product"	"[{""token"": ""TLR2"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Gene_or_gene_product""}]"
These effects were also noted on other leukemic cell lines that express PML but not the fusion transcript.	"PML	72	75	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 72, ""end_span"": 75, ""type"": ""Gene_or_gene_product""}]"
Phosphorylation of I kappa Bs - - the cytoplasmic inhibitors of the NF - kappa B transcription factors - - is the key event which triggers activation of the NF - kappa B cascade.	"I kappa Bs	19	29	Gene_or_gene_product"	"[{""token"": ""I kappa Bs"", ""start_span"": 19, ""end_span"": 29, ""type"": ""Gene_or_gene_product""}]"
Signal - mediated phosphorylation of I kappa B alpha is mediated by a multiprotein complex, the I kappa B kinase ( IKK) complex, which is composed of at least three identified subunits.	"I kappa B alpha	37	52	Gene_or_gene_product"	"[{""token"": ""I kappa B alpha"", ""start_span"": 37, ""end_span"": 52, ""type"": ""Gene_or_gene_product""}]"
This study demonstrates the efficacy of Delta C - IKK gamma as a repressor of IKK signaling and NF - kappa B activation and suggests a potential gene therapy approach to limit chronic inflammation due to chemokine hyperactivation.	"Delta C - IKK gamma	40	59	Gene_or_gene_product"	"[{""token"": ""Delta C - IKK gamma"", ""start_span"": 40, ""end_span"": 59, ""type"": ""Gene_or_gene_product""}]"
Activation requires phosphorylation of threonine 210 by an upstream kinase as well as a distinct step mediated by the Snf4 subunit.	"Snf4	118	122	Gene_or_gene_product"	"[{""token"": ""Snf4"", ""start_span"": 118, ""end_span"": 122, ""type"": ""Gene_or_gene_product""}]"
Cells lacking the Reg1 protein, a regulatory subunit for the Glc7 phosphatase, showed constitutive phosphorylation of Snf1 threonine 210.	"Reg1	18	22	Gene_or_gene_product"	"[{""token"": ""Reg1"", ""start_span"": 18, ""end_span"": 22, ""type"": ""Gene_or_gene_product""}]"
Interestingly, Mig1, a downstream target of Snf1 kinase, is phosphorylated in glucose - stressed but not sodium - stressed cells.	"Mig1	15	19	Gene_or_gene_product"	"[{""token"": ""Mig1"", ""start_span"": 15, ""end_span"": 19, ""type"": ""Gene_or_gene_product""}]"
Cells defective in transcription coupled repair ( TCR) maintain high levels of p53 for a prolonged period following UV exposure.	"p53	79	82	Gene_or_gene_product"	"[{""token"": ""p53"", ""start_span"": 79, ""end_span"": 82, ""type"": ""Gene_or_gene_product""}]"
We found that transcription of mdm2 was reduced in TCR - deficient cells.	"mdm2	31	35	Gene_or_gene_product"	"[{""token"": ""mdm2"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Gene_or_gene_product""}]"
The uninducible mdm2 promoter, P1, was more sensitive to the inhibitory effects of UV irradiation than the P2 promoter.	"mdm2	16	20	Gene_or_gene_product"	"[{""token"": ""mdm2"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Gene_or_gene_product""}]"
Here, we show that Kip1p is regulated immediately after anaphase initiation by its rapid degradation.	"Kip1p	19	24	Gene_or_gene_product"	"[{""token"": ""Kip1p"", ""start_span"": 19, ""end_span"": 24, ""type"": ""Gene_or_gene_product""}]"
Degradation also required import of Kip1p into the nucleus, but occurred independently of spindle association.	"Kip1p	36	41	Gene_or_gene_product"	"[{""token"": ""Kip1p"", ""start_span"": 36, ""end_span"": 41, ""type"": ""Gene_or_gene_product""}]"
A mutation that stabilized Kip1p impaired anaphase progression.	"Kip1p	27	32	Gene_or_gene_product"	"[{""token"": ""Kip1p"", ""start_span"": 27, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}]"
A 1794 - bp human core 1 beta3 - Gal - T cDNA sequence was determined by sequencing the expressed sequence tag and performing 5 ' - rapid amplification of cDNA ends.	"core 1 beta3 - Gal - T	18	40	Gene_or_gene_product"	"[{""token"": ""core 1 beta3 - Gal - T"", ""start_span"": 18, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}]"
The core 1 beta3 - Gal - T predicts a 363 - amino acid type II transmembrane protein.	"core 1 beta3 - Gal - T	4	26	Gene_or_gene_product"	"[{""token"": ""core 1 beta3 - Gal - T"", ""start_span"": 4, ""end_span"": 26, ""type"": ""Gene_or_gene_product""}]"
Expression of both the full - length and epitope - tagged soluble forms of the putative enzyme in human 293T cells generated core 1 beta3 - Gal - T activity that transferred galactose from UDP - Gal to GalNAcalpha1 - O - phenyl, and a synthetic glycopeptide with Thr - linked GalNAc and the product was shown to have the core 1 structure.	"core 1 beta3 - Gal - T	125	147	Gene_or_gene_product"	"[{""token"": ""core 1 beta3 - Gal - T"", ""start_span"": 125, ""end_span"": 147, ""type"": ""Gene_or_gene_product""}]"
Northern analysis demonstrated widespread expression of core 1 beta3 - Gal - T in tissues with a predominance in kidney, heart, placenta, and liver.	"core 1 beta3 - Gal - T	56	78	Gene_or_gene_product"	"[{""token"": ""core 1 beta3 - Gal - T"", ""start_span"": 56, ""end_span"": 78, ""type"": ""Gene_or_gene_product""}]"
Hierarchical phosphorylation of the translation inhibitor 4E - BP1.	"4E - BP1	58	66	Gene_or_gene_product"	"[{""token"": ""4E - BP1"", ""start_span"": 58, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}]"
The 4E - BPs inhibit translation in a reversible manner.	"4E - BPs	4	12	Gene_or_gene_product"	"[{""token"": ""4E - BPs"", ""start_span"": 4, ""end_span"": 12, ""type"": ""Gene_or_gene_product""}]"
We reported previously that phosphorylation of 4E - BP1 on Thr 37 and Thr 46 is relatively insensitive to serum deprivation and rapamycin treatment, and that phosphorylation of these residues is required for the subsequent phosphorylation of a set of unidentified serum - responsive sites.	"4E - BP1	47	55	Gene_or_gene_product"	"[{""token"": ""4E - BP1"", ""start_span"": 47, ""end_span"": 55, ""type"": ""Gene_or_gene_product""}]"
Utilizing a novel combination of two - dimensional isoelectric focusing / SDS - PAGE and Western blotting with phosphospecific antibodies, we also establish the order of 4E - BP1 phosphorylation in vivo; phosphorylation of Thr 37 / Thr 46 is followed by Thr 70 phosphorylation, and Ser 65 is phosphorylated last.	"4E - BP1	170	178	Gene_or_gene_product"	"[{""token"": ""4E - BP1"", ""start_span"": 170, ""end_span"": 178, ""type"": ""Gene_or_gene_product""}]"
Phosphorylation of eukaryotic initiation factor 4E markedly reduces its affinity for capped mRNA.	"eukaryotic initiation factor 4E	19	50	Gene_or_gene_product"	"[{""token"": ""eukaryotic initiation factor 4E"", ""start_span"": 19, ""end_span"": 50, ""type"": ""Gene_or_gene_product""}]"
Mitogens and cytokines stimulate the phosphorylation of eIF4E at Ser ( 209), but the functional consequences of this modification have remained a major unresolved question.	"eIF4E	56	61	Gene_or_gene_product"	"[{""token"": ""eIF4E"", ""start_span"": 56, ""end_span"": 61, ""type"": ""Gene_or_gene_product""}]"
Using fluorescence spectroscopy and surface plasmon resonance techniques, we show that phosphorylation of eIF4E markedly reduces its affinity for capped RNA, primarily due to an increased rate of dissociation.	"eIF4E	106	111	Gene_or_gene_product"	"[{""token"": ""eIF4E"", ""start_span"": 106, ""end_span"": 111, ""type"": ""Gene_or_gene_product""}]"
Variant eIF4E proteins harboring negatively charged acidic residues at position 209 also showed decreased binding to capped RNA.	"eIF4E	8	13	Gene_or_gene_product"	"[{""token"": ""eIF4E"", ""start_span"": 8, ""end_span"": 13, ""type"": ""Gene_or_gene_product""}]"
Phosphatidic acid - mediated mitogenic activation of mTOR signaling.	"mTOR	53	57	Gene_or_gene_product"	"[{""token"": ""mTOR"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}]"
We identified phosphatidic acid ( PA) as a critical component of mTOR signaling.	"mTOR	65	69	Gene_or_gene_product"	"[{""token"": ""mTOR"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Gene_or_gene_product""}]"
The adaptor protein Tollip was identified initially as an intermediate in interleukin ( IL) - 1 signaling.	"Tollip	20	26	Gene_or_gene_product"	"[{""token"": ""Tollip"", ""start_span"": 20, ""end_span"": 26, ""type"": ""Gene_or_gene_product""}]"
cHSP60 might stimulate, enhance, and maintain innate immune and inflammatory responses and contribute to atherogenesis.	"cHSP60	0	6	Gene_or_gene_product"	"[{""token"": ""cHSP60"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Gene_or_gene_product""}]"
In this study, we investigated the signaling mechanism of cHSP60.	"cHSP60	58	64	Gene_or_gene_product"	"[{""token"": ""cHSP60"", ""start_span"": 58, ""end_span"": 64, ""type"": ""Gene_or_gene_product""}]"
Collectively, our results indicate that cHSP60 is a potent inducer of vascular EC and macrophage inflammatory responses, which are very relevant to atherogenesis.	"cHSP60	40	46	Gene_or_gene_product"	"[{""token"": ""cHSP60"", ""start_span"": 40, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}]"
The inflammatory effects are mediated through the innate immune receptor complex TLR4 - MD2 and proceeds via the MyD88 - dependent signaling pathway.	"MyD88	113	118	Gene_or_gene_product"	"[{""token"": ""MyD88"", ""start_span"": 113, ""end_span"": 118, ""type"": ""Gene_or_gene_product""}]"
We propose that one function of Cdc14 released by the FEAR network is to stimulate MEN activity.	"Cdc14	32	37	Gene_or_gene_product"	"[{""token"": ""Cdc14"", ""start_span"": 32, ""end_span"": 37, ""type"": ""Gene_or_gene_product""}]"
It is now clear that HSP can and do exit mammalian cells, interact with cells of the immune system, and exert immunoregulatory effects.	"HSP	21	24	Gene_or_gene_product"	"[{""token"": ""HSP"", ""start_span"": 21, ""end_span"": 24, ""type"": ""Gene_or_gene_product""}]"
We recently demonstrated that exogenously added HSP70 possesses potent cytokine activity, with the ability to bind with high affinity to the plasma membrane, elicit a rapid intracellular Ca ( 2 +) flux, activate NF - kappaB, and up - regulate the expression of pro - inflammatory cytokines in human monocytes.	"HSP70	48	53	Gene_or_gene_product"	"[{""token"": ""HSP70"", ""start_span"": 48, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}]"
Recent studies of histone methylation have yielded fundamental new insights pertaining to the role of this modification in gene activation as well as in gene silencing.	"histone	18	25	Gene_or_gene_product"	"[{""token"": ""histone"", ""start_span"": 18, ""end_span"": 25, ""type"": ""Gene_or_gene_product""}]"
While a number of methylation sites are known to occur on histones, only limited information exists regarding the relevant enzymes that mediate these methylation events.	"histones	58	66	Gene_or_gene_product"	"[{""token"": ""histones"", ""start_span"": 58, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}]"
The terminal components of this cascade, two PGE ( 2) synthases ( PGES), have very recently been identified as glutathione - dependent proteins.	"PGES	66	70	Gene_or_gene_product"	"[{""token"": ""PGES"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Gene_or_gene_product""}]"
A second synthase, designated mPGES, is microsomal and can be regulated.	"mPGES	30	35	Gene_or_gene_product"	"[{""token"": ""mPGES"", ""start_span"": 30, ""end_span"": 35, ""type"": ""Gene_or_gene_product""}]"
Dephosphorylation promotes Crz1p nuclear localization in part by increasing the efficiency of its nuclear import.	"Crz1p	27	32	Gene_or_gene_product"	"[{""token"": ""Crz1p"", ""start_span"": 27, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}]"
Therefore, in yeast as in mammals, a docking site is required to target calcineurin to its substrate such that it can dephosphorylate it efficiently.	"calcineurin	72	83	Gene_or_gene_product"	"[{""token"": ""calcineurin"", ""start_span"": 72, ""end_span"": 83, ""type"": ""Gene_or_gene_product""}]"
Both domains of MyD88 are separated by a small intermediate domain ( ID) of unknown function.	"MyD88	16	21	Gene_or_gene_product"	"[{""token"": ""MyD88"", ""start_span"": 16, ""end_span"": 21, ""type"": ""Gene_or_gene_product""}]"
Here, we report the identification of a splice variant of MyD88, termed MyD88 ( S), which encodes for a protein lacking the ID.	"MyD88	58	63	Gene_or_gene_product"	"[{""token"": ""MyD88"", ""start_span"": 58, ""end_span"": 63, ""type"": ""Gene_or_gene_product""}]"
E2F mediates cell cycle - dependent transcriptional repression in vivo by recruitment of an HDAC1 / mSin3B corepressor complex.	"E2F	0	3	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
Key role of the C - lobe of the Cdk.	"Cdk	32	35	Gene_or_gene_product"	"[{""token"": ""Cdk"", ""start_span"": 32, ""end_span"": 35, ""type"": ""Gene_or_gene_product""}]"
This conformational change is selective for the cyclin partner.	"cyclin	48	54	Gene_or_gene_product"	"[{""token"": ""cyclin"", ""start_span"": 48, ""end_span"": 54, ""type"": ""Gene_or_gene_product""}]"
In this study, we used YopP as a tool to dissect survival - and death - inducing pathways in bacteria - faced macrophages.	"YopP	23	27	Gene_or_gene_product"	"[{""token"": ""YopP"", ""start_span"": 23, ""end_span"": 27, ""type"": ""Gene_or_gene_product""}]"
We cotransfected J774A. 1 macrophages with expression plasmids for YopP and dominant - negative mutants of signal transmitters of the NF - kappa B cascade downstream from the LPS receptor complex.	"YopP	67	71	Gene_or_gene_product"	"[{""token"": ""YopP"", ""start_span"": 67, ""end_span"": 71, ""type"": ""Gene_or_gene_product""}]"
These effects of tGPI - mucins may be important in the ensuing immune response to T. cruzi.	"tGPI - mucins	17	30	Gene_or_gene_product"	"[{""token"": ""tGPI - mucins"", ""start_span"": 17, ""end_span"": 30, ""type"": ""Gene_or_gene_product""}]"
Here, we have sought evidence for a role of tGPI - mucins in mediating leukocyte recruitment in vivo.	"tGPI - mucins	44	57	Gene_or_gene_product"	"[{""token"": ""tGPI - mucins"", ""start_span"": 44, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}]"
Maximal recruitment was observed at a dose between 250 and 1250 ng tGPI - mucins.	"tGPI - mucins	67	80	Gene_or_gene_product"	"[{""token"": ""tGPI - mucins"", ""start_span"": 67, ""end_span"": 80, ""type"": ""Gene_or_gene_product""}]"
[ Study of the effects of quercetin on PML gene and protein expression and localization in leukemia cells].	"PML	39	42	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 39, ""end_span"": 42, ""type"": ""Gene_or_gene_product""}]"
OBJECTIVE: To investigate PML gene and protein expression and localization in leukemia cell lines.	"PML	26	29	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 26, ""end_span"": 29, ""type"": ""Gene_or_gene_product""}]"
( 2) After treatment with ATRA, the fusion protein disappeared and PML protein resumed in NB4 cells, while in HL - 60 and K562 cells there was no difference from control cells.	"PML	67	70	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 67, ""end_span"": 70, ""type"": ""Gene_or_gene_product""}]"
( 3) The expression of PML mRNA had no change in all the three cell lines after treatment with ATRA or quercetin.	"PML	23	26	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 23, ""end_span"": 26, ""type"": ""Gene_or_gene_product""}]"
CONCLUSION: PML plays a role of differentiation and apoptosis induction in leukemia cells at the translational level.	"PML	12	15	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 12, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}]"
PML in POD plays a role of apoptosis induction and growth control of leukemia cells.	"PML	0	3	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
Therefore, it is crucial to understand the mechanisms of regulation of Dbf4 expression.	"Dbf4	71	75	Gene_or_gene_product"	"[{""token"": ""Dbf4"", ""start_span"": 71, ""end_span"": 75, ""type"": ""Gene_or_gene_product""}]"
We have identified a 63 - base pair ASK promoter segment, which is sufficient for mediating growth stimulation.	"ASK	36	39	Gene_or_gene_product"	"[{""token"": ""ASK"", ""start_span"": 36, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}]"
Gel shift assays in the presence of an antibody demonstrate the presence of E2F1 in the protein - DNA complexes generated on the MP segment.	"E2F1	76	80	Gene_or_gene_product"	"[{""token"": ""E2F1"", ""start_span"": 76, ""end_span"": 80, ""type"": ""Gene_or_gene_product""}]"
Gel shift assays with point mutant MP fragments indicate that a non - canonical E2F site in the middle of this segment is critical for generation of the E2F complex.	"E2F	80	83	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 80, ""end_span"": 83, ""type"": ""Gene_or_gene_product""}]"
Homeostatic control of uridine and the role of uridine phosphorylase: a biological and clinical update.	"uridine phosphorylase	47	68	Gene_or_gene_product"	"[{""token"": ""uridine phosphorylase"", ""start_span"": 47, ""end_span"": 68, ""type"": ""Gene_or_gene_product""}]"
We have recently completed several studies designed to define the mechanisms regulating UPase expression and better characterize the multiple biological effects of uridine.	"UPase	88	93	Gene_or_gene_product"	"[{""token"": ""UPase"", ""start_span"": 88, ""end_span"": 93, ""type"": ""Gene_or_gene_product""}]"
Immunohistochemical analysis and co - purification studies have revealed the association of UPase with the cytoskeleton and the cellular membrane.	"UPase	92	97	Gene_or_gene_product"	"[{""token"": ""UPase"", ""start_span"": 92, ""end_span"": 97, ""type"": ""Gene_or_gene_product""}]"
The evaluation of human surgical specimens has shown elevated UPase activity in tumor tissue compared to paired normal tissue.	"UPase	62	67	Gene_or_gene_product"	"[{""token"": ""UPase"", ""start_span"": 62, ""end_span"": 67, ""type"": ""Gene_or_gene_product""}]"
Potential role of phosphatidylinositol 3 kinase, rather than DNA - dependent protein kinase, in CpG DNA - induced immune activation.	"phosphatidylinositol 3 kinase	18	47	Gene_or_gene_product"	"[{""token"": ""phosphatidylinositol 3 kinase"", ""start_span"": 18, ""end_span"": 47, ""type"": ""Gene_or_gene_product""}]"
The p53 tumor suppressor regulates the cellular response to genetic damage through its function as a sequence - specific transcription factor.	"p53	4	7	Gene_or_gene_product"	"[{""token"": ""p53"", ""start_span"": 4, ""end_span"": 7, ""type"": ""Gene_or_gene_product""}]"
TRRAP is a component of several multiprotein acetyltransferase complexes implicated in both transcriptional regulation and DNA repair.	"TRRAP	0	5	Gene_or_gene_product"	"[{""token"": ""TRRAP"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_gene_product""}]"
In addition, this study defines a novel biochemical mechanism utilized by the p53 tumor suppressor to regulate gene expression.	"p53	78	81	Gene_or_gene_product"	"[{""token"": ""p53"", ""start_span"": 78, ""end_span"": 81, ""type"": ""Gene_or_gene_product""}]"
In addition, rapamycin inhibited the ability of CLIP - 170 to bind to MTs.	"CLIP - 170	48	58	Gene_or_gene_product"	"[{""token"": ""CLIP - 170"", ""start_span"": 48, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}]"
The Doc1 subunit is a processivity factor for the anaphase - promoting complex.	"Doc1	4	8	Gene_or_gene_product"	"[{""token"": ""Doc1"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
The final step in ubiquitination of these and other proteins is catalysed by the anaphase - promoting complex ( APC), a multi - subunit ubiquitin - protein ligase ( E3).	"ubiquitin	18	27	Gene_or_gene_product"	"[{""token"": ""ubiquitin"", ""start_span"": 18, ""end_span"": 27, ""type"": ""Gene_or_gene_product""}]"
Using a well - defined in vitro system, we show that highly purified APC from Saccharomyces cerevisiae ubiquitinates a model cyclin substrate in a processive manner.	"cyclin	125	131	Gene_or_gene_product"	"[{""token"": ""cyclin"", ""start_span"": 125, ""end_span"": 131, ""type"": ""Gene_or_gene_product""}]"
The specific molecular defect in APC ( doc1 Delta) is identified by a large increase in apparent K ( M) for the cyclin substrate relative to the wild - type enzyme.	"cyclin	112	118	Gene_or_gene_product"	"[{""token"": ""cyclin"", ""start_span"": 112, ""end_span"": 118, ""type"": ""Gene_or_gene_product""}]"
This suggests that Doc1 stimulates processivity by limiting substrate dissociation.	"Doc1	19	23	Gene_or_gene_product"	"[{""token"": ""Doc1"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}]"
Addition of recombinant Doc1 to APC ( doc1 Delta) fully restores enzyme function.	"Doc1	24	28	Gene_or_gene_product"	"[{""token"": ""Doc1"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}]"
Signalling through Rlm1 regulates the expression of at least 25 genes, most of which have been implicated in cell wall biogenesis.	"Rlm1	19	23	Gene_or_gene_product"	"[{""token"": ""Rlm1"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}]"
Finally, intracellular localization analyses show that Rlm1 resides in the nucleus regardless of its activation and phosphorylation status.	"Rlm1	55	59	Gene_or_gene_product"	"[{""token"": ""Rlm1"", ""start_span"": 55, ""end_span"": 59, ""type"": ""Gene_or_gene_product""}]"
In particular, deletion of the individual GAPs conferred different phenotypes.	"GAPs	42	46	Gene_or_gene_product"	"[{""token"": ""GAPs"", ""start_span"": 42, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}]"
Alternatively, the different phenotypes could reflect quantitative rather than qualitative differences in GAP activity in the mutant strains.	"GAP	106	109	Gene_or_gene_product"	"[{""token"": ""GAP"", ""start_span"": 106, ""end_span"": 109, ""type"": ""Gene_or_gene_product""}]"
Linking cyclins to transcriptional control.	"cyclins	8	15	Gene_or_gene_product"	"[{""token"": ""cyclins"", ""start_span"": 8, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}]"
Cell cycle activation is coordinated by D - type cyclins which are rate limiting and essential for the progression through the G1 phase of the cell cycle.	"D - type cyclins	40	56	Gene_or_gene_product"	"[{""token"": ""D - type cyclins"", ""start_span"": 40, ""end_span"": 56, ""type"": ""Gene_or_gene_product""}]"
Surprisingly, cyclin D1 - deficient animals are viable and have developmental abnormalities limited to restricted tissues, such as retina, the nervous system and breast epithelium.	"cyclin D1	14	23	Gene_or_gene_product"	"[{""token"": ""cyclin D1"", ""start_span"": 14, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}]"
Effectively, cyclin D has been reported to have transcriptional functions since it interacts with several transcription factors to regulate their activity.	"cyclin D	13	21	Gene_or_gene_product"	"[{""token"": ""cyclin D"", ""start_span"": 13, ""end_span"": 21, ""type"": ""Gene_or_gene_product""}]"
Most often, this effect does not rely on the kinase function of Cdk4, indicating that this function is probably independent of cell cycle progression.	"Cdk4	64	68	Gene_or_gene_product"	"[{""token"": ""Cdk4"", ""start_span"": 64, ""end_span"": 68, ""type"": ""Gene_or_gene_product""}]"
Therefore, these studies suggest that the functions of cyclin D might need to be reevaluated.	"cyclin D	55	63	Gene_or_gene_product"	"[{""token"": ""cyclin D"", ""start_span"": 55, ""end_span"": 63, ""type"": ""Gene_or_gene_product""}]"
eIF4A is an ATP - dependent RNA helicase needed to unwind 5 ' mRNA secondary structure.	"eIF4A	0	5	Gene_or_gene_product"	"[{""token"": ""eIF4A"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_gene_product""}]"
In vivo translation assays showed that Pdcd4 inhibited cap - dependent but not internal ribosome entry site ( IRES) - dependent translation.	"Pdcd4	39	44	Gene_or_gene_product"	"[{""token"": ""Pdcd4"", ""start_span"": 39, ""end_span"": 44, ""type"": ""Gene_or_gene_product""}]"
The tuberin - hamartin complex negatively regulates beta - catenin signaling activity.	"beta - catenin	52	66	Gene_or_gene_product"	"[{""token"": ""beta - catenin"", ""start_span"": 52, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}]"
Recently it was shown that the amino terminus of Raf - 1 contains an autoregulatory domain that can inhibit its activity in Xenopus oocytes.	"Raf - 1	49	56	Gene_or_gene_product"	"[{""token"": ""Raf - 1"", ""start_span"": 49, ""end_span"": 56, ""type"": ""Gene_or_gene_product""}]"
In addition, we demonstrate that phosphorylation of threonine 491 and serine 494, two phosphorylation sites in the catalytic domain that are required for Raf - 1 activation, is unlikely to regulate autoinhibition.	"Raf - 1	154	161	Gene_or_gene_product"	"[{""token"": ""Raf - 1"", ""start_span"": 154, ""end_span"": 161, ""type"": ""Gene_or_gene_product""}]"
The C terminus of initiation factor 4E - binding protein 1 contains multiple regulatory features that influence its function and phosphorylation.	"initiation factor 4E - binding protein 1	18	58	Gene_or_gene_product"	"[{""token"": ""initiation factor 4E - binding protein 1"", ""start_span"": 18, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}]"
4E - BP1 plays key roles in cell proliferation, growth, and survival.	"4E - BP1	0	8	Gene_or_gene_product"	"[{""token"": ""4E - BP1"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
Here we demonstrate that three different features in the C terminus of 4E - BP1 play distinct roles in regulating its phosphorylation and function.	"4E - BP1	71	79	Gene_or_gene_product"	"[{""token"": ""4E - BP1"", ""start_span"": 71, ""end_span"": 79, ""type"": ""Gene_or_gene_product""}]"
In this study, the consequences of LPS - induced PI 3 - kinase activation on cytokine and chemokine expression and the intracellular mechanisms of inflammatory activation were examined in mouse macrophages.	"PI 3 - kinase	49	62	Gene_or_gene_product"	"[{""token"": ""PI 3 - kinase"", ""start_span"": 49, ""end_span"": 62, ""type"": ""Gene_or_gene_product""}]"
Inhibition of PI 3 - kinase decreased the LPS - induced transcriptional activity of NF - kappaB, but it had no effect on the nuclear DNA binding activity of NF - kappaB.	"PI 3 - kinase	14	27	Gene_or_gene_product"	"[{""token"": ""PI 3 - kinase"", ""start_span"": 14, ""end_span"": 27, ""type"": ""Gene_or_gene_product""}]"
This interaction was dependent on phosphorylation of serine 154 within the motif RLSKEV of RSK1.	"RSK1	91	95	Gene_or_gene_product"	"[{""token"": ""RSK1"", ""start_span"": 91, ""end_span"": 95, ""type"": ""Gene_or_gene_product""}]"
The amount of RSK1S154A was significantly increased in the membrane fraction under basal conditions.	"RSK1S154A	14	23	Gene_or_gene_product"	"[{""token"": ""RSK1S154A"", ""start_span"": 14, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}]"
Taken together, these results imply the functional inhibitory action of E2F1 on the HBV life cycle and HBV - mediated hepatocellular carcinogenesis ( HCC).	"E2F1	72	76	Gene_or_gene_product"	"[{""token"": ""E2F1"", ""start_span"": 72, ""end_span"": 76, ""type"": ""Gene_or_gene_product""}]"
