To date, there are very few reports describing species - specific splice variants.	"splice variants	66	81	Sequence"	"[{""token"": ""splice variants"", ""start_span"": 66, ""end_span"": 81, ""type"": ""Sequence""}]"
Body growth retardation at late gestation stage in Dhcr7 - / - embryos	"Dhcr7	51	56	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 51, ""end_span"": 56, ""type"": ""Gene_or_geneproduct""}]"
At birth, they were clearly smaller than wild - type or heterozygous littermates.	"wild - type	41	52	Sequence"	"[{""token"": ""wild - type"", ""start_span"": 41, ""end_span"": 52, ""type"": ""Sequence""}]"
To determine the gestational stage at which growth of the knockout embryos was affected, embryos were harvested at various stages of gestation and their body lengths compared between Dhcr7 - / - and controls.	"Dhcr7	183	188	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 183, ""end_span"": 188, ""type"": ""Gene_or_geneproduct""}]"
No significant differences in body length between wild - type and heterozygous embryos were noted ( data not shown).	"wild - type	50	61	Sequence"	"[{""token"": ""wild - type"", ""start_span"": 50, ""end_span"": 61, ""type"": ""Sequence""}]"
In contrast, knockout embryos showed comparable body length growth until E14. 5 ~ E16. 5, then began to show a slower increase in length, such that by E17. 5, this was statistically significant ( 18. 87 +/- 1. 29 mm in controls, n = 15 compared to 16. 69 +/- 1. 05 mm in Dhcr7 - / -, n = 7, p < 0. 05, Fig. 1).	"Dhcr7	271	276	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 271, ""end_span"": 276, ""type"": ""Gene_or_geneproduct""}]"
Control embryos ( filled triangles, wild - type and heterozygous embryos were pooled together as there were no differences between these two groups) and knockout embryos ( filled circles) were as shown.	"wild - type	36	47	Sequence"	"[{""token"": ""wild - type"", ""start_span"": 36, ""end_span"": 47, ""type"": ""Sequence""}]"
The growth curve showed a linear increase from E9. 5 to E19. 5 in controls, but deviated at ~ E14. 5 in Dhcr7 - / - embryos.	"Dhcr7	104	109	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 104, ""end_span"": 109, ""type"": ""Gene_or_geneproduct""}]"
Dhcr7 - / - embryos at late stages displayed pulmonary hypoplasia with delayed saccular development	"Dhcr7	0	5	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_geneproduct""}]"
Whole body and lung weights of mouse embryos	"mouse	31	36	Organism"	"[{""token"": ""mouse"", ""start_span"": 31, ""end_span"": 36, ""type"": ""Organism""}]"
Panel C shows dorsal views of lungs from knockout and wild - type at E13. 5 and panel D those at P0.	"wild - type	54	65	Sequence"	"[{""token"": ""wild - type"", ""start_span"": 54, ""end_span"": 65, ""type"": ""Sequence""}]"
Cross - sectional examination at the cardiopulmonary level at E 20. 5 ( prior to birth) showed normal lobar septation, but lungs from knockout animals were smaller in size and had less distal sac space ( cf. panels E and F).	"animals	143	150	Organism"	"[{""token"": ""animals"", ""start_span"": 143, ""end_span"": 150, ""type"": ""Organism""}]"
The overall organogenesis of lungs was preserved in Dhcr7 - / - pups; four right lung lobes and a single left lobe flanking the heart were easily seen on external examination at birth ( Fig. 2D).	"Dhcr7	52	57	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 52, ""end_span"": 57, ""type"": ""Gene_or_geneproduct""}]"
Examination for lobation at E13. 5 also showed comparable gross anatomy ( Fig. 2C) between wild - type and knockout embryos.	"wild - type	91	102	Sequence"	"[{""token"": ""wild - type"", ""start_span"": 91, ""end_span"": 102, ""type"": ""Sequence""}]"
However, from E17. 5 onwards, lungs from knockout embryos appeared to have less saccular space and relatively more mesenchyme compared to wild - type lungs ( Fig. 3, panel A: I - x).	"wild - type	138	149	Sequence"	"[{""token"": ""wild - type"", ""start_span"": 138, ""end_span"": 149, ""type"": ""Sequence""}]"
Lungs from control animals showed normal progression with formation of sac - like structures, the precursors of the alveoli ( Fig. 3, panel A: i, m, q and u).	"animals	19	26	Organism"	"[{""token"": ""animals"", ""start_span"": 19, ""end_span"": 26, ""type"": ""Organism""}]"
This ' thickening ' of the alveoli may explain the hypoxia frequently seen in Dhcr7 - / - pups at birth.	"Dhcr7	78	83	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 78, ""end_span"": 83, ""type"": ""Gene_or_geneproduct""}]"
Distal tubules showed dilation and mesenchyme thinning, with progression of septation in wild - type lungs ( panel A, i, m and q), whereas the knockout lungs showed less saccular structures and more mesenchyme ( panel A, j, n and r).	"wild - type	89	100	Sequence"	"[{""token"": ""wild - type"", ""start_span"": 89, ""end_span"": 100, ""type"": ""Sequence""}]"
At higher magnifications of wild - type lungs ( panel A, k, o and s), developing pre - alveoli and thinning mesenchyme ( arrowheads) were seen but sections from knockout embryos showed a delay in this sequence of development ( panel A, l, p and t).	"wild - type	28	39	Sequence"	"[{""token"": ""wild - type"", ""start_span"": 28, ""end_span"": 39, ""type"": ""Sequence""}]"
However, a clear reduction of PCNA and BrdU labeling was visualized in distal lungs of knockout embryos at late gestational stages ( E18. 5 and E20. 5, Fig. 4, panels E - H).	"PCNA	30	34	Gene_or_geneproduct"	"[{""token"": ""PCNA"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Gene_or_geneproduct""}]"
Attenuated PCNA labeling was also noted in knockout hearts at term ( Fig. 4, cf. panels I and J).	"PCNA	11	15	Gene_or_geneproduct"	"[{""token"": ""PCNA"", ""start_span"": 11, ""end_span"": 15, ""type"": ""Gene_or_geneproduct""}]"
When lungs were stained for pHH3, a marker of active cell division, a clear reduction of pHH3 expression in the epithelium of knockout lung was observed at E20. 5 but not at E14. 5 ( Fig. 4, panels K, L, O and P).	"cell	53	57	Cell"	"[{""token"": ""cell"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Cell""}]"
PCNA labeling of cardiac muscle was also attenuated in knockout embryos at E20. 5 ( cf. panels I and J).	"PCNA	0	4	Gene_or_geneproduct"	"[{""token"": ""PCNA"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_geneproduct""}]"
No apparent differences in TUNEL immunostaining were observed in lung sections at E18. 5 between wild - type and knockout.	"wild - type	97	108	Sequence"	"[{""token"": ""wild - type"", ""start_span"": 97, ""end_span"": 108, ""type"": ""Sequence""}]"
Note the dividing cells are mainly epithelial.	"cells	18	23	Cell"	"[{""token"": ""cells"", ""start_span"": 18, ""end_span"": 23, ""type"": ""Cell""}]"
Sterol analyses of embryonic lungs.	"Sterol	0	6	Chemical"	"[{""token"": ""Sterol"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Chemical""}]"
However, since these P0 mice were dying, perhaps this increase was sub - optimal given the stress.	"mice	24	28	Organism"	"[{""token"": ""mice"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Organism""}]"
Nevertheless, an absolute lack of corticosterone was not present in these knockout pups.	"corticosterone	34	48	Chemical"	"[{""token"": ""corticosterone"", ""start_span"": 34, ""end_span"": 48, ""type"": ""Chemical""}]"
Note that the underdeveloped epithelial tubules in knockout lungs also expressed SP - C ( panel A, b and d, arrowheads), indicating normal type II AECs differentiation.	"SP - C	81	87	Gene_or_geneproduct"	"[{""token"": ""SP - C"", ""start_span"": 81, ""end_span"": 87, ""type"": ""Gene_or_geneproduct""}]"
In contrast, the formation of these typical saccules was impaired in Dhcr7 deficient lungs.	"Dhcr7	69	74	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 69, ""end_span"": 74, ""type"": ""Gene_or_geneproduct""}]"
Instead, these saccular structures were lined by a low columnar epithelium that lacked flattened type I - like cells with the presence of many undeveloped or arrested epithelial tubules ( Fig. 7B).	"cells	111	116	Cell"	"[{""token"": ""cells"", ""start_span"": 111, ""end_span"": 116, ""type"": ""Cell""}]"
Delayed vascular development in Dhcr7 - / - lungs	"Dhcr7	32	37	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 32, ""end_span"": 37, ""type"": ""Gene_or_geneproduct""}]"
In Dhcr7 - / - lungs at late gestational stages, the relative abundance of mesenchyme was consistent with the general arrest in sacculation.	"Dhcr7	3	8	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 3, ""end_span"": 8, ""type"": ""Gene_or_geneproduct""}]"
In contrast, the cav - 1 alpha patterns in lungs from Dhcr7 - / - embryos revealed a relatively undeveloped pulmonary capillary bed ( Fig. 8, panels D and F).	"Dhcr7	54	59	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 54, ""end_span"": 59, ""type"": ""Gene_or_geneproduct""}]"
Immunostaining patterns for caveolin - 1 alpha and PECAM - 1 in lung sections.	"PECAM - 1	51	60	Gene_or_geneproduct"	"[{""token"": ""PECAM - 1"", ""start_span"": 51, ""end_span"": 60, ""type"": ""Gene_or_geneproduct""}]"
Cav - 1 alpha expression patterns in lungs from knockout embryos at E17. 5 were similar to wild - type embryos, but relative less capillary bed was noted in knockout lungs ( cf. panels C and D).	"wild - type	91	102	Sequence"	"[{""token"": ""wild - type"", ""start_span"": 91, ""end_span"": 102, ""type"": ""Sequence""}]"
However, delayed vascular development was observed in knockout lungs, showing capillaries ( panels F and H, arrows) of the knockout lungs at E20. 5 were embedded in a relatively thick mesenchyme around the undeveloped epithelial tubules in which the epithelial cells were remained cuboidal ( arrowheads).	"epithelial cells	250	266	Cell"	"[{""token"": ""epithelial cells"", ""start_span"": 250, ""end_span"": 266, ""type"": ""Cell""}]"
Thus, disruption of cholesterol biosynthesis could conceivably disrupt its pattern of distribution and thus affect normal development.	"cholesterol	20	31	Chemical"	"[{""token"": ""cholesterol"", ""start_span"": 20, ""end_span"": 31, ""type"": ""Chemical""}]"
Importantly, no differences between Dhcr7 - / - and control embryos were noted.	"Dhcr7	36	41	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 36, ""end_span"": 41, ""type"": ""Gene_or_geneproduct""}]"
At E10. 5, Shh was detected in the floor plate ( fp), notochord ( nc) ( A and B), mid - gut ( mg) and the epithelial buds of lungs ( lb) ( C and D).	"Shh	11	14	Gene_or_geneproduct"	"[{""token"": ""Shh"", ""start_span"": 11, ""end_span"": 14, ""type"": ""Gene_or_geneproduct""}]"
Note that the proximal epithelial cells of primordial tubes were also not immunostained for Ptch at E13. 5 lungs ( arrows).	"epithelial cells	23	39	Cell"	"[{""token"": ""epithelial cells"", ""start_span"": 23, ""end_span"": 39, ""type"": ""Cell""}]"
The patterns of Ptch in lung sections from various gestational stages were also indistinguishable between wild - type and knockout embryos ( Fig. 9, right panels).	"wild - type	106	117	Sequence"	"[{""token"": ""wild - type"", ""start_span"": 106, ""end_span"": 117, ""type"": ""Sequence""}]"
A major band running at the same position as processed Shh was detected in lysates from all the embryos ( tracks 3 - 5).	"Shh	55	58	Gene_or_geneproduct"	"[{""token"": ""Shh"", ""start_span"": 55, ""end_span"": 58, ""type"": ""Gene_or_geneproduct""}]"
In the present study, we report the characterization of lung development in Dhcr7 - / - embryos.	"Dhcr7	76	81	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 76, ""end_span"": 81, ""type"": ""Gene_or_geneproduct""}]"
Lung development in Dhcr7 - / - embryos at the early stages, from lung bud formation to canalicular stage, was morphologically similar to controls.	"Dhcr7	20	25	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 20, ""end_span"": 25, ""type"": ""Gene_or_geneproduct""}]"
Instead, a distinct lung hypoplasia at the saccular stage, characterized by arrested or partially developed distal epithelial tubules, reduced terminal sac space, delayed type I AECs differentiation and delayed vascular development, was consistently observed at late gestational stages in Dhcr7 - / - embryos.	"Dhcr7	289	294	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 289, ""end_span"": 294, ""type"": ""Gene_or_geneproduct""}]"
At late stages of normal fetal development, the mammalian alveolar epithelium undergoes an abrupt differentiation as a part of the preparation of the lungs for the postnatal demands of gas exchange [ 37].	"mammalian	48	57	Organism"	"[{""token"": ""mammalian"", ""start_span"": 48, ""end_span"": 57, ""type"": ""Organism""}]"
Both type II AECs, producing pulmonary surfactants, and type I AECs, lining the expanded alveoli, are important for alveolar maturation.	"surfactants	39	50	Chemical"	"[{""token"": ""surfactants"", ""start_span"": 39, ""end_span"": 50, ""type"": ""Chemical""}]"
Delayed vascular development was also involved in the delayed sacculation of Dhcr7 - / - lungs.	"Dhcr7	77	82	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 77, ""end_span"": 82, ""type"": ""Gene_or_geneproduct""}]"
Loss of functional Dhcr7 led to a retardation of embryonic growth from E14. 5 ~ E16. 5 onwards.	"Dhcr7	19	24	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 19, ""end_span"": 24, ""type"": ""Gene_or_geneproduct""}]"
By this stage, cholesterol levels were already lower and its immediate precursor, 7 - DHC, elevated in the lungs ( this study) as well as in the whole body [ 16, 17].	"cholesterol	15	26	Chemical"	"[{""token"": ""cholesterol"", ""start_span"": 15, ""end_span"": 26, ""type"": ""Chemical""}]"
Whole body weights and fresh lung weights ( as well as brain, heart and kidney, data not shown) at late gestational stages were also lower in Dhcr7 - / - embryos.	"Dhcr7	142	147	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 142, ""end_span"": 147, ""type"": ""Gene_or_geneproduct""}]"
Fetal cholesterol can either be synthesized endogenously in fetal tissues or accrued from extra - embryonic tissues such as maternal serum, placenta, and yolk sac [ 39].	"cholesterol	6	17	Chemical"	"[{""token"": ""cholesterol"", ""start_span"": 6, ""end_span"": 17, ""type"": ""Chemical""}]"
Subtle differences in Shh signal transduction can not be excluded by the present study.	"Shh	22	25	Gene_or_geneproduct"	"[{""token"": ""Shh"", ""start_span"": 22, ""end_span"": 25, ""type"": ""Gene_or_geneproduct""}]"
Thus, this effect may not be limited to the Shh pathway and other targets may be more important.	"Shh	44	47	Gene_or_geneproduct"	"[{""token"": ""Shh"", ""start_span"": 44, ""end_span"": 47, ""type"": ""Gene_or_geneproduct""}]"
Animals	"Animals	0	7	Organism"	"[{""token"": ""Animals"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Organism""}]"
Mice were classified as P0 when birth was witnessed and their breathing activities visualized under a dissecting microscope.	"Mice	0	4	Organism"	"[{""token"": ""Mice"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Organism""}]"
Tissue sterol compositions were analyzed by gas chromatography - mass spectrometry ( GC - MS) as described previously [ 2, 44].	"sterol	7	13	Chemical"	"[{""token"": ""sterol"", ""start_span"": 7, ""end_span"": 13, ""type"": ""Chemical""}]"
After cooling, the sections were treated with hydrogen peroxide ( 3% v / v in PBS, pH7. 4) for 10 min and rinsed in the PBS.	"hydrogen peroxide	46	63	Chemical"	"[{""token"": ""hydrogen peroxide"", ""start_span"": 46, ""end_span"": 63, ""type"": ""Chemical""}]"
Assessment of cell proliferation / Division / death	"cell	14	18	Cell"	"[{""token"": ""cell"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Cell""}]"
The homogenates were centrifuged at 10, 000 g for 30 minutes at 4 degrees C, supernatants collected, protein concentration determined and used for western blotting.	"protein	101	108	Chemical"	"[{""token"": ""protein"", ""start_span"": 101, ""end_span"": 108, ""type"": ""Chemical""}]"
GST analyzed tissue sterols by GC - MS and JO performed lung morphometric analyses.	"sterols	20	27	Chemical"	"[{""token"": ""sterols"", ""start_span"": 20, ""end_span"": 27, ""type"": ""Chemical""}]"
Reinforcement - mediated associative learning, or the ability to ascribe deterministic relationships between environmental stimuli that signal the probability of receiving a primary reinforcer ( e. g. food), has been divided into 3 components or stages [ 1].	"food	201	205	Chemical"	"[{""token"": ""food"", ""start_span"": 201, ""end_span"": 205, ""type"": ""Chemical""}]"
Finally, there is the maintenance of associative learning relationships over time ( a stimulus light always signifies a food pellet is available subsequent to a lever press) [ see refs. [ 1, 2] for review].	"food	120	124	Chemical"	"[{""token"": ""food"", ""start_span"": 120, ""end_span"": 124, ""type"": ""Chemical""}]"
"Berridge and Robinson [ 1] have proposed that dopamine plays a pivotal role in the second phase of reinforcement - mediated associative learning by molding the "" incentive salience "" or learned motivational properties of conditioned stimuli."	"dopamine	46	54	Chemical"	"[{""token"": ""dopamine"", ""start_span"": 46, ""end_span"": 54, ""type"": ""Chemical""}]"
Several studies have used pharmacological manipulations to investigate the contribution of dopamine receptor subtypes in various stages of associative learning [ 1, 2, 14].	"dopamine	91	99	Chemical"	"[{""token"": ""dopamine"", ""start_span"": 91, ""end_span"": 99, ""type"": ""Chemical""}]"
The influence of dopamine D2R - mediated signaling on reversal learning is also poorly understood.	"dopamine D2R	17	29	Gene_or_geneproduct"	"[{""token"": ""dopamine D2R"", ""start_span"": 17, ""end_span"": 29, ""type"": ""Gene_or_geneproduct""}]"
Taken together these findings suggest that D2R - mediated signaling could play a critical role in reversal learning but are insufficient to prove it.	"D2R	43	46	Gene_or_geneproduct"	"[{""token"": ""D2R"", ""start_span"": 43, ""end_span"": 46, ""type"": ""Gene_or_geneproduct""}]"
There were no differences between genotypes to retrieve the reinforcers ( F1, 59 = 0. 2, p > 0. 65), and both groups significantly decreased the amount of time necessary to perform this task along successive trials ( F4, 59 = 5. 74, p < 0. 001).	"genotypes	34	43	Sequence"	"[{""token"": ""genotypes"", ""start_span"": 34, ""end_span"": 43, ""type"": ""Sequence""}]"
Figure 2 depicts the latency to dig for the food pellet buried in a single dish filled with unscented sand.	"food	44	48	Chemical"	"[{""token"": ""food"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Chemical""}]"
However, both genotypes did learn the task and eventually maintained accurate discrimination for a minimum of 8 correct responses out of 10 trials.	"genotypes	14	23	Sequence"	"[{""token"": ""genotypes"", ""start_span"": 14, ""end_span"": 23, ""type"": ""Sequence""}]"
For the overall 2 - way ANOVA, there was a significant difference between genotypes for the number of perseverative errors ( F1, 51 = 16. 61, p < 0. 001).	"genotypes	74	83	Sequence"	"[{""token"": ""genotypes"", ""start_span"": 74, ""end_span"": 83, ""type"": ""Sequence""}]"
In this study, we sought to determine the contribution of dopamine D2 receptor - mediated signaling to the various stages of associative and reversal learning.	"dopamine D2 receptor	58	78	Gene_or_geneproduct"	"[{""token"": ""dopamine D2 receptor"", ""start_span"": 58, ""end_span"": 78, ""type"": ""Gene_or_geneproduct""}]"
Several studies have demonstrated that both the acquisition [ 6, 7] and expression [ 9] of associative learning are mediated by dopamine D1Rs.	"dopamine D1Rs	128	141	Gene_or_geneproduct"	"[{""token"": ""dopamine D1Rs"", ""start_span"": 128, ""end_span"": 141, ""type"": ""Gene_or_geneproduct""}]"
Quite possibly, the functional role of D2Rs in associative learning might be masked because of this concern about locomotor disruption [ 2, 6, 8].	"D2Rs	39	43	Gene_or_geneproduct"	"[{""token"": ""D2Rs"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Gene_or_geneproduct""}]"
These doses have been shown to occupy well over 80% of available D2Rs [ 29].	"D2Rs	65	69	Gene_or_geneproduct"	"[{""token"": ""D2Rs"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Gene_or_geneproduct""}]"
Schultz and colleagues have demonstrated that dopamine cells display consistent tonic firing patterns during maintenance of associative learning tasks [ 33].	"dopamine cells	46	60	Cell"	"[{""token"": ""dopamine cells"", ""start_span"": 46, ""end_span"": 60, ""type"": ""Cell""}]"
However, phasic burst activity of dopaminergic cells occurs when discrepancies between predicted and actual reinforcement contingencies transpire [ 14].	"dopaminergic cells	34	52	Cell"	"[{""token"": ""dopaminergic cells"", ""start_span"": 34, ""end_span"": 52, ""type"": ""Cell""}]"
"This robust increase of dopaminergic cell activation in response to unpredicted outcomes has been referred to as an "" error "" signal [ 14]."	"dopaminergic cell	24	41	Cell"	"[{""token"": ""dopaminergic cell"", ""start_span"": 24, ""end_span"": 41, ""type"": ""Cell""}]"
To date, the molecular basis of this error signal has not been identified.	"molecular	13	22	Chemical"	"[{""token"": ""molecular"", ""start_span"": 13, ""end_span"": 22, ""type"": ""Chemical""}]"
"Carlsson and colleagues [ 35] have speculated that dopamine D2R stimulation in the striatum serves to "" brake "" or diminish excitatory corticostriatal signaling and plasticity."	"dopamine D2R	51	63	Gene_or_geneproduct"	"[{""token"": ""dopamine D2R"", ""start_span"": 51, ""end_span"": 63, ""type"": ""Gene_or_geneproduct""}]"
This study demonstrates that signaling by dopamine D2Rs does not mediate the hedonic value of reinforcers, supporting and refining earlier findings [ 1, 2].	"dopamine D2Rs	42	55	Gene_or_geneproduct"	"[{""token"": ""dopamine D2Rs"", ""start_span"": 42, ""end_span"": 55, ""type"": ""Gene_or_geneproduct""}]"
In the course of associative learning, striatal synapses [ 38] receive experience - driven gain [ 7], thus permitting newly established reinforcement - mediated signals to traverse ascending efferents en route to the frontal cortex, completing a functional limbic / motor circuit [ 39 - 41].	"synapses	48	56	GO_ontology"	"[{""token"": ""synapses"", ""start_span"": 48, ""end_span"": 56, ""type"": ""GO_ontology""}]"
This breeding strategy was repeated for 20 successive generations with the gender of the donor / mutant alternating with each generation.	"mutant	97	103	Sequence"	"[{""token"": ""mutant"", ""start_span"": 97, ""end_span"": 103, ""type"": ""Sequence""}]"
Odor discrimination was chosen as the particular task because it is a highly robust behavior in rodents [ 18].	"rodents	96	103	Organism"	"[{""token"": ""rodents"", ""start_span"": 96, ""end_span"": 103, ""type"": ""Organism""}]"
To minimize experimental error, the experimenter was blind to genotype during testing.	"genotype	62	70	Sequence"	"[{""token"": ""genotype"", ""start_span"": 62, ""end_span"": 70, ""type"": ""Sequence""}]"
Each subject received five trials, and the latency to locate and start to consume the food pellet was recorded manually with a standard hand - held stopwatch.	"food	86	90	Chemical"	"[{""token"": ""food"", ""start_span"": 86, ""end_span"": 90, ""type"": ""Chemical""}]"
Twenty - four hours later subjects were trained to ambulate towards and dig through the same 3 - cm dish filled with sterile sand to locate a food pellet buried underneath the sand.	"food	142	146	Chemical"	"[{""token"": ""food"", ""start_span"": 142, ""end_span"": 146, ""type"": ""Chemical""}]"
The next day, mice were presented to the testing apparatus that now contained 2 dishes, each filled with different scented sand.	"mice	14	18	Organism"	"[{""token"": ""mice"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Organism""}]"
One odor signaled that a food reinforcer was buried in that particular dish ( S +) while the other odor signaled that no reinforcer was contained within that particular dish ( S -).	"food	25	29	Chemical"	"[{""token"": ""food"", ""start_span"": 25, ""end_span"": 29, ""type"": ""Chemical""}]"
The sand was scented by adding 0. 80 grams of either cinnamon or dill weed to 98. 8 grams of autoclaved playground sand purchased from a local farm and garden store.	"dill	65	69	Organism"	"[{""token"": ""dill"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Organism""}]"
A trial terminated when the mouse: dug in the correct dish and consumed the hidden pellet, or began to dig in the incorrect dish.	"mouse	28	33	Organism"	"[{""token"": ""mouse"", ""start_span"": 28, ""end_span"": 33, ""type"": ""Organism""}]"
We next investigated the contribution of dopamine D2Rs to reversal learning behavior by inverting the reinforcement contingencies - now the former S + signaled no reinforcer and the previous S - now indicated reinforcement availability.	"dopamine D2Rs	41	54	Gene_or_geneproduct"	"[{""token"": ""dopamine D2Rs"", ""start_span"": 41, ""end_span"": 54, ""type"": ""Gene_or_geneproduct""}]"
The latency to retrieve a pellet from an empty dish, the latency to dig through a dish filled with unscented sand, and the number of errors of commission committed across the reversal sessions were analyzed with 2 - way analyses of variance ( genotype x trials).	"genotype	243	251	Sequence"	"[{""token"": ""genotype"", ""start_span"": 243, ""end_span"": 251, ""type"": ""Sequence""}]"
No differences in responding as a function of genotype were found, and similar latencies to retrieve the reinforcer were seen.	"genotype	46	54	Sequence"	"[{""token"": ""genotype"", ""start_span"": 46, ""end_span"": 54, ""type"": ""Sequence""}]"
These response patterns suggest that the training from the previous day influenced behavior, demonstrating that both genotypes are capable of learning and retaining goal - directed behaviors.	"genotypes	117	126	Sequence"	"[{""token"": ""genotypes"", ""start_span"": 117, ""end_span"": 126, ""type"": ""Sequence""}]"
Dopamine D2 receptor - mediated signaling contributes to the acquisition of odor discrimination / associative learning.	"Dopamine D2 receptor	0	20	Gene_or_geneproduct"	"[{""token"": ""Dopamine D2 receptor"", ""start_span"": 0, ""end_span"": 20, ""type"": ""Gene_or_geneproduct""}]"
However, correlations between functional interactions and the evolution of these proteins have yet to be determined.	"proteins	81	89	Chemical"	"[{""token"": ""proteins"", ""start_span"": 81, ""end_span"": 89, ""type"": ""Chemical""}]"
In silico identification of TACC family members from vertebrate and invertebrate lineages	"vertebrate	53	63	Organism"	"[{""token"": ""vertebrate"", ""start_span"": 53, ""end_span"": 63, ""type"": ""Organism""}]"
Indeed, four TACC genes were identified in T. rubripes.	"genes	18	23	Sequence"	"[{""token"": ""genes"", ""start_span"": 18, ""end_span"": 23, ""type"": ""Sequence""}]"
The cloning of a new member of the TACC family in Oryctolagus cuniculus has added to this controversy [ 9].	"Oryctolagus cuniculus	50	71	Organism"	"[{""token"": ""Oryctolagus cuniculus"", ""start_span"": 50, ""end_span"": 71, ""type"": ""Organism""}]"
Thus, it is not in a separate branch that may be expected if the sequence was a distinct TACC family member.	"sequence	65	73	Sequence"	"[{""token"": ""sequence"", ""start_span"": 65, ""end_span"": 73, ""type"": ""Sequence""}]"
Human RHAMM has also been proposed to be the missing fourth member of the TACC family [ 10].	"Human RHAMM	0	11	Gene_or_geneproduct"	"[{""token"": ""Human RHAMM"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Gene_or_geneproduct""}]"
Corresponding syntenic mouse chromosomal regions ( mm *) are indicated.	"syntenic mouse chromosomal regions	14	48	Sequence"	"[{""token"": ""syntenic mouse chromosomal regions"", ""start_span"": 14, ""end_span"": 48, ""type"": ""Sequence""}]"
Comparative genomic structure of the TACC family	"genomic	12	19	Sequence"	"[{""token"": ""genomic"", ""start_span"": 12, ""end_span"": 19, ""type"": ""Sequence""}]"
The correct sequence, reported by Sadek et al [ 7], is the one used throughout the entirety of this manuscript.	"sequence	12	20	Sequence"	"[{""token"": ""sequence"", ""start_span"": 12, ""end_span"": 20, ""type"": ""Sequence""}]"
In silico modeling of the evolution of TACC protein function	"protein	44	51	Chemical"	"[{""token"": ""protein"", ""start_span"": 44, ""end_span"": 51, ""type"": ""Chemical""}]"
Functional evolution of the TACC proteins modeled in C. elegans and D. melanogaster.	"proteins	33	41	Chemical"	"[{""token"": ""proteins"", ""start_span"": 33, ""end_span"": 41, ""type"": ""Chemical""}]"
C. elegans interaction map shows empirically defined interactions of ceTAC, and extrapolated interactions defined by [ 28].	"ceTAC	69	74	Gene_or_geneproduct"	"[{""token"": ""ceTAC"", ""start_span"": 69, ""end_span"": 74, ""type"": ""Gene_or_geneproduct""}]"
It is also of interest that this predicts a functional interaction with the LDB family, members of which are also found in TACC containing paralogous segments noted in Figs 2, 3 and Additional file 1.	"paralogous segments	139	158	Sequence"	"[{""token"": ""paralogous segments"", ""start_span"": 139, ""end_span"": 158, ""type"": ""Sequence""}]"
( D): Predicted TACC interaction map based upon DTACC.	"DTACC	48	53	Gene_or_geneproduct"	"[{""token"": ""DTACC"", ""start_span"": 48, ""end_span"": 53, ""type"": ""Gene_or_geneproduct""}]"
( E): Vertebrate TACC interactions identified to date.	"Vertebrate	6	16	Organism"	"[{""token"": ""Vertebrate"", ""start_span"": 6, ""end_span"": 16, ""type"": ""Organism""}]"
Phylogenetic profiling from these interaction maps suggests two similar sets of predicted interactions for vertebrate TACCs ( Fig. 6C and 6D).	"vertebrate	107	117	Organism"	"[{""token"": ""vertebrate"", ""start_span"": 107, ""end_span"": 117, ""type"": ""Organism""}]"
The interaction data for the vertebrate TACCs is relatively limited; however, interaction networks are now beginning to emerge.	"vertebrate	29	39	Organism"	"[{""token"": ""vertebrate"", ""start_span"": 29, ""end_span"": 39, ""type"": ""Organism""}]"
