The Cdc6 protein is ubiquitinated in vivo for proteolysis in Saccharomyces cerevisiae.	"Cdc6	4	8	Gene_or_gene_product"	"[{""token"": ""Cdc6"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
PML in POD plays a role of apoptosis induction and growth control of leukemia cells.	"PML	0	3	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
Cdc7 - Dbf4 kinase complexes, conserved widely in eukaryotes, play essential roles in initiation and progression of the S phase.	"Cdc7 - Dbf4	0	11	Complex"	"[{""token"": ""Cdc7 - Dbf4"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Complex""}]"
Therefore, it is crucial to understand the mechanisms of regulation of Dbf4 expression.	"Dbf4	71	75	Gene_or_gene_product"	"[{""token"": ""Dbf4"", ""start_span"": 71, ""end_span"": 75, ""type"": ""Gene_or_gene_product""}]"
We have identified a 63 - base pair ASK promoter segment, which is sufficient for mediating growth stimulation.	"ASK	36	39	Gene_or_gene_product"	"[{""token"": ""ASK"", ""start_span"": 36, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}]"
Gel shift assays in the presence of an antibody demonstrate the presence of E2F1 in the protein - DNA complexes generated on the MP segment.	"E2F1	76	80	Gene_or_gene_product"	"[{""token"": ""E2F1"", ""start_span"": 76, ""end_span"": 80, ""type"": ""Gene_or_gene_product""}]"
The biological effects of uridine have been associated with the regulation of the cardio - circulatory system, at the reproduction level, with both peripheral and central nervous system modulation and with the functionality of the respiratory system.	"uridine	26	33	Chemical"	"[{""token"": ""uridine"", ""start_span"": 26, ""end_span"": 33, ""type"": ""Chemical""}]"
The evaluation of human surgical specimens has shown elevated UPase activity in tumor tissue compared to paired normal tissue.	"UPase	62	67	Gene_or_gene_product"	"[{""token"": ""UPase"", ""start_span"": 62, ""end_span"": 67, ""type"": ""Gene_or_gene_product""}]"
The p53 tumor suppressor regulates the cellular response to genetic damage through its function as a sequence - specific transcription factor.	"p53	4	7	Gene_or_gene_product"	"[{""token"": ""p53"", ""start_span"": 4, ""end_span"": 7, ""type"": ""Gene_or_gene_product""}]"
TRRAP is a component of several multiprotein acetyltransferase complexes implicated in both transcriptional regulation and DNA repair.	"TRRAP	0	5	Gene_or_gene_product"	"[{""token"": ""TRRAP"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_gene_product""}]"
In addition, this study defines a novel biochemical mechanism utilized by the p53 tumor suppressor to regulate gene expression.	"p53	78	81	Gene_or_gene_product"	"[{""token"": ""p53"", ""start_span"": 78, ""end_span"": 81, ""type"": ""Gene_or_gene_product""}]"
Telomerase activity is closely correlated with cellular proliferative activity in human tissues.	"Telomerase	0	10	Complex"	"[{""token"": ""Telomerase"", ""start_span"": 0, ""end_span"": 10, ""type"": ""Complex""}]"
Human cells with high proliferative potential, such as tumor cells or stem cells, exhibit telomerase activity, whereas most normal human somatic cells do not.	"telomerase	90	100	Complex"	"[{""token"": ""telomerase"", ""start_span"": 90, ""end_span"": 100, ""type"": ""Complex""}]"
The specific molecular defect in APC ( doc1 Delta) is identified by a large increase in apparent K ( M) for the cyclin substrate relative to the wild - type enzyme.	"cyclin	112	118	Gene_or_gene_product"	"[{""token"": ""cyclin"", ""start_span"": 112, ""end_span"": 118, ""type"": ""Gene_or_gene_product""}]"
This suggests that Doc1 stimulates processivity by limiting substrate dissociation.	"Doc1	19	23	Gene_or_gene_product"	"[{""token"": ""Doc1"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}]"
Addition of recombinant Doc1 to APC ( doc1 Delta) fully restores enzyme function.	"Doc1	24	28	Gene_or_gene_product"	"[{""token"": ""Doc1"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}]"
In particular, deletion of the individual GAPs conferred different phenotypes.	"GAPs	42	46	Gene_or_gene_product"	"[{""token"": ""GAPs"", ""start_span"": 42, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}]"
Alternatively, the different phenotypes could reflect quantitative rather than qualitative differences in GAP activity in the mutant strains.	"GAP	106	109	Gene_or_gene_product"	"[{""token"": ""GAP"", ""start_span"": 106, ""end_span"": 109, ""type"": ""Gene_or_gene_product""}]"
Linking cyclins to transcriptional control.	"cyclins	8	15	Gene_or_gene_product"	"[{""token"": ""cyclins"", ""start_span"": 8, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}]"
Cell cycle activation is coordinated by D - type cyclins which are rate limiting and essential for the progression through the G1 phase of the cell cycle.	"D - type cyclins	40	56	Gene_or_gene_product"	"[{""token"": ""D - type cyclins"", ""start_span"": 40, ""end_span"": 56, ""type"": ""Gene_or_gene_product""}]"
Surprisingly, cyclin D1 - deficient animals are viable and have developmental abnormalities limited to restricted tissues, such as retina, the nervous system and breast epithelium.	"cyclin D1	14	23	Gene_or_gene_product"	"[{""token"": ""cyclin D1"", ""start_span"": 14, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}]"
Effectively, cyclin D has been reported to have transcriptional functions since it interacts with several transcription factors to regulate their activity.	"cyclin D	13	21	Gene_or_gene_product"	"[{""token"": ""cyclin D"", ""start_span"": 13, ""end_span"": 21, ""type"": ""Gene_or_gene_product""}]"
Most often, this effect does not rely on the kinase function of Cdk4, indicating that this function is probably independent of cell cycle progression.	"Cdk4	64	68	Gene_or_gene_product"	"[{""token"": ""Cdk4"", ""start_span"": 64, ""end_span"": 68, ""type"": ""Gene_or_gene_product""}]"
Therefore, these studies suggest that the functions of cyclin D might need to be reevaluated.	"cyclin D	55	63	Gene_or_gene_product"	"[{""token"": ""cyclin D"", ""start_span"": 55, ""end_span"": 63, ""type"": ""Gene_or_gene_product""}]"
Recently it was shown that the amino terminus of Raf - 1 contains an autoregulatory domain that can inhibit its activity in Xenopus oocytes.	"Raf - 1	49	56	Gene_or_gene_product"	"[{""token"": ""Raf - 1"", ""start_span"": 49, ""end_span"": 56, ""type"": ""Gene_or_gene_product""}]"
The C terminus of initiation factor 4E - binding protein 1 contains multiple regulatory features that influence its function and phosphorylation.	"initiation factor 4E - binding protein 1	18	58	Gene_or_gene_product"	"[{""token"": ""initiation factor 4E - binding protein 1"", ""start_span"": 18, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}]"
4E - BP1 plays key roles in cell proliferation, growth, and survival.	"4E - BP1	0	8	Gene_or_gene_product"	"[{""token"": ""4E - BP1"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
Here we demonstrate that three different features in the C terminus of 4E - BP1 play distinct roles in regulating its phosphorylation and function.	"4E - BP1	71	79	Gene_or_gene_product"	"[{""token"": ""4E - BP1"", ""start_span"": 71, ""end_span"": 79, ""type"": ""Gene_or_gene_product""}]"
Firstly, we identify a new phosphorylation site in its C terminus ( S101).	"S101	68	72	Chemical"	"[{""token"": ""S101"", ""start_span"": 68, ""end_span"": 72, ""type"": ""Chemical""}]"
Thirdly, a conserved C - terminal motif influences phosphorylation of multiple residues, including rapamycin - insensitive sites.	"rapamycin	99	108	Chemical"	"[{""token"": ""rapamycin"", ""start_span"": 99, ""end_span"": 108, ""type"": ""Chemical""}]"
Taken together, these results imply the functional inhibitory action of E2F1 on the HBV life cycle and HBV - mediated hepatocellular carcinogenesis ( HCC).	"E2F1	72	76	Gene_or_gene_product"	"[{""token"": ""E2F1"", ""start_span"": 72, ""end_span"": 76, ""type"": ""Gene_or_gene_product""}]"
Phosphorylation - dependent regulation of septin dynamics during the cell cycle.	"septin	42	48	Gene_or_gene_product"	"[{""token"": ""septin"", ""start_span"": 42, ""end_span"": 48, ""type"": ""Gene_or_gene_product""}]"
Septins are GTPases involved in cytokinesis.	"Septins	0	7	Gene_or_gene_product"	"[{""token"": ""Septins"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Gene_or_gene_product""}]"
The role of disulfide bonds in the assembly and function of MD - 2.	"MD - 2	60	66	Gene_or_gene_product"	"[{""token"": ""MD - 2"", ""start_span"": 60, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}]"
The protein contains seven Cys residues and consists of a heterogeneous collection of disulfide - linked oligomers.	"Cys	27	30	Chemical"	"[{""token"": ""Cys"", ""start_span"": 27, ""end_span"": 30, ""type"": ""Chemical""}]"
These disulfide bonds produce a heterogeneous array of oligomers, including some species that can form an active complex with TLR4.	"TLR4	126	130	Gene_or_gene_product"	"[{""token"": ""TLR4"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Gene_or_gene_product""}]"
Conversely, expression of dnATF2 quantitatively blocks DNA repair.	"dnATF2	26	32	Gene_or_gene_product"	"[{""token"": ""dnATF2"", ""start_span"": 26, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}]"
JNK may be a rational target for sensitizing tumor cells to DNA - damaging chemotherapy agents.	"JNK	0	3	Gene_or_gene_product"	"[{""token"": ""JNK"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
Moreover, we show that the expression of NPAT accelerates S - phase entry in cells released from quiescence.	"NPAT	41	45	Gene_or_gene_product"	"[{""token"": ""NPAT"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Gene_or_gene_product""}]"
Effects of red orpiment on cell morphology and expression of PML mRNA and protein in NB4 and HL - 60 cells.	"PML	61	64	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 61, ""end_span"": 64, ""type"": ""Gene_or_gene_product""}]"
METHODS: Cell morphology was assayed by Wright ' s staining and fluorescence staining, while PML mRNA expression was determined by RT - PCR.	"PML	93	96	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 93, ""end_span"": 96, ""type"": ""Gene_or_gene_product""}]"
PML protein localization by evaluated by immunofluorescence staining.	"PML	0	3	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
The fusion protein was no longer observed in NB4 cells, PML protein was relocated, and then degraded.	"PML	56	59	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 56, ""end_span"": 59, ""type"": ""Gene_or_gene_product""}]"
In HL - 60 cells, PML protein underwent a similar progress.	"PML	18	21	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 18, ""end_span"": 21, ""type"": ""Gene_or_gene_product""}]"
Activation of IRF3 requires signal - dependent phosphorylation, but little is known about the signaling pathway or kinases involved.	"IRF3	14	18	Gene_or_gene_product"	"[{""token"": ""IRF3"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Gene_or_gene_product""}]"
Together these data provide compelling that the Peroxisome Lactate Shuttle helps maintain organelle redox and the proper functioning of peroxisomal beta - oxidation.	"peroxisomal	136	147	Cellular_component"	"[{""token"": ""peroxisomal"", ""start_span"": 136, ""end_span"": 147, ""type"": ""Cellular_component""}]"
Experimental models have demonstrated that hdm2 overexpression can promote breast cancer development.	"hdm2	43	47	Gene_or_gene_product"	"[{""token"": ""hdm2"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Gene_or_gene_product""}]"
The P2 promoter is inactive in ERalpha ( - ve) cell lines such as SKBr3.	"ERalpha	31	38	Gene_or_gene_product"	"[{""token"": ""ERalpha"", ""start_span"": 31, ""end_span"": 38, ""type"": ""Gene_or_gene_product""}]"
Molecular mechanisms and regulation of iron transport.	"iron	39	43	Chemical"	"[{""token"": ""iron"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Chemical""}]"
Iron homeostasis is primarily maintained through regulation of its transport.	"Iron	0	4	Chemical"	"[{""token"": ""Iron"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Chemical""}]"
Finally, the regulation of iron transport is also considered at the molecular level, with posttranscriptional, transcriptional, and posttranslational control mechanisms being reviewed.	"iron	27	31	Chemical"	"[{""token"": ""iron"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Chemical""}]"
Genomic identification and biochemical characterization of a second spermidine / spermine N1 - acetyltransferase.	"spermidine / spermine N1 - acetyltransferase	68	112	Gene_or_gene_product"	"[{""token"": ""spermidine / spermine N1 - acetyltransferase"", ""start_span"": 68, ""end_span"": 112, ""type"": ""Gene_or_gene_product""}]"
ICBP90 belongs to a new family of proteins with an expression that is deregulated in cancer cells.	"ICBP90	0	6	Gene_or_gene_product"	"[{""token"": ""ICBP90"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Gene_or_gene_product""}]"
Towards elucidating the functions of this family, we analysed the expression of ICBP90 in various cancer or noncancer cell lines and in normal or breast carcinoma tissues.	"ICBP90	80	86	Gene_or_gene_product"	"[{""token"": ""ICBP90"", ""start_span"": 80, ""end_span"": 86, ""type"": ""Gene_or_gene_product""}]"
By using cell - cycle phase - blocking drugs, we show that in primary cultured human lung fibroblasts, ICBP90 expression peaks at late G1 and during G2 / M phases.	"ICBP90	103	109	Gene_or_gene_product"	"[{""token"": ""ICBP90"", ""start_span"": 103, ""end_span"": 109, ""type"": ""Gene_or_gene_product""}]"
In contrast, cancer cell lines such as HeLa, Jurkat and A549 show constant ICBP90 expression throughout the entire cell cycle.	"ICBP90	75	81	Gene_or_gene_product"	"[{""token"": ""ICBP90"", ""start_span"": 75, ""end_span"": 81, ""type"": ""Gene_or_gene_product""}]"
Identification of a novel human uridine phosphorylase.	"uridine phosphorylase	32	53	Gene_or_gene_product"	"[{""token"": ""uridine phosphorylase"", ""start_span"": 32, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}]"
The enzyme has an important role in the metabolism of pyrimidine analogs used in cancer chemotherapy.	"pyrimidine	54	64	Chemical"	"[{""token"": ""pyrimidine"", ""start_span"": 54, ""end_span"": 64, ""type"": ""Chemical""}]"
The mouse UPase - 2 cDNA was also identified and shown to be predominantly expressed in liver.	"UPase - 2	10	19	Gene_or_gene_product"	"[{""token"": ""UPase - 2"", ""start_span"": 10, ""end_span"": 19, ""type"": ""Gene_or_gene_product""}]"
However, NBS1 is also thought to play additional roles in the cellular response to DNA damage.	"NBS1	9	13	Gene_or_gene_product"	"[{""token"": ""NBS1"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Gene_or_gene_product""}]"
The theoretical model of the interactions is supported by experimental data from glutathione S - transferase pull - downs and co - immunoprecipitations.	"glutathione S - transferase	81	108	Gene_or_gene_product"	"[{""token"": ""glutathione S - transferase"", ""start_span"": 81, ""end_span"": 108, ""type"": ""Gene_or_gene_product""}]"
This indicates that hc - Rel exists in different multi - protein complexes and fits a model of functional regulation mediated by differential protein - protein interaction.	"hc - Rel	20	28	Gene_or_gene_product"	"[{""token"": ""hc - Rel"", ""start_span"": 20, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}]"
This finding indicates a role for both proteins in intracellular signal transduction pathways which are modulated by modification of their phosphorylation status.	"intracellular	51	64	Cellular_component"	"[{""token"": ""intracellular"", ""start_span"": 51, ""end_span"": 64, ""type"": ""Cellular_component""}]"
In view of the important role of cGMP for cardiovascular function, expression of this transport protein in human heart is of relevance.	"cGMP	33	37	Chemical"	"[{""token"": ""cGMP"", ""start_span"": 33, ""end_span"": 37, ""type"": ""Chemical""}]"
We analyzed the expression and localization of MRP5 in human heart [ 21 auricular ( AS) and 15 left ventricular samples ( LV) including 5 samples of dilated and ischemic cardiomyopathy].	"MRP5	47	51	Gene_or_gene_product"	"[{""token"": ""MRP5"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}]"
Immunohistochemistry with the affinity - purified antibody revealed localization of MRP5 in cardiomyocytes as well as in cardiovascular endothelial and smooth muscle cells.	"MRP5	84	88	Gene_or_gene_product"	"[{""token"": ""MRP5"", ""start_span"": 84, ""end_span"": 88, ""type"": ""Gene_or_gene_product""}]"
In addition, we screened genomic DNA from our samples for 20 single - nucleotide polymorphisms in the MRP5 gene.	"MRP5	102	106	Gene_or_gene_product"	"[{""token"": ""MRP5"", ""start_span"": 102, ""end_span"": 106, ""type"": ""Gene_or_gene_product""}]"
These results indicate that MRP5 is localized in cardiac and cardiovascular myocytes as well as endothelial cells with increased expression in ischemic cardiomyopathy.	"MRP5	28	32	Gene_or_gene_product"	"[{""token"": ""MRP5"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}]"
Pharmacological analysis of signal transduction pathways required for oxidative burst in chicken heterophils stimulated by a Toll - like receptor 2 agonist.	"Toll - like receptor 2	125	147	Gene_or_gene_product"	"[{""token"": ""Toll - like receptor 2"", ""start_span"": 125, ""end_span"": 147, ""type"": ""Gene_or_gene_product""}]"
mTOR signaling to translation.	"mTOR	0	4	Gene_or_gene_product"	"[{""token"": ""mTOR"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
Protein phosphatases that regulate multifunctional Ca2 + / calmodulin - dependent protein kinases: from biochemistry to pharmacology.	"Ca2 + / calmodulin - dependent protein kinases	51	97	Gene_or_gene_product"	"[{""token"": ""Ca2 + / calmodulin - dependent protein kinases"", ""start_span"": 51, ""end_span"": 97, ""type"": ""Gene_or_gene_product""}]"
Multifunctional Ca ( 2 +) / calmodulin - dependent protein kinases ( CaMKs) play pivotal roles in Ca ( 2 +) signaling pathways, such as the regulation of the neuronal functions of learning, memory, and neuronal cell death.	"CaMKs	69	74	Gene_or_gene_product"	"[{""token"": ""CaMKs"", ""start_span"": 69, ""end_span"": 74, ""type"": ""Gene_or_gene_product""}]"
"Although the activation mechanisms for multifunctional CaMKs through phosphorylation, which correspond to "" switch on, "" have been extensively studied, the negative regulatory mechanisms through dephosphorylation, which correspond to "" switch off, "" have not."	"CaMKs	55	60	Gene_or_gene_product"	"[{""token"": ""CaMKs"", ""start_span"": 55, ""end_span"": 60, ""type"": ""Gene_or_gene_product""}]"
In this review, we focused on the regulation of multifunctional CaMKs by the protein phosphatases responsible.	"CaMKs	64	69	Gene_or_gene_product"	"[{""token"": ""CaMKs"", ""start_span"": 64, ""end_span"": 69, ""type"": ""Gene_or_gene_product""}]"
We first summarized the current understanding of negative regulation of CaMKs by known protein phosphatases and their physiological significance.	"CaMKs	72	77	Gene_or_gene_product"	"[{""token"": ""CaMKs"", ""start_span"": 72, ""end_span"": 77, ""type"": ""Gene_or_gene_product""}]"
We then discussed newly developed methods for detection of protein phosphatases involved in the regulation of CaMKs.	"CaMKs	110	115	Gene_or_gene_product"	"[{""token"": ""CaMKs"", ""start_span"": 110, ""end_span"": 115, ""type"": ""Gene_or_gene_product""}]"
Soluble forms of Toll - like receptor ( TLR) 2 capable of modulating TLR2 signaling are present in human plasma and breast milk.	"TLR2	69	73	Gene_or_gene_product"	"[{""token"": ""TLR2"", ""start_span"": 69, ""end_span"": 73, ""type"": ""Gene_or_gene_product""}]"
We have therefore sought specific regulatory mechanisms that may modulate TLR signaling.	"TLR	74	77	Gene_or_gene_product"	"[{""token"": ""TLR"", ""start_span"": 74, ""end_span"": 77, ""type"": ""Gene_or_gene_product""}]"
In this study, we tested for the possible existence of a functionally active soluble form of TLR2.	"TLR2	93	97	Gene_or_gene_product"	"[{""token"": ""TLR2"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Gene_or_gene_product""}]"
sTLR2 was found naturally expressed in breast milk and plasma.	"sTLR2	0	5	Gene_or_gene_product"	"[{""token"": ""sTLR2"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_gene_product""}]"
Notably, serum sTLR2 was lower in tuberculosis patients.	"sTLR2	15	20	Gene_or_gene_product"	"[{""token"": ""sTLR2"", ""start_span"": 15, ""end_span"": 20, ""type"": ""Gene_or_gene_product""}]"
These findings suggest the existence of a novel and specific innate immune mechanism regulating microbial - induced TLR triggering, and may lead to new therapeutics for the prevention and / or treatment of severe infectious diseases.	"TLR	116	119	Gene_or_gene_product"	"[{""token"": ""TLR"", ""start_span"": 116, ""end_span"": 119, ""type"": ""Gene_or_gene_product""}]"
The MA - induced relaxation in LIMA was repeatable, nontoxic, and age independent.	"MA	4	6	Chemical"	"[{""token"": ""MA"", ""start_span"": 4, ""end_span"": 6, ""type"": ""Chemical""}]"
The replication fork block protein Fob1 functions as a negative regulator of the FEAR network.	"Fob1	35	39	Gene_or_gene_product"	"[{""token"": ""Fob1"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}]"
BACKGROUND: The protein phosphatase Cdc14 is a key regulator of exit from mitosis in budding yeast.	"Cdc14	36	41	Gene_or_gene_product"	"[{""token"": ""Cdc14"", ""start_span"": 36, ""end_span"": 41, ""type"": ""Gene_or_gene_product""}]"
CONCLUSIONS: Fob1 functions as a negative regulator of the FEAR network.	"Fob1	13	17	Gene_or_gene_product"	"[{""token"": ""Fob1"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Gene_or_gene_product""}]"
The p53 tumor suppressor gene is believed to play an important role in neuronal cell death in acute neurological disease and in neurodegeneration.	"p53	4	7	Gene_or_gene_product"	"[{""token"": ""p53"", ""start_span"": 4, ""end_span"": 7, ""type"": ""Gene_or_gene_product""}]"
Using DNA microarray analysis, we have found a striking induction of the proapoptotic gene, SIVA.	"SIVA	92	96	Gene_or_gene_product"	"[{""token"": ""SIVA"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Gene_or_gene_product""}]"
SIVA up - regulation is sufficient to initiate the apoptotic cascade in neurons.	"SIVA	0	4	Gene_or_gene_product"	"[{""token"": ""SIVA"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
Sequence analysis has shown that these consensus sites are also conserved between mouse and human SIVA genes.	"SIVA	98	102	Gene_or_gene_product"	"[{""token"": ""SIVA"", ""start_span"": 98, ""end_span"": 102, ""type"": ""Gene_or_gene_product""}]"
Inactivating Cdc25, mitotic style.	"Cdc25	13	18	Gene_or_gene_product"	"[{""token"": ""Cdc25"", ""start_span"": 13, ""end_span"": 18, ""type"": ""Gene_or_gene_product""}]"
Mitotic entry and exit require activation and inactivation of the Cdk1 - cyclin B kinase complex, respectively.	"Cdk1 - cyclin B	66	81	Complex"	"[{""token"": ""Cdk1 - cyclin B"", ""start_span"": 66, ""end_span"": 81, ""type"": ""Complex""}]"
Here, we discuss the mechanisms of Cdc25 regulation and how they pertain to both mitotic entry and exit.	"Cdc25	35	40	Gene_or_gene_product"	"[{""token"": ""Cdc25"", ""start_span"": 35, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}]"
Alterations in transcription of genes regulated by members of the E2F family of transcription factors can be viewed as a measure of the ebb and flow in a constantly evolving battle between repressor and activator complexes.	"E2F	66	69	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 66, ""end_span"": 69, ""type"": ""Gene_or_gene_product""}]"
E2F has traditionally been viewed in the context of cell - cycle control.	"E2F	0	3	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
This occurs in a manner that is significantly different from the regulation of classic E2F - responsive targets.	"E2F	87	90	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 87, ""end_span"": 90, ""type"": ""Gene_or_gene_product""}]"
Survivin is a putative oncogene that is aberrantly expressed in cancer cells.	"Survivin	0	8	Gene_or_gene_product"	"[{""token"": ""Survivin"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
Thus, p16INK4a has the capacity to arrest cells in the G1 - phase of the cell cycle and its probable physiological role is in the implementation of irreversible growth arrest termed cellular senescence.	"p16INK4a	6	14	Gene_or_gene_product"	"[{""token"": ""p16INK4a"", ""start_span"": 6, ""end_span"": 14, ""type"": ""Gene_or_gene_product""}]"
In contrast to normal cells, the function of the p16INK4a gene or its downstream mediators is frequently deregulated in many types of human cancers, illustrating the importance of cellular senescence in tumor suppression.	"p16INK4a	49	57	Gene_or_gene_product"	"[{""token"": ""p16INK4a"", ""start_span"": 49, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}]"
In this review, we discuss both the genetic and enzymatic characterization of 11beta - HSD1, as well as describing its role in physiology and pathology in a tissue - specific manner.	"11beta - HSD1	78	91	Gene_or_gene_product"	"[{""token"": ""11beta - HSD1"", ""start_span"": 78, ""end_span"": 91, ""type"": ""Gene_or_gene_product""}]"
Therapeutic inhibition of 11beta - HSD1 reductase activity in patients with obesity and the metabolic syndrome, as well as in glaucoma and osteoporosis, remains an exciting prospect.	"11beta - HSD1	26	39	Gene_or_gene_product"	"[{""token"": ""11beta - HSD1"", ""start_span"": 26, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}]"
E2Fs link the control of G1 / S and G2 / M transcription.	"E2Fs	0	4	Gene_or_gene_product"	"[{""token"": ""E2Fs"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
Previous work has provided evidence for E2F - dependent transcription control of both G1 / S - and G2 / M - regulated genes.	"E2F	40	43	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 40, ""end_span"": 43, ""type"": ""Gene_or_gene_product""}]"
Our study suggests that signaling specificity can arise from differential regulation of a single transcription factor by two MAP kinases with shared functions in distinct developmental programs.	"MAP kinases	125	136	Gene_or_gene_product"	"[{""token"": ""MAP kinases"", ""start_span"": 125, ""end_span"": 136, ""type"": ""Gene_or_gene_product""}]"
Different cyclins promote distinct cell - cycle events, but the molecular basis for these differences remains unclear.	"cyclins	10	17	Gene_or_gene_product"	"[{""token"": ""cyclins"", ""start_span"": 10, ""end_span"": 17, ""type"": ""Gene_or_gene_product""}]"
We discuss this regulation with respect to other known E2F targets.	"E2F	55	58	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 55, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}]"
mTOR signaling is positively regulated by hormones or growth factors and amino acids.	"mTOR	0	4	Gene_or_gene_product"	"[{""token"": ""mTOR"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
mTOR signaling regulates the phosphorylation of several proteins, the best characterized being ones that control mRNA translation.	"mTOR	0	4	Gene_or_gene_product"	"[{""token"": ""mTOR"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
Pocket proteins and cell cycle control.	"Pocket proteins	0	15	Gene_or_gene_product"	"[{""token"": ""Pocket proteins"", ""start_span"": 0, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}]"
These proteins are best known for their roles in restraining the G1 - S transition through the regulation of E2F - responsive genes.	"E2F	109	112	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 109, ""end_span"": 112, ""type"": ""Gene_or_gene_product""}]"
New insights into pocket protein regulation have also been obtained.	"pocket protein	18	32	Gene_or_gene_product"	"[{""token"": ""pocket protein"", ""start_span"": 18, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}]"
Kinases previously thought to be crucial to pocket protein phosphorylation have been shown to be redundant, and new modes of phosphorylation and dephosphorylation have been identified.	"pocket protein	44	58	Gene_or_gene_product"	"[{""token"": ""pocket protein"", ""start_span"": 44, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}]"
Despite these advances, much remains to be learned about the pocket proteins, particularly with regard to their developmental and tumor suppressor functions.	"pocket proteins	61	76	Gene_or_gene_product"	"[{""token"": ""pocket proteins"", ""start_span"": 61, ""end_span"": 76, ""type"": ""Gene_or_gene_product""}]"
Thus continues the story of the pocket proteins and the cell cycle.	"pocket proteins	32	47	Gene_or_gene_product"	"[{""token"": ""pocket proteins"", ""start_span"": 32, ""end_span"": 47, ""type"": ""Gene_or_gene_product""}]"
LRP5 mutations in osteoporosis - pseudoglioma syndrome and high - bone - mass disorders.	"LRP5	0	4	Gene_or_gene_product"	"[{""token"": ""LRP5"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
