Acid pH activation of the PmrA / PmrB two - component regulatory system of Salmonella enterica	"Salmonella enterica	75	94	Organism"	"[{""token"": ""Salmonella enterica"", ""start_span"": 75, ""end_span"": 94, ""type"": ""Organism""}]"
The SPI - 2 - encoded T3SS and its translocated effectors modify the intracellular host niche for Salmonella replication [ 3 - 5].	"Salmonella	98	108	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 98, ""end_span"": 108, ""type"": ""Organism""}]"
Mutants lacking ssrAB are unable to survive within macrophages and are avirulent in mice [ 1].	"mice	84	88	Organism"	"[{""token"": ""mice"", ""start_span"": 84, ""end_span"": 88, ""type"": ""Organism""}]"
Typhimurium against host cell defences such as oxidative stress and antimicrobial peptides that perturb bacterial membrane integrity and provide a stimulus for sigmaE release [ 4, 12 - 15].	"Typhimurium	0	11	Organism"	"[{""token"": ""Typhimurium"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Organism""}]"
Although proficient at cellular invasion, rpoE or ssrB mutants are highly attenuated for intracellular survival in both cultured cells and animal hosts [ 16].	"rpoE	42	46	Organism"	"[{""token"": ""rpoE"", ""start_span"": 42, ""end_span"": 46, ""type"": ""Organism""}]"
Deletion of rseA in Yersinia pseudotuberculosis causes elevated virulence effector synthesis and secretion [ 18], establishing links between alternative sigma factors and virulence - specific regulators.	"Yersinia pseudotuberculosis	20	47	Organism"	"[{""token"": ""Yersinia pseudotuberculosis"", ""start_span"": 20, ""end_span"": 47, ""type"": ""Organism""}]"
Deletion of rpoE affects a subset of SsrB - regulated virulence genes Salmonella virulence gene expression is coordinated in vivo and may be regulated, in part, by alternative sigma factor ( s) in order to quickly respond to the host environment.	"Salmonella	70	80	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 70, ""end_span"": 80, ""type"": ""Organism""}]"
Typhimurium ( rpoS, rpoN, rpoE, rpoH) for their ability to express a key virulence gene, sseB, that requires SsrB for expression and whose gene product is essential for intracellular pathogenesis.	"Typhimurium	0	11	Organism"	"[{""token"": ""Typhimurium"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Organism""}]"
Typhimurium strain SL1344 and we verified that this in - frame deletion had the same effect on SseB as the rpoE:: cat mutant used previously ( Figure 1B).	"Typhimurium strain SL1344	0	25	Organism"	"[{""token"": ""Typhimurium strain SL1344"", ""start_span"": 0, ""end_span"": 25, ""type"": ""Organism""}]"
Typhimurium.	"Typhimurium	0	11	Organism"	"[{""token"": ""Typhimurium"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Organism""}]"
In this work we found that the alternative sigma factor, sigmaE, is involved in fine tuning the expressing of a subset of SsrB - regulated virulence genes required for Salmonella pathogenesis.	"Salmonella	168	178	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 168, ""end_span"": 178, ""type"": ""Organism""}]"
We predict that RpoE confers a similar fine - tuning effect on Salmonella virulence gene expression that is required for optimal within - host fitness during infection.	"Salmonella	63	73	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 63, ""end_span"": 73, ""type"": ""Organism""}]"
This integration may help Salmonella coordinate expression of the virulence - associated T3SS in response to host factors that compromise bacterial membrane integrity ( Figure 4).	"Salmonella	26	36	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 26, ""end_span"": 36, ""type"": ""Organism""}]"
Caenorhabditis elegans is a simple model with which one can identify bacterial virulence genes.	"Caenorhabditis elegans	0	22	Organism"	"[{""token"": ""Caenorhabditis elegans"", ""start_span"": 0, ""end_span"": 22, ""type"": ""Organism""}]"
We screened a 2, 200 - member STM mutant library generated in a cystic fibrosis airway P. aeruginosa isolate, TBCF10839.	"TBCF10839	110	119	Organism"	"[{""token"": ""TBCF10839"", ""start_span"": 110, ""end_span"": 119, ""type"": ""Organism""}]"
The cheB2 mutant was tested in a murine lung infection model and found to have a highly attenuated virulence.	"murine	33	39	Organism"	"[{""token"": ""murine"", ""start_span"": 33, ""end_span"": 39, ""type"": ""Organism""}]"
It has been demonstrated that the nematode Caenorhabditis elegans can be an effective model for studying virulence mechanisms used by a variety of bacterial pathogens [ 5], [ 6].	"Caenorhabditis elegans	43	65	Organism"	"[{""token"": ""Caenorhabditis elegans"", ""start_span"": 43, ""end_span"": 65, ""type"": ""Organism""}]"
"Nematodes exposed to PA14 grown on nematode growth media ( NGM), succumb to "" slow killing ""."	"PA14	21	25	Organism"	"[{""token"": ""PA14"", ""start_span"": 21, ""end_span"": 25, ""type"": ""Organism""}]"
Finally, C. elegans death, called red death, is observed in response to PAO1 grown on phosphate - depleted medium in conjunction with physiological stress on the nematodes [ 10].	"PAO1	72	76	Organism"	"[{""token"": ""PAO1"", ""start_span"": 72, ""end_span"": 76, ""type"": ""Organism""}]"
It is known that the P. aeruginosa isolates PA14 and PAO1 show genomic diversity.	"PAO1	53	57	Organism"	"[{""token"": ""PAO1"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Organism""}]"
The TB strain belongs to an abundant clonal complex in the P. aeruginosa population [ 15].	"TB	4	6	Organism"	"[{""token"": ""TB"", ""start_span"": 4, ""end_span"": 6, ""type"": ""Organism""}]"
By testing these mutants in additional phenotypic assays, including adherence to epithelial cells and virulence in a mouse model, we identified a gene, cheB2, necessary for in vivo P. aeruginosa virulence.	"mouse	117	122	Organism"	"[{""token"": ""mouse"", ""start_span"": 117, ""end_span"": 122, ""type"": ""Organism""}]"
In Escherichia coli, the loss of CheB leads decreased receptor sensitivity, due to an inability to reset the MCP ' s [ 30].	"Escherichia coli	3	19	Organism"	"[{""token"": ""Escherichia coli"", ""start_span"": 3, ""end_span"": 19, ""type"": ""Organism""}]"
We used a gacA mutant from the PA14 transposon library ( http: / / ausubellab. mgh. harvard. edu / cgi - bin / pa14 / home. cgi) [ 34], which is affected in a gene encoding a response regulator involved in virulence [ 8].	"PA14	31	35	Organism"	"[{""token"": ""PA14"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Organism""}]"
C. elegans infection using this mutant in the liquid assay resulted in only 40% killing at 24 h, whereas 95% killing was observed with the parental PA14 strain ( data not shown).	"PA14	148	152	Organism"	"[{""token"": ""PA14"", ""start_span"": 148, ""end_span"": 152, ""type"": ""Organism""}]"
Screening the TB Transposon Library for Mutants Attenuated in Virulence	"TB	14	16	Organism"	"[{""token"": ""TB"", ""start_span"": 14, ""end_span"": 16, ""type"": ""Organism""}]"
A signature tagged mutagenesis ( STM) library was previously generated in the virulent P. aeruginosa CF isolate, TB, using the plasposon vector pTnModOGm [ 20], [ 35].	"TB	113	115	Organism"	"[{""token"": ""TB"", ""start_span"": 113, ""end_span"": 115, ""type"": ""Organism""}]"
Auxotrophic mutants were removed from the library by pre - screening post - conjugation TB isolates onto minimal media and selecting only clones, which grew normally.	"TB	88	90	Organism"	"[{""token"": ""TB"", ""start_span"": 88, ""end_span"": 90, ""type"": ""Organism""}]"
The mutants selected were segregated into three groups based upon their level of virulence attenuation as compared to the TB parental strain, which killed 85% of worms under the test conditions.	"TB	122	124	Organism"	"[{""token"": ""TB"", ""start_span"": 122, ""end_span"": 124, ""type"": ""Organism""}]"
When cultured in the presence of these mutants more than 70% of worms survived, representing a near 5 - fold reduction in virulence compared to TB.	"TB	144	146	Organism"	"[{""token"": ""TB"", ""start_span"": 144, ""end_span"": 146, ""type"": ""Organism""}]"
The sequences obtained were compared to the PAO1 genome sequence database ( http: / / www. pseudomonas. com) [ 22] followed by comparison with the general sequence database.	"PAO1	44	48	Organism"	"[{""token"": ""PAO1"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Organism""}]"
The first, PA2588, encodes an AraC - type regulatory protein, with 48% similarity to the PAO1 PA0831 gene product, OruR [ 36].	"PAO1	89	93	Organism"	"[{""token"": ""PAO1"", ""start_span"": 89, ""end_span"": 93, ""type"": ""Organism""}]"
The second matched PA4380, which encodes a protein with 76% similarity to Pseudomonas fluorescens ColS, a histidine kinase sensor from a two - component regulatory system.	"Pseudomonas fluorescens	74	97	Organism"	"[{""token"": ""Pseudomonas fluorescens"", ""start_span"": 74, ""end_span"": 97, ""type"": ""Organism""}]"
In P. fluorescens ColS has been implicated in root colonization while in Pseudomonas putida it has been reported to be involved in regulating TN4652 transposition and heavy metal resistance [ 37], [ 38], [ 39], [ 40].	"Pseudomonas putida	73	91	Organism"	"[{""token"": ""Pseudomonas putida"", ""start_span"": 73, ""end_span"": 91, ""type"": ""Organism""}]"
PA0173 lies within the chemotactic gene cluster II found in the PAO1 genome ( Figure 1) [ 21].	"PAO1	64	68	Organism"	"[{""token"": ""PAO1"", ""start_span"": 64, ""end_span"": 68, ""type"": ""Organism""}]"
Each of the 12 group 1A mutants derived from TB was further tested in the slow killing assay.	"TB	45	47	Organism"	"[{""token"": ""TB"", ""start_span"": 45, ""end_span"": 47, ""type"": ""Organism""}]"
The parental TB isolate is able to kill 50% of exposed nematodes in the slow killing assay within 3 days.	"TB	13	15	Organism"	"[{""token"": ""TB"", ""start_span"": 13, ""end_span"": 15, ""type"": ""Organism""}]"
Phenotypic Analysis of Selected TB mutants	"TB mutants	32	42	Organism"	"[{""token"": ""TB mutants"", ""start_span"": 32, ""end_span"": 42, ""type"": ""Organism""}]"
We wished to determine if our selected mutants showed a reduction in their capacity to adhere to a biological surface such as the human epithelial cell line 16HBE14o -.	"human	130	135	Organism"	"[{""token"": ""human"", ""start_span"": 130, ""end_span"": 135, ""type"": ""Organism""}]"
We chose to further characterize the TB0173s mutant ( cheB2), as this isolate was affected in all phenotypes tested and thus exhibited a general motility and virulence defect ( Table 1).	"TB0173s	37	44	Organism"	"[{""token"": ""TB0173s"", ""start_span"": 37, ""end_span"": 44, ""type"": ""Organism""}]"
A series of 8 PCR reactions were performed using oligonucleotides based on the nucleotide sequence obtained from the PA14 genome sequence ( Table S1).	"PA14	117	121	Organism"	"[{""token"": ""PA14"", ""start_span"": 117, ""end_span"": 121, ""type"": ""Organism""}]"
The 8 PCR products were meant to cover the totality of the che2 cluster ( Figure 1 and Figure S2) starting from the mcpA gene to the PA0171 gene located downstream cheB2 ( PA0173).	"PA0171	133	139	Organism"	"[{""token"": ""PA0171"", ""start_span"": 133, ""end_span"": 139, ""type"": ""Organism""}]"
To validate that the loss of virulence and other phenotypic changes observed with the TB strain were a result of the transposon disruption of the cheB2 gene, we generated a new mutant by interrupting the cheB2 gene ( see Materials and Methods).	"TB	86	88	Organism"	"[{""token"": ""TB"", ""start_span"": 86, ""end_span"": 88, ""type"": ""Organism""}]"
As shown in Figure 3A, the newly engineered cheB2 mutant, called TB0173i ( p < 0. 005), showed a delayed C. elegans killing comparable to the original STM cheB2 mutant TB0173s ( p < 0. 004).	"TB0173i	65	72	Organism"	"[{""token"": ""TB0173i"", ""start_span"": 65, ""end_span"": 72, ""type"": ""Organism""}]"
In addition, we engineered a similar cheB2 mutation in the P. aeruginosa PA14 strain, yielding PA140173i ( see Materials and Methods), and observed similar virulence attenuation on C. elegans ( Figure S3).	"PA140173i	95	104	Organism"	"[{""token"": ""PA140173i"", ""start_span"": 95, ""end_span"": 104, ""type"": ""Organism""}]"
This further confirmed the virulence phenotype of a cheB2 mutant and indicated that it is not a TB strain - specific trait.	"TB	96	98	Organism"	"[{""token"": ""TB"", ""start_span"": 96, ""end_span"": 98, ""type"": ""Organism""}]"
The empty vector, mini - CTX1, was also introduced into the TB0173s cheB2 mutant, generating TB0173sCTX.	"TB0173sCTX	93	103	Organism"	"[{""token"": ""TB0173sCTX"", ""start_span"": 93, ""end_span"": 103, ""type"": ""Organism""}]"
The cheB1 mutant was used to feed C. elegans in the slow killing assay and the survival percentage was compared to those obtained when using the cheB2 mutant or the parental TB strain ( Figure 3C).	"TB	174	176	Organism"	"[{""token"": ""TB"", ""start_span"": 174, ""end_span"": 176, ""type"": ""Organism""}]"
Interestingly, the cheB1 mutant showed no significant reduction in C. elegans killing when compared to the parental TB strain, with only 36% of the worms alive after 4 days post infection.	"TB	116	118	Organism"	"[{""token"": ""TB"", ""start_span"": 116, ""end_span"": 118, ""type"": ""Organism""}]"
This is in contrast to the loss of virulence in the original cheB2 mutant ( TB0173s) and the insertional cheB2 mutant TB0173i.	"TB0173s	76	83	Organism"	"[{""token"": ""TB0173s"", ""start_span"": 76, ""end_span"": 83, ""type"": ""Organism""}]"
However, the TB1459i strain ( cheB1 mutant) was no longer able to move towards the attractant, and thus showed a defect in this chemotaxis assay ( Figure S4).	"TB1459i	13	20	Organism"	"[{""token"": ""TB1459i"", ""start_span"": 13, ""end_span"": 20, ""type"": ""Organism""}]"
The cheB2 Mutant Shows Reduced Virulence in Mice	"Mice	44	48	Organism"	"[{""token"": ""Mice"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Organism""}]"
We further tested the virulence of the cheB2 mutant TB0173s in a mouse model of lung infection, utilizing the view - controlled intratracheal infection protocol [ 48].	"mouse	65	70	Organism"	"[{""token"": ""mouse"", ""start_span"": 65, ""end_span"": 70, ""type"": ""Organism""}]"
Ten female C3H / HeN mice each were inoculated with 7. 5x106 CFU equivalent to the LD50 dose of the wild type strain determined in prior experiments ( data not shown).	"C3H / HeN mice	11	25	Organism"	"[{""token"": ""C3H / HeN mice"", ""start_span"": 11, ""end_span"": 25, ""type"": ""Organism""}]"
Infection with the complemented strain TB0173sp2B2 resulted in 60% dead by day 3 ( 6 of 10; P = 0, 0018, Fisher ' s exact test) ( Figure 4A).	"TB0173sp2B2	39	50	Organism"	"[{""token"": ""TB0173sp2B2"", ""start_span"": 39, ""end_span"": 50, ""type"": ""Organism""}]"
We have also evaluated the body condition of the mice during bacterial infection ( see Materials and Methods).	"mice	49	53	Organism"	"[{""token"": ""mice"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Organism""}]"
Under slow killing conditions ( Figure 3) the TB strain requires approximately three days to kill 50% of a given worm population, and up to 8 days to kill all the worms in a population of 50 nematodes.	"TB	46	48	Organism"	"[{""token"": ""TB"", ""start_span"": 46, ""end_span"": 48, ""type"": ""Organism""}]"
We tested additional virulence and motility related phenotypes including C. elegans slow killing, swarming and swimming motility, or adherence to human cells ( Table 1).	"human	146	151	Organism"	"[{""token"": ""human"", ""start_span"": 146, ""end_span"": 151, ""type"": ""Organism""}]"
This mutant, named TB0173s, has a transposon insertion in PA0173, cheB2, one of four cheB genes found in P. aeruginosa.	"TB0173s	19	26	Organism"	"[{""token"": ""TB0173s"", ""start_span"": 19, ""end_span"": 26, ""type"": ""Organism""}]"
For example, we may hypothesize that within the gut of the nematode, or the lungs of the mice, bacteria might reach high cell density and develop as biofilm.	"mice	89	93	Organism"	"[{""token"": ""mice"", ""start_span"": 89, ""end_span"": 93, ""type"": ""Organism""}]"
