Aldose reductase, a key enzyme in the oxidative deamination of norepinephrine in rats.	"norepinephrine	63	77	Chemical"	"[{""token"": ""norepinephrine"", ""start_span"": 63, ""end_span"": 77, ""type"": ""Chemical""}]"
Oroxylin A prevents inflammation - related tumor through down - regulation of inflammatory gene expression by inhibiting NF - kappaB signaling.	"Oroxylin A	0	10	Chemical"	"[{""token"": ""Oroxylin A"", ""start_span"": 0, ""end_span"": 10, ""type"": ""Chemical""}]"
Here we reported the inhibitory effects of oroxylin A on the inflammation - stimulated proliferation of tumor cells and delineated the mechanism of its action.	"oroxylin A	43	53	Chemical"	"[{""token"": ""oroxylin A"", ""start_span"": 43, ""end_span"": 53, ""type"": ""Chemical""}]"
The results indicated that treatment with oroxylin A inhibited NF - kappaB p65 nuclear translocation and phosphorylation of IkappaBalpha and IKKalpha / beta in both human colon tumor HCT116 cells and human monocytes THP - 1 cells.	"oroxylin A	42	52	Chemical"	"[{""token"": ""oroxylin A"", ""start_span"": 42, ""end_span"": 52, ""type"": ""Chemical""}]"
In summary, oroxylin A modulated NF - kappaB signaling pathway involved in inflammation - induced cancer initiation and progression and therefore could be a potential cancer chemoprevention agent for inflammation - related cancer.	"oroxylin A	12	22	Chemical"	"[{""token"": ""oroxylin A"", ""start_span"": 12, ""end_span"": 22, ""type"": ""Chemical""}]"
The new conformation of Arg - 447 triggers a concerted set of shifts which transmits conformational change to the surface of the protein, 30 A from the active site.	"Arg - 447	24	33	Chemical"	"[{""token"": ""Arg - 447"", ""start_span"": 24, ""end_span"": 33, ""type"": ""Chemical""}]"
Mdr2 expression in SVs caused a time - and temperature - dependent enhancement of PC translocation to the inner leaflet of the membrane.	"PC	82	84	Chemical"	"[{""token"": ""PC"", ""start_span"": 82, ""end_span"": 84, ""type"": ""Chemical""}]"
The Mdr2 - mediated effect was specific since expression of Mdr3 in these vesicles was without effect on the membrane distribution of PC.	"PC	134	136	Chemical"	"[{""token"": ""PC"", ""start_span"": 134, ""end_span"": 136, ""type"": ""Chemical""}]"
Our previous work showed that post - translationally modified Rho in its GTP - bound state stimulated phosphatidylinositol 4 - phosphate 5 - kinase ( PIP5K) activity in mouse fibroblast lysates.	"GTP	73	76	Chemical"	"[{""token"": ""GTP"", ""start_span"": 73, ""end_span"": 76, ""type"": ""Chemical""}]"
The Rho - associated PIP5K responded to phosphatidic acid differentially from the erythrocyte type I PIP5K, suggesting that it could be a distinct isoform not reported previously.	"phosphatidic acid	40	57	Chemical"	"[{""token"": ""phosphatidic acid"", ""start_span"": 40, ""end_span"": 57, ""type"": ""Chemical""}]"
This enzyme is required for the degradation of N - linked carbohydrates during glycoprotein catabolism in eucaryotic cells.	"carbohydrates	58	71	Chemical"	"[{""token"": ""carbohydrates"", ""start_span"": 58, ""end_span"": 71, ""type"": ""Chemical""}]"
In addition, the Pichia - expressed enzyme was inhibited by swainsonine, and had a pH optimum, Km, and Vmax characteristic of the enzyme purified previously from human liver.	"swainsonine	60	71	Chemical"	"[{""token"": ""swainsonine"", ""start_span"": 60, ""end_span"": 71, ""type"": ""Chemical""}]"
In vitro, MNK1 rapidly phosphorylates eIF - 4E at the physiologically relevant site, Ser209.	"Ser209	85	91	Chemical"	"[{""token"": ""Ser209"", ""start_span"": 85, ""end_span"": 91, ""type"": ""Chemical""}]"
Remarkably, these kinases can convert phosphatidylinositol 3 - phosphate to phosphatidylinositol 3, 4, 5 - trisphosphate in a concerted reaction.	"phosphatidylinositol 3 - phosphate	38	72	Chemical"	"[{""token"": ""phosphatidylinositol 3 - phosphate"", ""start_span"": 38, ""end_span"": 72, ""type"": ""Chemical""}]"
These unexpected activities position the PIP5Ks as potential participants in the generation of all polyphosphoinositide signaling molecules.	"polyphosphoinositide	99	119	Chemical"	"[{""token"": ""polyphosphoinositide"", ""start_span"": 99, ""end_span"": 119, ""type"": ""Chemical""}]"
Previous studies in rat hepatocytes suggested that organic anion uptake is associated with base exchange.	"organic anion	51	64	Chemical"	"[{""token"": ""organic anion"", ""start_span"": 51, ""end_span"": 64, ""type"": ""Chemical""}]"
Addition of 25 microM taurocholate to the superfusate led to a rapid fall in pHi in induced ( - 0. 037 + / - 0. 011 pH units / min to pHi of 7. 41 + / - 0. 14) but not in noninduced ( 0. 003 + / - 0. 006 pH units / min to pHi of 7. 61 + / - 0. 08) cells ( p < 0. 03).	"taurocholate	22	34	Chemical"	"[{""token"": ""taurocholate"", ""start_span"": 22, ""end_span"": 34, ""type"": ""Chemical""}]"
We conclude that organic anion / base exchange is an important, potentially regulatable component of oatp function.	"organic anion	17	30	Chemical"	"[{""token"": ""organic anion"", ""start_span"": 17, ""end_span"": 30, ""type"": ""Chemical""}]"
Cdc53 is a scaffold protein for multiple Cdc34 / Skp1 / F - box proteincomplexes that regulate cell division and methionine biosynthesis in yeast.	"methionine	113	123	Chemical"	"[{""token"": ""methionine"", ""start_span"": 113, ""end_span"": 123, ""type"": ""Chemical""}]"
F - box proteins show remarkable functional specificity in vivo: Cdc4 is specific for degradation of Sic1, Grr1 is specific for degradation of the G1 cyclin Cln2, and Met30 is specific for repression of methionine biosynthesis genes.	"methionine	203	213	Chemical"	"[{""token"": ""methionine"", ""start_span"": 203, ""end_span"": 213, ""type"": ""Chemical""}]"
This occurs via the novel, putative TPP pyrophosphatase localised in the mitochondrial matrix, as shown both by digitonin titration and by an HPLC enzyme assay carried out on the mitochondrial matrix fraction.	"digitonin	112	121	Chemical"	"[{""token"": ""digitonin"", ""start_span"": 112, ""end_span"": 121, ""type"": ""Chemical""}]"
Additional evidence is given that externally added TMP can cross the mitochondrial membrane in a manner consistent with the occurrence of a carrier - mediated process.	"TMP	51	54	Chemical"	"[{""token"": ""TMP"", ""start_span"": 51, ""end_span"": 54, ""type"": ""Chemical""}]"
In vitro, in the presence of ATP, the bound protein is folded and released in order to become associated with Cdk2.	"ATP	29	32	Chemical"	"[{""token"": ""ATP"", ""start_span"": 29, ""end_span"": 32, ""type"": ""Chemical""}]"
Thus, both the acquisition of the native state and turnover of cyclin E involve ATP - dependent processes mediated by large oligomeric assemblies.	"ATP	80	83	Chemical"	"[{""token"": ""ATP"", ""start_span"": 80, ""end_span"": 83, ""type"": ""Chemical""}]"
The irradiation - induced decrease in Cdc25 activity was suppressed by wortmannin, an inhibitor of phosphatidylinositol ( PI) 3 - kinases, and was dependent on the function of the gene that is mutated in ataxia telangiectasia.	"wortmannin	71	81	Chemical"	"[{""token"": ""wortmannin"", ""start_span"": 71, ""end_span"": 81, ""type"": ""Chemical""}]"
