The normal growth and differentiation of the epidermis require an adequate supply of vitamin A.	"vitamin A	85	94	Chemical"	"[{""token"": ""vitamin A"", ""start_span"": 85, ""end_span"": 94, ""type"": ""Chemical""}]"
Thirdly, a conserved C - terminal motif influences phosphorylation of multiple residues, including rapamycin - insensitive sites.	"rapamycin	99	108	Chemical"	"[{""token"": ""rapamycin"", ""start_span"": 99, ""end_span"": 108, ""type"": ""Chemical""}]"
First, an estrogen receptor - E2F1 fusion protein ( ER - E2F1) potently activates the endogenous cyclin D3 mRNA upon treatment with 4 - hydroxytamoxifen, which induces nuclear accumulation of the otherwise cytosolic fusion protein.	"4 - hydroxytamoxifen	132	152	Chemical"	"[{""token"": ""4 - hydroxytamoxifen"", ""start_span"": 132, ""end_span"": 152, ""type"": ""Chemical""}]"
Furthermore, trans - activation of cyclin D3 by ER - E2F1 occurs even in the presence of the protein synthesis inhibitor cycloheximide and thus appears direct.	"cycloheximide	121	134	Chemical"	"[{""token"": ""cycloheximide"", ""start_span"": 121, ""end_span"": 134, ""type"": ""Chemical""}]"
Finally, mapping experiments localize the essential E2F regulatory element of the cyclin D3 promoter to a noncanonical E2F site in the promoter between nucleotides - 143 and - 135 relative to the initiating methionine codon.	"methionine	207	217	Chemical"	"[{""token"": ""methionine"", ""start_span"": 207, ""end_span"": 217, ""type"": ""Chemical""}]"
In this study, the consequences of LPS - induced PI 3 - kinase activation on cytokine and chemokine expression and the intracellular mechanisms of inflammatory activation were examined in mouse macrophages.	"LPS	35	38	Chemical"	"[{""token"": ""LPS"", ""start_span"": 35, ""end_span"": 38, ""type"": ""Chemical""}]"
LPS stimulation induced a complex formation between PI 3 - kinase and myeloid differentiation factor 88 ( MyD88), which was followed by an induction of IL - 1beta, tumor necrosis factor - alpha ( TNF - alpha) and macrophage inflammatory protein ( MIP) - 2.	"LPS	0	3	Chemical"	"[{""token"": ""LPS"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Chemical""}]"
Inhibition of PI 3 - kinase decreased the LPS - induced transcriptional activity of NF - kappaB, but it had no effect on the nuclear DNA binding activity of NF - kappaB.	"LPS	42	45	Chemical"	"[{""token"": ""LPS"", ""start_span"": 42, ""end_span"": 45, ""type"": ""Chemical""}]"
This interaction was dependent on phosphorylation of serine 154 within the motif RLSKEV of RSK1.	"serine 154	53	63	Chemical"	"[{""token"": ""serine 154"", ""start_span"": 53, ""end_span"": 63, ""type"": ""Chemical""}]"
Mutation of RSK1 serine 154 increased both basal and serum - stimulated RSK activity.	"serine 154	17	27	Chemical"	"[{""token"": ""serine 154"", ""start_span"": 17, ""end_span"": 27, ""type"": ""Chemical""}]"
The protein contains seven Cys residues and consists of a heterogeneous collection of disulfide - linked oligomers.	"Cys	27	30	Chemical"	"[{""token"": ""Cys"", ""start_span"": 27, ""end_span"": 30, ""type"": ""Chemical""}]"
All of the MD - 2 mutant proteins, including one totally lacking Cys residues, were secreted and stable.	"Cys	65	68	Chemical"	"[{""token"": ""Cys"", ""start_span"": 65, ""end_span"": 68, ""type"": ""Chemical""}]"
In contrast to the cotransfection experiments, only WT MD - 2 conferred responsiveness to LPS when secreted proteins were added directly to TLR4 reporter cells.	"LPS	90	93	Chemical"	"[{""token"": ""LPS"", ""start_span"": 90, ""end_span"": 93, ""type"": ""Chemical""}]"
Our data are consistent with a model in which most, possibly all sulfhydryls lie on the surface of a stable MD - 2 core structure where they form both intra - and interchain disulfide bridges.	"sulfhydryls	65	76	Chemical"	"[{""token"": ""sulfhydryls"", ""start_span"": 65, ""end_span"": 76, ""type"": ""Chemical""}]"
The activating transcription factor 2 ( ATF2) is a member of the ATF / cAMP - response element - binding protein family of basic - leucine zipper proteins involved in cellular stress response.	"leucine	131	138	Chemical"	"[{""token"": ""leucine"", ""start_span"": 131, ""end_span"": 138, ""type"": ""Chemical""}]"
Stable expression of ATF2 in human breast carcinoma BT474 cells increases transcriptional activity and confers resistance to the four DNA - damaging agents, but not to transplatin.	"transplatin	168	179	Chemical"	"[{""token"": ""transplatin"", ""start_span"": 168, ""end_span"": 179, ""type"": ""Chemical""}]"
Moreover, the wild type ATF2 - expressing clones exhibited rapid DNA repair after treatment with the four DNA - damaging agents but not transplatin.	"transplatin	136	147	Chemical"	"[{""token"": ""transplatin"", ""start_span"": 136, ""end_span"": 147, ""type"": ""Chemical""}]"
Peroxisomal membrane monocarboxylate transporters: evidence for a redox shuttle system?	"monocarboxylate	21	36	Chemical"	"[{""token"": ""monocarboxylate"", ""start_span"": 21, ""end_span"": 36, ""type"": ""Chemical""}]"
One of the many functions of liver peroxisomes is the beta - oxidation of long - chain fatty acids.	"long - chain fatty acids	74	98	Chemical"	"[{""token"": ""long - chain fatty acids"", ""start_span"": 74, ""end_span"": 98, ""type"": ""Chemical""}]"
It is essential for the continuation of peroxisomal beta - oxidation that a redox shuttle system exist across the peroxisomal membrane to reoxidize NADH.	"NADH	148	152	Chemical"	"[{""token"": ""NADH"", ""start_span"": 148, ""end_span"": 152, ""type"": ""Chemical""}]"
Molecular mechanisms and regulation of iron transport.	"iron	39	43	Chemical"	"[{""token"": ""iron"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Chemical""}]"
Iron homeostasis is primarily maintained through regulation of its transport.	"Iron	0	4	Chemical"	"[{""token"": ""Iron"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Chemical""}]"
The transport of both transferrin - bound and nontransferrin - bound iron to peripheral tissues is discussed.	"iron	69	73	Chemical"	"[{""token"": ""iron"", ""start_span"": 69, ""end_span"": 73, ""type"": ""Chemical""}]"
Finally, the regulation of iron transport is also considered at the molecular level, with posttranscriptional, transcriptional, and posttranslational control mechanisms being reviewed.	"iron	27	31	Chemical"	"[{""token"": ""iron"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Chemical""}]"
Recent results of analyses by immunoelectron microscopy of their distribution pattern are presented which demonstrate that glucose trimming is not restricted to the endoplasmic reticulum ( ER) but additionally is a function accommodated by the Golgi apparatus.	"glucose	123	130	Chemical"	"[{""token"": ""glucose"", ""start_span"": 123, ""end_span"": 130, ""type"": ""Chemical""}]"
The data suggest that, in intact cells, SSAT - 2 may be compartmentalized or it may be inefficient at low intracellular polyamine concentrations.	"polyamine	120	129	Chemical"	"[{""token"": ""polyamine"", ""start_span"": 120, ""end_span"": 129, ""type"": ""Chemical""}]"
While SSAT - 1 mRNA was inducible by polyamine analogues in a variety of cell lines, SSAT - 2 was not.	"polyamine	37	46	Chemical"	"[{""token"": ""polyamine"", ""start_span"": 37, ""end_span"": 46, ""type"": ""Chemical""}]"
The existence of an active, but possibly sequestered, SSAT - 2 enzyme suggests that, under certain conditions, it may be recruited into basal or perturbed polyamine metabolism.	"polyamine	155	164	Chemical"	"[{""token"": ""polyamine"", ""start_span"": 155, ""end_span"": 164, ""type"": ""Chemical""}]"
The human multidrug resistance protein MRP4 functions as a prostaglandin efflux transporter and is inhibited by nonsteroidal antiinflammatory drugs.	"prostaglandin	59	72	Chemical"	"[{""token"": ""prostaglandin"", ""start_span"": 59, ""end_span"": 72, ""type"": ""Chemical""}]"
Although poorly membrane permeable, prostaglandins are believed to exit cells by passive diffusion.	"prostaglandins	36	50	Chemical"	"[{""token"": ""prostaglandins"", ""start_span"": 36, ""end_span"": 50, ""type"": ""Chemical""}]"
We have investigated the interaction between prostaglandins and members of the ATP - binding cassette ( ABC) transporter ABCC [ multidrug resistance protein ( MRP)] family of membrane export pumps.	"prostaglandins	45	59	Chemical"	"[{""token"": ""prostaglandins"", ""start_span"": 45, ""end_span"": 59, ""type"": ""Chemical""}]"
Inhibition of MRP4 by an MRP4 - specific RNA interference construct or by indomethacin reversed this accumulation deficit.	"indomethacin	74	86	Chemical"	"[{""token"": ""indomethacin"", ""start_span"": 74, ""end_span"": 86, ""type"": ""Chemical""}]"
The enzyme has an important role in the metabolism of pyrimidine analogs used in cancer chemotherapy.	"pyrimidine	54	64	Chemical"	"[{""token"": ""pyrimidine"", ""start_span"": 54, ""end_span"": 64, ""type"": ""Chemical""}]"
The identification of a novel uridine phosphorylase with broad substrate specificity is important for studies on both nucleoside metabolism as well as for studies on the pharmacological mechanisms of therapeutic pyrimidine nucleoside analogs.	"pyrimidine nucleoside	212	233	Chemical"	"[{""token"": ""pyrimidine nucleoside"", ""start_span"": 212, ""end_span"": 233, ""type"": ""Chemical""}]"
Here we show that the purified TIR domains of Mal and MyD88 can form stable heterodimers and also that Mal homodimers and oligomers are dissociated in the presence of ATP.	"ATP	167	170	Chemical"	"[{""token"": ""ATP"", ""start_span"": 167, ""end_span"": 170, ""type"": ""Chemical""}]"
Neither theoretical nor experimental data suggest a direct role for the conserved proline in the BB - loop in the association of TLR4, Mal, and MyD88.	"proline	82	89	Chemical"	"[{""token"": ""proline"", ""start_span"": 82, ""end_span"": 89, ""type"": ""Chemical""}]"
Identification of complex formation between two intracellular tyrosine kinase substrates: human c - Rel and the p105 precursor of p50 NF - kappa B.	"tyrosine	62	70	Chemical"	"[{""token"": ""tyrosine"", ""start_span"": 62, ""end_span"": 70, ""type"": ""Chemical""}]"
Furthermore, we demonstrate that p105 and hc - Rel are tyrosine kinase substrates.	"tyrosine	55	63	Chemical"	"[{""token"": ""tyrosine"", ""start_span"": 55, ""end_span"": 63, ""type"": ""Chemical""}]"
Expression and localization of the multidrug resistance protein 5 ( MRP5 / ABCC5), a cellular export pump for cyclic nucleotides, in human heart.	"cyclic nucleotides	110	128	Chemical"	"[{""token"": ""cyclic nucleotides"", ""start_span"": 110, ""end_span"": 128, ""type"": ""Chemical""}]"
In view of the important role of cGMP for cardiovascular function, expression of this transport protein in human heart is of relevance.	"cGMP	33	37	Chemical"	"[{""token"": ""cGMP"", ""start_span"": 33, ""end_span"": 37, ""type"": ""Chemical""}]"
Furthermore, we could detect MRP5 and ATP - dependent transport of [ ( 3) H] cGMP in sarcolemma vesicles of human heart.	"ATP	38	41	Chemical"	"[{""token"": ""ATP"", ""start_span"": 38, ""end_span"": 41, ""type"": ""Chemical""}]"
Therefore, MRP5 - mediated cellular export may represent a novel, disease - dependent pathway for cGMP removal from cardiac cells.	"cGMP	98	102	Chemical"	"[{""token"": ""cGMP"", ""start_span"": 98, ""end_span"": 102, ""type"": ""Chemical""}]"
LPS - TLR4 signaling to IRF - 3 / 7 and NF - kappaB involves the toll adapters TRAM and TRIF.	"LPS	0	3	Chemical"	"[{""token"": ""LPS"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Chemical""}]"
Dominant negative and siRNA studies performed here demonstrate that TRIF functions downstream of both the TLR3 ( dsRNA) and TLR4 ( LPS) signaling pathways, whereas the function of TRAM is restricted to the TLR4 pathway.	"LPS	131	134	Chemical"	"[{""token"": ""LPS"", ""start_span"": 131, ""end_span"": 134, ""type"": ""Chemical""}]"
In the present study, we used selective pharmacological inhibitors to investigate the roles of phosphatidylinositol - 3 ' - kinase ( PI3 - K), phospholipase C ( PLC), calcium - dependent protein kinase C ( PKC), extra - cellular signal regulated kinase ( ERK), and nuclear translocation factor kappa B ( NF - kappaB) on TLR2 - mediated oxidative burst.	"calcium	167	174	Chemical"	"[{""token"": ""calcium"", ""start_span"": 167, ""end_span"": 174, ""type"": ""Chemical""}]"
Depletion of sTLR2 from serum resulted in an increased cellular response to bacterial lipopeptide.	"lipopeptide	86	97	Chemical"	"[{""token"": ""lipopeptide"", ""start_span"": 86, ""end_span"": 97, ""type"": ""Chemical""}]"
The MA - induced relaxation in LIMA was repeatable, nontoxic, and age independent.	"MA	4	6	Chemical"	"[{""token"": ""MA"", ""start_span"": 4, ""end_span"": 6, ""type"": ""Chemical""}]"
Here we show that insulin decreases the ability of eEF2 kinase to bind calmodulin in a rapamycin - sensitive manner.	"rapamycin	87	96	Chemical"	"[{""token"": ""rapamycin"", ""start_span"": 87, ""end_span"": 96, ""type"": ""Chemical""}]"
We identify a novel phosphorylation site in eEF2 kinase ( Ser78) that is located immediately next to its calmodulin - binding motif.	"Ser78	58	63	Chemical"	"[{""token"": ""Ser78"", ""start_span"": 58, ""end_span"": 63, ""type"": ""Chemical""}]"
Phosphorylation of this site is increased by insulin in a rapamycin - sensitive fashion.	"rapamycin	58	67	Chemical"	"[{""token"": ""rapamycin"", ""start_span"": 58, ""end_span"": 67, ""type"": ""Chemical""}]"
Regulation of the phosphorylation of Ser78 also requires amino acids and the protein kinase phosphoinositide - dependent kinase 1.	"Ser78	37	42	Chemical"	"[{""token"": ""Ser78"", ""start_span"": 37, ""end_span"": 42, ""type"": ""Chemical""}]"
Phosphorylation of Ser78 is thus likely to link insulin and mTOR signaling to the control of eEF2 phosphorylation and chain elongation.	"Ser78	19	24	Chemical"	"[{""token"": ""Ser78"", ""start_span"": 19, ""end_span"": 24, ""type"": ""Chemical""}]"
SIVA is induced following direct p53 gene delivery, treatment with a DNA - damaging agent camptothecin, and stroke injury in vivo.	"camptothecin	90	102	Chemical"	"[{""token"": ""camptothecin"", ""start_span"": 90, ""end_span"": 102, ""type"": ""Chemical""}]"
11beta - hydroxysteroid dehydrogenase type 1: a tissue - specific regulator of glucocorticoid response.	"glucocorticoid	79	93	Chemical"	"[{""token"": ""glucocorticoid"", ""start_span"": 79, ""end_span"": 93, ""type"": ""Chemical""}]"
Although bidirectional, in vivo it is believed to function as a reductase generating active glucocorticoid at a prereceptor level, enhancing glucocorticoid receptor activation.	"glucocorticoid	92	106	Chemical"	"[{""token"": ""glucocorticoid"", ""start_span"": 92, ""end_span"": 106, ""type"": ""Chemical""}]"
"The molecular basis of cortisone reductase deficiency, the putative "" 11beta - HSD1 knockout state "" in humans, has been defined and is caused by intronic mutations in HSD11B1 that decrease gene transcription together with mutations in hexose - 6 - phosphate dehydrogenase, an endoluminal enzyme that provides reduced nicotinamide - adenine dinucleotide phosphate as cofactor to 11beta - HSD1 to permit reductase activity."	"nicotinamide - adenine dinucleotide phosphate	318	363	Chemical"	"[{""token"": ""nicotinamide - adenine dinucleotide phosphate"", ""start_span"": 318, ""end_span"": 363, ""type"": ""Chemical""}]"
We speculate that hexose - 6 - phosphate dehydrogenase activity and therefore reduced nicotinamide - adenine dinucleotide phosphate supply may be crucial in determining the directionality of 11beta - HSD1 activity.	"nicotinamide - adenine dinucleotide phosphate	86	131	Chemical"	"[{""token"": ""nicotinamide - adenine dinucleotide phosphate"", ""start_span"": 86, ""end_span"": 131, ""type"": ""Chemical""}]"
We now show that 14 - 3 - 3 tau, a phosphoserine - binding protein, mediates E2F1 stabilization.	"phosphoserine	35	48	Chemical"	"[{""token"": ""phosphoserine"", ""start_span"": 35, ""end_span"": 48, ""type"": ""Chemical""}]"
DNA binding of repressor nuclear factor - kappaB p50 / p50 depends on phosphorylation of Ser337 by the protein kinase A catalytic subunit.	"Ser337	89	95	Chemical"	"[{""token"": ""Ser337"", ""start_span"": 89, ""end_span"": 95, ""type"": ""Chemical""}]"
Second, phosphorylation of p50 by PKAc was prevented by substitution of Ser ( 337) to alanine.	"alanine	86	93	Chemical"	"[{""token"": ""alanine"", ""start_span"": 86, ""end_span"": 93, ""type"": ""Chemical""}]"
Here we show that amino acids regulate the N - terminal phosphorylation sites in 4E - BP1 through the RAIP motif in a rapamycin - insensitive manner.	"rapamycin	118	127	Chemical"	"[{""token"": ""rapamycin"", ""start_span"": 118, ""end_span"": 127, ""type"": ""Chemical""}]"
Several criteria indicate this reflects a rapamycin - insensitive output from mTOR.	"rapamycin	42	51	Chemical"	"[{""token"": ""rapamycin"", ""start_span"": 42, ""end_span"": 51, ""type"": ""Chemical""}]"
In this study, a functional so - called technical knockout ( TKO) approach was applied to Saos - 2ERE2F1 cells that conditionally activate E2F1 by the addition of 4 - hydroxytamoxifen to search for p53 - independent pro - apoptotic E2F1 targets.	"4 - hydroxytamoxifen	163	183	Chemical"	"[{""token"": ""4 - hydroxytamoxifen"", ""start_span"": 163, ""end_span"": 183, ""type"": ""Chemical""}]"
Four genes showed an increase in expression intensity in the presence of cycloheximide, suggesting a direct effect of E2F1 on gene transcription, whereas one gene was identified as an indirect target.	"cycloheximide	73	86	Chemical"	"[{""token"": ""cycloheximide"", ""start_span"": 73, ""end_span"": 86, ""type"": ""Chemical""}]"
Inhibition of GSK3 by lithium chloride reduced its association with TSC1 whereas disruption of GSK3 - phosphorylation sites in TSC1 reduced interaction between TSC2 and TSC1.	"lithium chloride	22	38	Chemical"	"[{""token"": ""lithium chloride"", ""start_span"": 22, ""end_span"": 38, ""type"": ""Chemical""}]"
The lack of importance of PLD1 signaling in RhoA - mediated cytoskeletal reorganization is further supported by the observation that PLD1 depletion using an shRNA approach and tetracycline - induced overexpression of the wild - type and the catalytically inactive mutant of PLD1 in stable cell lines do not alter stress fiber and focal adhesion formation.	"tetracycline	176	188	Chemical"	"[{""token"": ""tetracycline"", ""start_span"": 176, ""end_span"": 188, ""type"": ""Chemical""}]"
To better understand the role of cell cycle proteins in DNA - damage induced neuronal cell death, we examined various cell cycle proteins during camptothecin - induced death of human neuroblastoma cells.	"camptothecin	145	157	Chemical"	"[{""token"": ""camptothecin"", ""start_span"": 145, ""end_span"": 157, ""type"": ""Chemical""}]"
Finally, camptothecin - induced neuronal cell death occurred concurrent with phosphorylation of histone H2B.	"camptothecin	9	21	Chemical"	"[{""token"": ""camptothecin"", ""start_span"": 9, ""end_span"": 21, ""type"": ""Chemical""}]"
Pretreatment of cells with cdk inhibitor olomoucine impeded cdk2 - cyclin E accumulation, but not the induction of p53.	"olomoucine	41	51	Chemical"	"[{""token"": ""olomoucine"", ""start_span"": 41, ""end_span"": 51, ""type"": ""Chemical""}]"
Olomucine concurrently delayed histone H2B phosphorylation, caspase - 3 activation and cell death.	"Olomucine	0	9	Chemical"	"[{""token"": ""Olomucine"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Chemical""}]"
Reactivation of ARHI expression in breast cancer cells is associated with increased histone H3 acetylation and decreased lysine 9 methylation of histone H3.	"lysine 9	121	129	Chemical"	"[{""token"": ""lysine 9"", ""start_span"": 121, ""end_span"": 129, ""type"": ""Chemical""}]"
When SKBr3 cells were cotransfected with an ARHI / luciferase reporter and E2F - expression vectors, E2F1 and 4 reduced ARHI promoter activity 2 - 3 - fold, and this reduction could be reversed by TSA treatment.	"TSA	197	200	Chemical"	"[{""token"": ""TSA"", ""start_span"": 197, ""end_span"": 200, ""type"": ""Chemical""}]"
A dual role for PP1 in shaping the Msn2 - dependent transcriptional response to glucose starvation.	"glucose	80	87	Chemical"	"[{""token"": ""glucose"", ""start_span"": 80, ""end_span"": 87, ""type"": ""Chemical""}]"
In yeast, glucose depletion elicits a quick response in the transcription of stress - related genes.	"glucose	10	17	Chemical"	"[{""token"": ""glucose"", ""start_span"": 10, ""end_span"": 17, ""type"": ""Chemical""}]"
Msn2 activation by sudden glucose depletion correlates with a fast but transient decrease in phosphorylation of several sites in its nuclear localization signal ( NLS).	"glucose	26	33	Chemical"	"[{""token"": ""glucose"", ""start_span"": 26, ""end_span"": 33, ""type"": ""Chemical""}]"
Here we show that protein phosphatase 1 ( PP1) is the direct antagonist of PKA - dependent phosphorylation at the Msn2 nuclear import domain and therefore a potential mediator of glucose starvation signals that target this transcription factor.	"glucose	179	186	Chemical"	"[{""token"": ""glucose"", ""start_span"": 179, ""end_span"": 186, ""type"": ""Chemical""}]"
Apart from PKA, the protein kinase Snf1 can also directly modify one of the Msn2 phosphorylation sites ( S582) and thereby repress Msn2 function.	"S582	105	109	Chemical"	"[{""token"": ""S582"", ""start_span"": 105, ""end_span"": 109, ""type"": ""Chemical""}]"
Different activities of PP1 are therefore involved in shaping induction and adaptation of the transcriptional stress response during acute glucose starvation.	"glucose	139	146	Chemical"	"[{""token"": ""glucose"", ""start_span"": 139, ""end_span"": 146, ""type"": ""Chemical""}]"
Peptidoglycan - induced IL - 6 production in RAW 264. 7 macrophages is mediated by cyclooxygenase - 2, PGE2 / PGE4 receptors, protein kinase A, I kappa B kinase, and NF - kappa B.	"Peptidoglycan	0	13	Chemical"	"[{""token"": ""Peptidoglycan"", ""start_span"": 0, ""end_span"": 13, ""type"": ""Chemical""}]"
Both PGE ( 2) and 8 - bromo - cAMP also caused IKKdbeta kinase alphabeta phosphorylation.	"8 - bromo - cAMP	18	34	Chemical"	"[{""token"": ""8 - bromo - cAMP"", ""start_span"": 18, ""end_span"": 34, ""type"": ""Chemical""}]"
PGN resulted in two waves of the formation of NF - kappaB - specific DNA - protein complexes.	"PGN	0	3	Chemical"	"[{""token"": ""PGN"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Chemical""}]"
Suppression of p53 - activated gene, PAG608, attenuates methamphetamine - induced neurotoxicity.	"methamphetamine	56	71	Chemical"	"[{""token"": ""methamphetamine"", ""start_span"": 56, ""end_span"": 71, ""type"": ""Chemical""}]"
In this study, we determined the role of PAG608 in methamphetamine - induced neurotoxicity.	"methamphetamine	51	66	Chemical"	"[{""token"": ""methamphetamine"", ""start_span"": 51, ""end_span"": 66, ""type"": ""Chemical""}]"
Treatment of mouse dopaminergic CATH. a cells with 2 mM methamphetamine increased PAG608 expression at 3h followed by increase in phosphorylated p53 expression.	"methamphetamine	56	71	Chemical"	"[{""token"": ""methamphetamine"", ""start_span"": 56, ""end_span"": 71, ""type"": ""Chemical""}]"
Transient transfection of PAG608 antisense cDNA or RNA interference using PAG608 small interfering RNA significantly attenuated the dose - dependent decrease in cell viability of CATH. a cells by methamphetamine ( 1 - 4 mM) exposure.	"methamphetamine	196	211	Chemical"	"[{""token"": ""methamphetamine"", ""start_span"": 196, ""end_span"": 211, ""type"": ""Chemical""}]"
Furthermore, cell death of PC12 cells produced by methamphetamine ( 1 - 5 mM) was almost completely prevented by stable expression of PAG608 antisense cDNA, compared with significant reduction of cell viability in control PC12 cells.	"methamphetamine	50	65	Chemical"	"[{""token"": ""methamphetamine"", ""start_span"": 50, ""end_span"": 65, ""type"": ""Chemical""}]"
It has been demonstrated previously that SWI5 encodes a zinc finger DNA - binding protein whose transcription and cellular localization both are cell cycle regulated.	"zinc	56	60	Chemical"	"[{""token"": ""zinc"", ""start_span"": 56, ""end_span"": 60, ""type"": ""Chemical""}]"
We show that ACE2, whose zinc finger region is nearly identical to that of SWI5, shows patterns of cell cycle - regulated transcription and nuclear localization similar to those seen previously for SWI5.	"zinc	25	29	Chemical"	"[{""token"": ""zinc"", ""start_span"": 25, ""end_span"": 29, ""type"": ""Chemical""}]"
Chimeric SWI5 / ACE2 protein fusion experiments suggest that promoter specificity resides in a domain distinct from the zinc finger domain.	"zinc	120	124	Chemical"	"[{""token"": ""zinc"", ""start_span"": 120, ""end_span"": 124, ""type"": ""Chemical""}]"
Phosphoinositide 3 - kinase is required for high glucose - induced hypertrophy and p21WAF1 expression in LLC - PK1 cells.	"glucose	49	56	Chemical"	"[{""token"": ""glucose"", ""start_span"": 49, ""end_span"": 56, ""type"": ""Chemical""}]"
Thus, we studied the role of PI3K in high glucose ( 30 mM) - induced p21 ( WAF1), Smad2 / 3, and cell cycle - dependent hypertrophy in LLC - PK1 cells.	"glucose	42	49	Chemical"	"[{""token"": ""glucose"", ""start_span"": 42, ""end_span"": 49, ""type"": ""Chemical""}]"
We found that high glucose time - dependently ( 1 - 48 h) increased PI3K / Akt kinase activity.	"glucose	19	26	Chemical"	"[{""token"": ""glucose"", ""start_span"": 19, ""end_span"": 26, ""type"": ""Chemical""}]"
We concluded that PI3K is required for high glucose - induced cell cycle - dependent hypertrophy, p21 ( WAF1) transcription and expression, p21 ( WAF1) binding to the cyclin E / cdk2 complex, TGF - beta bioactivity, and Smad2 / 3 activity in LLC - PK1 cells.	"glucose	44	51	Chemical"	"[{""token"": ""glucose"", ""start_span"": 44, ""end_span"": 51, ""type"": ""Chemical""}]"
MAP4K3 activity is stimulated by administration of amino acids, but not growth factors, and this is insensitive to rapamycin, most likely placing MAP4K3 upstream of mTOR.	"rapamycin	115	124	Chemical"	"[{""token"": ""rapamycin"", ""start_span"": 115, ""end_span"": 124, ""type"": ""Chemical""}]"
Indeed, MAP4K3 is required for phosphorylation of known mTOR targets such as S6K1 ( S6 kinase 1), and overexpression of MAP4K3 promotes the rapamycin - sensitive phosphorylation of these same targets.	"rapamycin	140	149	Chemical"	"[{""token"": ""rapamycin"", ""start_span"": 140, ""end_span"": 149, ""type"": ""Chemical""}]"
Collective mutation of Mnd2 phosphorylation sites to alanine had no effect on vegetative growth but a striking effect ( > 85% reduction) on the percentage of tetrad - forming cells compared with the wild type strain.	"alanine	53	60	Chemical"	"[{""token"": ""alanine"", ""start_span"": 53, ""end_span"": 60, ""type"": ""Chemical""}]"
Similar to the MND2 deletion strain, cells harboring the alanine mutant that did not form spores arrested after premeiotic S phase with a single undivided nucleus and low levels of the APC ( Ama1) meiotic substrate, Clb5, relative to wild type cells.	"alanine	57	64	Chemical"	"[{""token"": ""alanine"", ""start_span"": 57, ""end_span"": 64, ""type"": ""Chemical""}]"
In contrast, collective mutation of Mnd2 phosphorylation sites to aspartic acid resulted in partial suppression of the sporulation defect.	"aspartic acid	66	79	Chemical"	"[{""token"": ""aspartic acid"", ""start_span"": 66, ""end_span"": 79, ""type"": ""Chemical""}]"
Moreover, endogenous E2F - 1 upregulates PAC1 and suppresses ERK activity, leading to cell death in response to 4 - HPR.	"4 - HPR	112	119	Chemical"	"[{""token"": ""4 - HPR"", ""start_span"": 112, ""end_span"": 119, ""type"": ""Chemical""}]"
Nerve growth factor potentiates p53 DNA binding but inhibits nitric oxide - induced apoptosis in neuronal PC12 cells.	"nitric oxide	61	73	Chemical"	"[{""token"": ""nitric oxide"", ""start_span"": 61, ""end_span"": 73, ""type"": ""Chemical""}]"
Transcriptional regulation of PUMA and survivin expression were not inhibited by NGF, although NO - induced mitochondrial depolarization was dependent upon de novo gene transcription and only occurred in mitotic cells.	"NO	95	97	Chemical"	"[{""token"": ""NO"", ""start_span"": 95, ""end_span"": 97, ""type"": ""Chemical""}]"
Consistent with this, starvation of cells of amino acids or treatment with rapamycin alters the phosphorylation of PRAS40.	"rapamycin	75	84	Chemical"	"[{""token"": ""rapamycin"", ""start_span"": 75, ""end_span"": 84, ""type"": ""Chemical""}]"
Binding of PRAS40 to 14 - 3 - 3 proteins is inhibited by TSC1 / 2 ( negative regulators of mTORC1) and stimulated by Rheb in a rapamycin - sensitive manner.	"rapamycin	127	136	Chemical"	"[{""token"": ""rapamycin"", ""start_span"": 127, ""end_span"": 136, ""type"": ""Chemical""}]"
Acetylation of lysine 56 of histone H3 catalyzed by RTT109 and regulated by ASF1 is required for replisome integrity.	"lysine 56	15	24	Chemical"	"[{""token"": ""lysine 56"", ""start_span"": 15, ""end_span"": 24, ""type"": ""Chemical""}]"
Furthermore, the Rtt109 homolog in Schizosaccharomyces pombe ( SpRtt109) also displayed an Asf1 - dependent H3 - K56 HAT activity in vitro.	"K56	113	116	Chemical"	"[{""token"": ""K56"", ""start_span"": 113, ""end_span"": 116, ""type"": ""Chemical""}]"
These results indicate that Asf1 regulates H3 - K56 acetylation by presenting histones H3 and H4 to Rtt109 - Vps575 for acetylation, and this mechanism is likely to be conserved.	"K56	48	51	Chemical"	"[{""token"": ""K56"", ""start_span"": 48, ""end_span"": 51, ""type"": ""Chemical""}]"
Finally, we have shown that cells lacking Rtt109 or expressing H3 - K56 mutants exhibited significant reduction in the association of three proteins with stalled DNA replication forks and hyper - recombination of replication forks stalled at replication fork barriers of the ribosomal DNA locus compared with wild - type cells.	"K56	68	71	Chemical"	"[{""token"": ""K56"", ""start_span"": 68, ""end_span"": 71, ""type"": ""Chemical""}]"
Taken together, these studies provide novel insight into the role of Asf1 in the regulation of H3 - K56 acetylation and the function of this modification in DNA replication.	"K56	100	103	Chemical"	"[{""token"": ""K56"", ""start_span"": 100, ""end_span"": 103, ""type"": ""Chemical""}]"
