The leukemia cell lines K562 and HL - 60 had no detectable TGF - beta RII mRNA.	"leukemia cell lines K562	4	28	Cell"	"HL - 60	33	40	Cell"	"[{""token"": ""leukemia cell lines K562"", ""start_span"": 4, ""end_span"": 28, ""type"": ""Cell""}, {""token"": ""HL - 60"", ""start_span"": 33, ""end_span"": 40, ""type"": ""Cell""}]"
Gene enhancement with IGF - 1 improved donor cell proliferation, survival, and engraftment after cell transplantation, perhaps mediated by enhanced angiogenesis and reduced apoptosis.	"donor cell	39	49	Cell"	"cell	97	101	Cell"	"[{""token"": ""donor cell"", ""start_span"": 39, ""end_span"": 49, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 97, ""end_span"": 101, ""type"": ""Cell""}]"
Granulocyte - macrophage colony - stimulating factor and interleukin - 3 enhance the incorporation of cytosine arabinoside into the DNA of leukemic blasts and the cytotoxic effect on clonogenic cells from patients with acute myeloid leukemia.	"leukemic blasts	139	154	Cell"	"clonogenic cells	183	199	Cell"	"[{""token"": ""leukemic blasts"", ""start_span"": 139, ""end_span"": 154, ""type"": ""Cell""}, {""token"": ""clonogenic cells"", ""start_span"": 183, ""end_span"": 199, ""type"": ""Cell""}]"
In the present study the effects of the 48 - hour administration of granulocyte - macrophage colony - stimulating factor ( GM - CSF) ( 100 U / mL) or interleukin - 3 ( IL - 3) ( 100 U / mL) on the proliferative activity of leukemic cells and on the intracellular metabolism and cytotoxic efficacy of a subsequent 12 - hour application of cytosine arabinoside ( ara - C) at doses of 0. 1, 1. 0, 10. 0, and 100. 0 mumol / L were evaluated on bone marrow cells from 17 patients with acute myeloid leukemia.	"leukemic cells	223	237	Cell"	"bone marrow cells	440	457	Cell"	"[{""token"": ""leukemic cells"", ""start_span"": 223, ""end_span"": 237, ""type"": ""Cell""}, {""token"": ""bone marrow cells"", ""start_span"": 440, ""end_span"": 457, ""type"": ""Cell""}]"
METHODS: We quantified expression of MCT isoforms in human glioblastoma multiforme and glioma - derived cells lines by Western blot analysis.	"glioblastoma multiforme	59	82	Cell"	"glioma - derived cells lines	87	115	Cell"	"[{""token"": ""glioblastoma multiforme"", ""start_span"": 59, ""end_span"": 82, ""type"": ""Cell""}, {""token"": ""glioma - derived cells lines"", ""start_span"": 87, ""end_span"": 115, ""type"": ""Cell""}]"
MCTs that were abundant or specific to glioma then were targeted in the model U - 87 MG glioma cell line via small interfering ribonucleic acid - mediated gene silencing and tested for inhibition of lactate efflux, intracellular pH changes, reduced proliferation, and / or induction of cell death.	"U - 87 MG glioma cell line	78	104	Cell"	"cell	220	224	Cell"	"[{""token"": ""U - 87 MG glioma cell line"", ""start_span"": 78, ""end_span"": 104, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 220, ""end_span"": 224, ""type"": ""Cell""}]"
RESULTS: MCT 1 and 2 were the primary isoforms expressed in human glioblastoma multiforme and glioma - derived cell lines.	"glioblastoma multiforme	66	89	Cell"	"glioma - derived cell lines	94	121	Cell"	"[{""token"": ""glioblastoma multiforme"", ""start_span"": 66, ""end_span"": 89, ""type"": ""Cell""}, {""token"": ""glioma - derived cell lines"", ""start_span"": 94, ""end_span"": 121, ""type"": ""Cell""}]"
Reduced growth - factor dependent, autonomous cell growth forms a critical defining point at which a normal cell turns into an oncogenic one.	"cell	46	50	Cell"	"cell	108	112	Cell"	"[{""token"": ""cell"", ""start_span"": 46, ""end_span"": 50, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 108, ""end_span"": 112, ""type"": ""Cell""}]"
In a subset of neuroblastomas, a spontaneous neuronal to neuroendocrine differentiation occurs in areas adjacent to necrotic zones.	"neuronal	45	53	Cell"	"neuroendocrine	57	71	Cell"	"[{""token"": ""neuronal"", ""start_span"": 45, ""end_span"": 53, ""type"": ""Cell""}, {""token"": ""neuroendocrine"", ""start_span"": 57, ""end_span"": 71, ""type"": ""Cell""}]"
Vascular endothelial growth factor ( VEGF), an endothelial cell - specific mitogen, can act in tumor - induced angiogenesis by binding to specific receptors on the surface of endothelial cells.	"endothelial cell	47	63	Cell"	"endothelial cells	175	192	Cell"	"[{""token"": ""endothelial cell"", ""start_span"": 47, ""end_span"": 63, ""type"": ""Cell""}, {""token"": ""endothelial cells"", ""start_span"": 175, ""end_span"": 192, ""type"": ""Cell""}]"
We also show that mouse p10 is able to inhibit foci formation and anchorage - independent growth in wild - type mouse embryonic fibroblasts, and that these antitransforming properties of mouse p10 are also p53 - dependent.	"foci	47	51	Cell"	"embryonic fibroblasts	118	139	Cell"	"[{""token"": ""foci"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Cell""}, {""token"": ""embryonic fibroblasts"", ""start_span"": 118, ""end_span"": 139, ""type"": ""Cell""}]"
Administration of thalidomide at the concentration of 0. 01 microM increased cell migration, while at 10 microM, it decreased cell migration.	"cell	77	81	Cell"	"cell	126	130	Cell"	"[{""token"": ""cell"", ""start_span"": 77, ""end_span"": 81, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Cell""}]"
Thalidomide in concentrations from 0. 1 microM to 10 microM did not change cell proliferation of 72 - h cell cultures.	"cell	75	79	Cell"	"cell cultures	104	117	Cell"	"[{""token"": ""cell"", ""start_span"": 75, ""end_span"": 79, ""type"": ""Cell""}, {""token"": ""cell cultures"", ""start_span"": 104, ""end_span"": 117, ""type"": ""Cell""}]"
Methotrexate ( MTX), a folic acid antagonist widely used for the treatment of a variety of tumors and inflammatory diseases, affects normal tissues that have a high rate of proliferation, including the hematopoietic cells of the bone marrow and the gastrointestinal mucosal cells.	"hematopoietic cells	202	221	Cell"	"gastrointestinal mucosal cells	249	279	Cell"	"[{""token"": ""hematopoietic cells"", ""start_span"": 202, ""end_span"": 221, ""type"": ""Cell""}, {""token"": ""gastrointestinal mucosal cells"", ""start_span"": 249, ""end_span"": 279, ""type"": ""Cell""}]"
Pericytes limit tumor cell metastasis.	"Pericytes	0	9	Cell"	"tumor cell	16	26	Cell"	"[{""token"": ""Pericytes"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Cell""}, {""token"": ""tumor cell"", ""start_span"": 16, ""end_span"": 26, ""type"": ""Cell""}]"
Conversely, tumor cell expression of NCAM in a fibrosarcoma model ( T241) improved pericyte recruitment and increased perivascular deposition of ECM molecules.	"tumor cell	12	22	Cell"	"pericyte	83	91	Cell"	"[{""token"": ""tumor cell"", ""start_span"": 12, ""end_span"": 22, ""type"": ""Cell""}, {""token"": ""pericyte"", ""start_span"": 83, ""end_span"": 91, ""type"": ""Cell""}]"
A role for NF - kappaB in cancer cells appears to involve regulation of cell proliferation, control of apoptosis, promotion of angiogenesis, and stimulation of invasion / metastasis.	"cancer cells	26	38	Cell"	"cell	72	76	Cell"	"[{""token"": ""cancer cells"", ""start_span"": 26, ""end_span"": 38, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 72, ""end_span"": 76, ""type"": ""Cell""}]"
Our results showed that HeLa cells demonstrated the highest sensitivity to paclitaxel, whereas CaSki cells showed the lowest.	"HeLa cells	24	34	Cell"	"CaSki cells	95	106	Cell"	"[{""token"": ""HeLa cells"", ""start_span"": 24, ""end_span"": 34, ""type"": ""Cell""}, {""token"": ""CaSki cells"", ""start_span"": 95, ""end_span"": 106, ""type"": ""Cell""}]"
In addition, we showed that paclitaxel downregulated the phosphorylation of Akt in both HeLa and CaSki cells.	"HeLa	88	92	Cell"	"CaSki cells	97	108	Cell"	"[{""token"": ""HeLa"", ""start_span"": 88, ""end_span"": 92, ""type"": ""Cell""}, {""token"": ""CaSki cells"", ""start_span"": 97, ""end_span"": 108, ""type"": ""Cell""}]"
Pre - treatment with rapamycin inhibited activation of mTOR signalling and significantly enhanced the sensitivity of CaSki cells to paclitaxel by increasing apoptotic cell death.	"CaSki cells	117	128	Cell"	"cell	167	171	Cell"	"[{""token"": ""CaSki cells"", ""start_span"": 117, ""end_span"": 128, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 167, ""end_span"": 171, ""type"": ""Cell""}]"
Overall, paclitaxel exerts its anti - tumour effects on cervical cancer cells by inducing apoptosis through intrinsic pathway, and rapamycin targeted to mTOR can sensitise paclitaxel - resistant cervical cancer cells.	"cervical cancer cells	56	77	Cell"	"cervical cancer cells	195	216	Cell"	"[{""token"": ""cervical cancer cells"", ""start_span"": 56, ""end_span"": 77, ""type"": ""Cell""}, {""token"": ""cervical cancer cells"", ""start_span"": 195, ""end_span"": 216, ""type"": ""Cell""}]"
A novel method of assessing vascular endothelial function in cancer is via the quantification of circulating endothelial cells ( CEC).	"circulating endothelial cells	97	126	Cell"	"CEC	129	132	Cell"	"[{""token"": ""circulating endothelial cells"", ""start_span"": 97, ""end_span"": 126, ""type"": ""Cell""}, {""token"": ""CEC"", ""start_span"": 129, ""end_span"": 132, ""type"": ""Cell""}]"
Thus, CECs, EPCs and EMPs may represent potentially novel methods for evaluating the vascular status of cancer patients.	"CECs	6	10	Cell"	"EPCs	12	16	Cell"	"[{""token"": ""CECs"", ""start_span"": 6, ""end_span"": 10, ""type"": ""Cell""}, {""token"": ""EPCs"", ""start_span"": 12, ""end_span"": 16, ""type"": ""Cell""}]"
In contrast, multicellular spheroids mimic heterogeneous cellular behavior and the consequent functional characteristics of in vivo solid tumors, and serve as important in vitro model to investigate tumor biology and responses to potential therapeutic agents.	"multicellular spheroids	13	36	Cell"	"cellular	57	65	Cell"	"[{""token"": ""multicellular spheroids"", ""start_span"": 13, ""end_span"": 36, ""type"": ""Cell""}, {""token"": ""cellular"", ""start_span"": 57, ""end_span"": 65, ""type"": ""Cell""}]"
In spheroids, the glucose consumption ( 2. 1 p mole / cell / h) and lactate production ( 3. 67 p mole / cell / h) was nearly 2 - 3 fold higher than in monolayer cells ( 0. 83 and 1. 43 p mole / cell / h respectively).	"spheroids	3	12	Cell"	"monolayer cells	151	166	Cell"	"[{""token"": ""spheroids"", ""start_span"": 3, ""end_span"": 12, ""type"": ""Cell""}, {""token"": ""monolayer cells"", ""start_span"": 151, ""end_span"": 166, ""type"": ""Cell""}]"
Presence of 2 - DG ( 5 mM) for 2 - 4 h inhibited the glucose usage and lactate production by 70% in spheroids, while a 35% reduction was observed in monolayer cells.	"spheroids	100	109	Cell"	"monolayer cells	149	164	Cell"	"[{""token"": ""spheroids"", ""start_span"": 100, ""end_span"": 109, ""type"": ""Cell""}, {""token"": ""monolayer cells"", ""start_span"": 149, ""end_span"": 164, ""type"": ""Cell""}]"
Radiosensitization by 2 - DG in monolayer cells was primarily due to an increase in mitotic death ( 23%) linked to cytogenetic damage ( micronuclei), whereas a profound induction of apoptosis ( 40%) accounted for the sensitization in spheroids.	"monolayer cells	32	47	Cell"	"spheroids	234	243	Cell"	"[{""token"": ""monolayer cells"", ""start_span"": 32, ""end_span"": 47, ""type"": ""Cell""}, {""token"": ""spheroids"", ""start_span"": 234, ""end_span"": 243, ""type"": ""Cell""}]"
[ Autologous bone marrow stem cell or peripheral blood endothelial progenitor cell therapy in patients with peripheral limb ischaemia]	"bone marrow stem cell	13	34	Cell"	"peripheral blood endothelial progenitor cell	38	82	Cell"	"[{""token"": ""bone marrow stem cell"", ""start_span"": 13, ""end_span"": 34, ""type"": ""Cell""}, {""token"": ""peripheral blood endothelial progenitor cell"", ""start_span"": 38, ""end_span"": 82, ""type"": ""Cell""}]"
There is evidence in experimental and clinical studies that adult bone marrow - derived stem cells and endothelial progenitor cells participate in the development of new blood vessels, called neoangiogenesis or neovascularization.	"bone marrow - derived stem cells	66	98	Cell"	"endothelial progenitor cells	103	131	Cell"	"[{""token"": ""bone marrow - derived stem cells"", ""start_span"": 66, ""end_span"": 98, ""type"": ""Cell""}, {""token"": ""endothelial progenitor cells"", ""start_span"": 103, ""end_span"": 131, ""type"": ""Cell""}]"
The use of juice, peel and oil have also been shown to possess anticancer activities, including interference with tumor cell proliferation, cell cycle, invasion and angiogenesis.	"tumor cell	114	124	Cell"	"cell	140	144	Cell"	"[{""token"": ""tumor cell"", ""start_span"": 114, ""end_span"": 124, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 140, ""end_span"": 144, ""type"": ""Cell""}]"
Cooperative activation of Meis1 and Hoxa9 perturbs myeloid differentiation and eventually leads myeloid progenitors to leukemia, yet it remains to be clarified what kinds of subsequent molecular processes are required for development of overt leukemia.	"myeloid	51	58	Cell"	"myeloid progenitors	96	115	Cell"	"[{""token"": ""myeloid"", ""start_span"": 51, ""end_span"": 58, ""type"": ""Cell""}, {""token"": ""myeloid progenitors"", ""start_span"": 96, ""end_span"": 115, ""type"": ""Cell""}]"
In vitro studies found that exposure to Cum - OOH reduced the level of glutathione ( GSH) in mouse epidermal cells ( JB6 P +) and caused the induction of AP - 1.	"epidermal cells	99	114	Cell"	"JB6 P +	117	124	Cell"	"[{""token"": ""epidermal cells"", ""start_span"": 99, ""end_span"": 114, ""type"": ""Cell""}, {""token"": ""JB6 P +"", ""start_span"": 117, ""end_span"": 124, ""type"": ""Cell""}]"
John ' s wort ( Hypericum perforatum), has emerged as key player not only in the antidepressant activity of the plant but also as an inhibitor of bacteria lymphocyte and tumor cell proliferation, and matrix proteinases.	"lymphocyte	155	165	Cell"	"tumor cell	170	180	Cell"	"[{""token"": ""lymphocyte"", ""start_span"": 155, ""end_span"": 165, ""type"": ""Cell""}, {""token"": ""tumor cell"", ""start_span"": 170, ""end_span"": 180, ""type"": ""Cell""}]"
The results show that, without affecting in vitro human PMN viability and chemokine - receptor expression, Hyp ( as stable dicyclohexylammonium salt) was able to inhibit in a dose - dependent manner their chemotaxis and chemoinvasion ( IC50 = 1 microM for both); this effect was associated with a reduced expression of the adhesion molecule CD11b by formyl - Met - Leu - Phe - stimulated neutrophils and block of LE - triggered activation of the gelatinase matrix metalloproteinase - 9.	"PMN	56	59	Cell"	"neutrophils	388	399	Cell"	"[{""token"": ""PMN"", ""start_span"": 56, ""end_span"": 59, ""type"": ""Cell""}, {""token"": ""neutrophils"", ""start_span"": 388, ""end_span"": 399, ""type"": ""Cell""}]"
METHODS: We assessed antiapoptotic and proapoptotic markers in vascular and perivascular cells in lung biopsy samples from 18 patients with CHD, 7 with reversible and 11 with irreversible PHT, and 6 control patients.	"vascular	63	71	Cell"	"perivascular cells	76	94	Cell"	"[{""token"": ""vascular"", ""start_span"": 63, ""end_span"": 71, ""type"": ""Cell""}, {""token"": ""perivascular cells"", ""start_span"": 76, ""end_span"": 94, ""type"": ""Cell""}]"
CONCLUSIONS: Irreversible PHT is strongly associated with impaired endothelial cell apoptosis and antiapoptotic signaling from perivascular inflammatory cells.	"endothelial cell	67	83	Cell"	"perivascular inflammatory cells	127	158	Cell"	"[{""token"": ""endothelial cell"", ""start_span"": 67, ""end_span"": 83, ""type"": ""Cell""}, {""token"": ""perivascular inflammatory cells"", ""start_span"": 127, ""end_span"": 158, ""type"": ""Cell""}]"
These results suggest that SWAP - 70 may be required for oncogenic transformation and contributes to cell growth in MEFs transformed by v - Src.	"cell	101	105	Cell"	"MEFs	116	120	Cell"	"[{""token"": ""cell"", ""start_span"": 101, ""end_span"": 105, ""type"": ""Cell""}, {""token"": ""MEFs"", ""start_span"": 116, ""end_span"": 120, ""type"": ""Cell""}]"
Immunohistochemical analysis suggested a specific activation or differentiation of resident macrophages by apoptotic cells.	"macrophages	92	103	Cell"	"cells	117	122	Cell"	"[{""token"": ""macrophages"", ""start_span"": 92, ""end_span"": 103, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 117, ""end_span"": 122, ""type"": ""Cell""}]"
From a functional perspective, we observe that caffeine also significantly inhibits the A3 receptor - stimulated cell migration of colon cancer cells.	"cell	113	117	Cell"	"colon cancer cells	131	149	Cell"	"[{""token"": ""cell"", ""start_span"": 113, ""end_span"": 117, ""type"": ""Cell""}, {""token"": ""colon cancer cells"", ""start_span"": 131, ""end_span"": 149, ""type"": ""Cell""}]"
Conditioned media prepared from colon cells treated with an adenosine analog increased human umbilical vein endothelial cell migration.	"colon cells	32	43	Cell"	"human umbilical vein endothelial cell	87	124	Cell"	"[{""token"": ""colon cells"", ""start_span"": 32, ""end_span"": 43, ""type"": ""Cell""}, {""token"": ""human umbilical vein endothelial cell"", ""start_span"": 87, ""end_span"": 124, ""type"": ""Cell""}]"
These data provide evidence that adenosine could modulate the migration of colon cancer cells by an HIF - 1alpha / VEGF / IL - 8 - dependent mechanism and that caffeine has the potential to inhibit colon cancer cell growth.	"colon cancer cells	75	93	Cell"	"colon cancer cell	198	215	Cell"	"[{""token"": ""colon cancer cells"", ""start_span"": 75, ""end_span"": 93, ""type"": ""Cell""}, {""token"": ""colon cancer cell"", ""start_span"": 198, ""end_span"": 215, ""type"": ""Cell""}]"
BAG - 1 regulates cellular growth, differentiation and survival through interactions with diverse proteins, including the vitamin D receptor ( VDR), a key regulator of keratinocyte growth and differentiation.	"cellular	18	26	Cell"	"keratinocyte	168	180	Cell"	"[{""token"": ""cellular"", ""start_span"": 18, ""end_span"": 26, ""type"": ""Cell""}, {""token"": ""keratinocyte"", ""start_span"": 168, ""end_span"": 180, ""type"": ""Cell""}]"
These results demonstrate endogenous gene regulation by BAG - 1L by potentiating nuclear hormone receptor function and suggest a role for BAG - 1L in 24 - hydroxylase regulation of vitamin D metabolism and the cellular response of oral keratinocytes to 1alpha, 25 - dihydroxyvitamin D3.	"cellular	210	218	Cell"	"oral keratinocytes	231	249	Cell"	"[{""token"": ""cellular"", ""start_span"": 210, ""end_span"": 218, ""type"": ""Cell""}, {""token"": ""oral keratinocytes"", ""start_span"": 231, ""end_span"": 249, ""type"": ""Cell""}]"
Wnt signaling, stem cells, and the cellular origin of breast cancer.	"stem cells	15	25	Cell"	"cellular	35	43	Cell"	"[{""token"": ""stem cells"", ""start_span"": 15, ""end_span"": 25, ""type"": ""Cell""}, {""token"": ""cellular"", ""start_span"": 35, ""end_span"": 43, ""type"": ""Cell""}]"
Wnt signaling plays a critical role in regulating stem / progenitor cells in the mammary gland as well as other tissue compartments.	"stem	50	54	Cell"	"progenitor cells	57	73	Cell"	"[{""token"": ""stem"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Cell""}, {""token"": ""progenitor cells"", ""start_span"": 57, ""end_span"": 73, ""type"": ""Cell""}]"
Furthermore, there is strong evidence suggesting that aberrant activation of Wnt signaling induces mammary tumors from stem / progenitor cells, and that Wnt exerts its oncogenic effects through LRP5 / 6 - mediated activation of beta - catenin and mTOR pathways.	"stem	119	123	Cell"	"progenitor cells	126	142	Cell"	"[{""token"": ""stem"", ""start_span"": 119, ""end_span"": 123, ""type"": ""Cell""}, {""token"": ""progenitor cells"", ""start_span"": 126, ""end_span"": 142, ""type"": ""Cell""}]"
These observations suggest that stem / progenitor cells in the mammary gland may be especially susceptible to oncogenic transformation.	"stem	32	36	Cell"	"progenitor cells	39	55	Cell"	"[{""token"": ""stem"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Cell""}, {""token"": ""progenitor cells"", ""start_span"": 39, ""end_span"": 55, ""type"": ""Cell""}]"
Expression of hCAP - 18 / LL - 37 was localized to immune and granulosa cells of normal ovarian tissue.	"immune	51	57	Cell"	"granulosa cells	62	77	Cell"	"[{""token"": ""immune"", ""start_span"": 51, ""end_span"": 57, ""type"": ""Cell""}, {""token"": ""granulosa cells"", ""start_span"": 62, ""end_span"": 77, ""type"": ""Cell""}]"
By contrast, ovarian tumors displayed significantly higher levels of hCAP - 18 / LL - 37 where expression was observed in tumor and stromal cells.	"tumor	21	26	Cell"	"stromal cells	132	145	Cell"	"[{""token"": ""tumor"", ""start_span"": 21, ""end_span"": 26, ""type"": ""Cell""}, {""token"": ""stromal cells"", ""start_span"": 132, ""end_span"": 145, ""type"": ""Cell""}]"
These data demonstrate for the first time that hCAP - 18 / LL - 37 is significantly overexpressed in ovarian tumors and suggest LL - 37 may contribute to ovarian tumorigenesis through direct stimulation of tumor cells, initiation of angiogenesis and recruitment of immune cells.	"tumor cells	206	217	Cell"	"immune cells	265	277	Cell"	"[{""token"": ""tumor cells"", ""start_span"": 206, ""end_span"": 217, ""type"": ""Cell""}, {""token"": ""immune cells"", ""start_span"": 265, ""end_span"": 277, ""type"": ""Cell""}]"
Although short treatments with LeTx only modestly affected cell proliferation, sustained treatment markedly reduced cell numbers.	"cell	59	63	Cell"	"cell	116	120	Cell"	"[{""token"": ""cell"", ""start_span"": 59, ""end_span"": 63, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 116, ""end_span"": 120, ""type"": ""Cell""}]"
Proteomic comparison of nasopharyngeal cancer cell lines C666 - 1 and NP69 identifies down - regulation of annexin II and beta2 - tubulin for nasopharyngeal carcinoma.	"nasopharyngeal cancer cell lines C666 - 1	24	65	Cell"	"NP69	70	74	Cell"	"[{""token"": ""nasopharyngeal cancer cell lines C666 - 1"", ""start_span"": 24, ""end_span"": 65, ""type"": ""Cell""}, {""token"": ""NP69"", ""start_span"": 70, ""end_span"": 74, ""type"": ""Cell""}]"
We did a blind prospective study in gastric cancer to assess the significance of isolated tumor cells ( ITC) and to test the hypothesis that vascular endothelial growth factor receptor - 1 ( VEGFR - 1) is expressed within the bone marrow at tumor - specific, premetastatic sites.	"isolated tumor cells	81	101	Cell"	"ITC	104	107	Cell"	"[{""token"": ""isolated tumor cells"", ""start_span"": 81, ""end_span"": 101, ""type"": ""Cell""}, {""token"": ""ITC"", ""start_span"": 104, ""end_span"": 107, ""type"": ""Cell""}]"
Acute ethanol exposure disrupts VEGF receptor cell signaling in endothelial cells.	"cell	46	50	Cell"	"endothelial cells	64	81	Cell"	"[{""token"": ""cell"", ""start_span"": 46, ""end_span"": 50, ""type"": ""Cell""}, {""token"": ""endothelial cells"", ""start_span"": 64, ""end_span"": 81, ""type"": ""Cell""}]"
TP is not only expressed in tumor cells but also in tumor surrounding tissues, such as tumor infiltrating macrophages.	"tumor cells	28	39	Cell"	"tumor infiltrating macrophages	87	117	Cell"	"[{""token"": ""tumor cells"", ""start_span"": 28, ""end_span"": 39, ""type"": ""Cell""}, {""token"": ""tumor infiltrating macrophages"", ""start_span"": 87, ""end_span"": 117, ""type"": ""Cell""}]"
Substantial studies have demonstrated that PTEN can inhibit cell proliferation, migration and invasion of many cancer cells.	"cell	60	64	Cell"	"cancer cells	111	123	Cell"	"[{""token"": ""cell"", ""start_span"": 60, ""end_span"": 64, ""type"": ""Cell""}, {""token"": ""cancer cells"", ""start_span"": 111, ""end_span"": 123, ""type"": ""Cell""}]"
RESULTS: Both wild - type and mutant PTEN can upregulate the expression of PTEN gene dramatically; however, it is wild - type PTEN not phosphatase - inactive PTEN that can induce apoptosis and decrease cell migration, invasion and proliferation in ovarian cancer cells.	"cell	202	206	Cell"	"ovarian cancer cells	248	268	Cell"	"[{""token"": ""cell"", ""start_span"": 202, ""end_span"": 206, ""type"": ""Cell""}, {""token"": ""ovarian cancer cells"", ""start_span"": 248, ""end_span"": 268, ""type"": ""Cell""}]"
CONCLUSION: These results demonstrated that PTEN had played an important role in the cell proliferation, cell migration and invasion dependent on its phosphatase activity.	"cell	85	89	Cell"	"cell	105	109	Cell"	"[{""token"": ""cell"", ""start_span"": 85, ""end_span"": 89, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 105, ""end_span"": 109, ""type"": ""Cell""}]"
Enhanced expression of PTEN by gene transfer is sufficient to reverse the malignant phenotype of ovarian cancer cells and transfection of ovarian cancer cells with wild - type PTEN gene might be another novel approach for therapeutic intervention in ovarian cancer.	"ovarian cancer cells	97	117	Cell"	"ovarian cancer cells	138	158	Cell"	"[{""token"": ""ovarian cancer cells"", ""start_span"": 97, ""end_span"": 117, ""type"": ""Cell""}, {""token"": ""ovarian cancer cells"", ""start_span"": 138, ""end_span"": 158, ""type"": ""Cell""}]"
However, it remains unknown whether or not allogeneic transplantation of mesenchymal stem cells ( MSC) derived from fetal membranes ( FM), which are generally discarded as medical waste after delivery, has therapeutic potential.	"mesenchymal stem cells	73	95	Cell"	"MSC	98	101	Cell"	"[{""token"": ""mesenchymal stem cells"", ""start_span"": 73, ""end_span"": 95, ""type"": ""Cell""}, {""token"": ""MSC"", ""start_span"": 98, ""end_span"": 101, ""type"": ""Cell""}]"
FM - MSC were obtained from Lewis rats and had surface antigen expression and multipotent potential partly similar to those of BM - MSC.	"FM - MSC	0	8	Cell"	"BM - MSC	127	135	Cell"	"[{""token"": ""FM - MSC"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Cell""}, {""token"": ""BM - MSC"", ""start_span"": 127, ""end_span"": 135, ""type"": ""Cell""}]"
Compared with BM - MSC, FM - MSC secreted a comparable amount of hepatocyte growth factor despite a small amount of vascular endothelial growth factor.	"BM - MSC	14	22	Cell"	"FM - MSC	24	32	Cell"	"[{""token"": ""BM - MSC"", ""start_span"": 14, ""end_span"": 22, ""type"": ""Cell""}, {""token"": ""FM - MSC"", ""start_span"": 24, ""end_span"": 32, ""type"": ""Cell""}]"
FM - MSC or BM - MSC obtained from Lewis rats were injected into a MHC - mismatched August - Copenhagen - Irish rat model of hind limb ischemia.	"FM - MSC	0	8	Cell"	"BM - MSC	12	20	Cell"	"[{""token"": ""FM - MSC"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Cell""}, {""token"": ""BM - MSC"", ""start_span"": 12, ""end_span"": 20, ""type"": ""Cell""}]"
This study investigates HIF - 1alpha, c - Myc, pAkt, and aerobic glycolysis in low - passage breast cancer cells under the assumption that these represent the in vivo condition better than established lines.	"breast cancer cells	93	112	Cell"	"lines	201	206	Cell"	"[{""token"": ""breast cancer cells"", ""start_span"": 93, ""end_span"": 112, ""type"": ""Cell""}, {""token"": ""lines"", ""start_span"": 201, ""end_span"": 206, ""type"": ""Cell""}]"
Similar to in vivo FdG - PET or primary breast cancers, rates of glycolysis were diverse, being higher in cells expressing both c - Myc and HIF - 1alpha and lower in cell lines low or negative in both transcription factors.	"cells	106	111	Cell"	"cell lines	166	176	Cell"	"[{""token"": ""cells"", ""start_span"": 106, ""end_span"": 111, ""type"": ""Cell""}, {""token"": ""cell lines"", ""start_span"": 166, ""end_span"": 176, ""type"": ""Cell""}]"
Results from the present investigation reveal that cultured primary skin fibroblasts cease to proliferate once they reach confluence; these cells are thus contact inhibited in vitro.	"skin fibroblasts	68	84	Cell"	"cells	140	145	Cell"	"[{""token"": ""skin fibroblasts"", ""start_span"": 68, ""end_span"": 84, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 140, ""end_span"": 145, ""type"": ""Cell""}]"
The graft size is dependent on the density of the cell suspension, but not dependent on either the number of passages the cells are taken through in culture prior to grafting or on the postoperative survival period.	"cell	50	54	Cell"	"cells	122	127	Cell"	"[{""token"": ""cell"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 122, ""end_span"": 127, ""type"": ""Cell""}]"
Inhibition of NF - kappaB significantly reduced transcript levels and autocrine production of BMP - 2 by rhTNF - alpha stimulated C4 - 2B cells and to a lesser extent by the parental LNCaP cells.	"C4 - 2B cells	130	143	Cell"	"LNCaP cells	183	194	Cell"	"[{""token"": ""C4 - 2B cells"", ""start_span"": 130, ""end_span"": 143, ""type"": ""Cell""}, {""token"": ""LNCaP cells"", ""start_span"": 183, ""end_span"": 194, ""type"": ""Cell""}]"
BACKGROUND: Mesenchymal stem cells ( MSCs) transplantation is of therapeutic potential after ischemic injury in both experimental and clinical studies.	"Mesenchymal stem cells	12	34	Cell"	"MSCs	37	41	Cell"	"[{""token"": ""Mesenchymal stem cells"", ""start_span"": 12, ""end_span"": 34, ""type"": ""Cell""}, {""token"": ""MSCs"", ""start_span"": 37, ""end_span"": 41, ""type"": ""Cell""}]"
