Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	json	split
According to this, it has been demonstrated that in A. tumefaciens the pckA genes is indeed under the control of ChvG / ChvI [ 16] and that null mutants in S. meliloti exoS and chvI have pleiotropic growth defects and were unable to grow on several carbon sources [ 17].	pckA,71,75,Protein	ChvG,113,117,Protein	ChvI,120,124,Protein	exoS,168,172,Protein	chvI,177,181,Protein	"[{""token"": ""pckA"", ""start_span"": 71, ""end_span"": 75, ""type"": ""Protein""}, {""token"": ""ChvG"", ""start_span"": 113, ""end_span"": 117, ""type"": ""Protein""}, {""token"": ""ChvI"", ""start_span"": 120, ""end_span"": 124, ""type"": ""Protein""}, {""token"": ""exoS"", ""start_span"": 168, ""end_span"": 172, ""type"": ""Protein""}, {""token"": ""chvI"", ""start_span"": 177, ""end_span"": 181, ""type"": ""Protein""}]"	train
The two - regulatory systems ChvG ( ExoS) / ChvI in S. meliloti and A. tumefaciens posses a high level of identity with the Brucella BvrR / BvrS [ 25], [ 26].	ChvG,29,33,Protein	ExoS,36,40,Protein	ChvI,44,48,Protein	BvrR,133,137,Protein	BvrS,140,144,Protein	"[{""token"": ""ChvG"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""ExoS"", ""start_span"": 36, ""end_span"": 40, ""type"": ""Protein""}, {""token"": ""ChvI"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Protein""}, {""token"": ""BvrR"", ""start_span"": 133, ""end_span"": 137, ""type"": ""Protein""}, {""token"": ""BvrS"", ""start_span"": 140, ""end_span"": 144, ""type"": ""Protein""}]"	train
The type - 1 Mac, such as M1 Mac produced by serotype M1 GAS strains, has high enzymatic activity and low affinity to Fc receptor on the surface of PMNs, while the type - 2 Mac can bind to the Fc receptor and has lower enzymatic activity [ 9].	Mac,13,16,Protein	Mac,29,32,Protein	Fc receptor,118,129,Protein	Mac,173,176,Protein	Fc receptor,193,204,Protein	"[{""token"": ""Mac"", ""start_span"": 13, ""end_span"": 16, ""type"": ""Protein""}, {""token"": ""Mac"", ""start_span"": 29, ""end_span"": 32, ""type"": ""Protein""}, {""token"": ""Fc receptor"", ""start_span"": 118, ""end_span"": 129, ""type"": ""Protein""}, {""token"": ""Mac"", ""start_span"": 173, ""end_span"": 176, ""type"": ""Protein""}, {""token"": ""Fc receptor"", ""start_span"": 193, ""end_span"": 204, ""type"": ""Protein""}]"	train
While both proteins cleaved human IgG efficiently, only a small fraction of horse IgG was cleaved by either protein ( Fig. 4B), suggesting that SeMac or GAS Mac cannot digest all subgroups of horse IgG.	IgG,34,37,Protein	IgG,82,85,Protein	SeMac,144,149,Protein	Mac,157,160,Protein	IgG,198,201,Protein	"[{""token"": ""IgG"", ""start_span"": 34, ""end_span"": 37, ""type"": ""Protein""}, {""token"": ""IgG"", ""start_span"": 82, ""end_span"": 85, ""type"": ""Protein""}, {""token"": ""SeMac"", ""start_span"": 144, ""end_span"": 149, ""type"": ""Protein""}, {""token"": ""Mac"", ""start_span"": 157, ""end_span"": 160, ""type"": ""Protein""}, {""token"": ""IgG"", ""start_span"": 198, ""end_span"": 201, ""type"": ""Protein""}]"	train
To test this possibility, available horse IgG1 and a mixture of IgG1 and IgG4 were treated with SeMac or GAS Mac.	IgG1,42,46,Protein	IgG1,64,68,Protein	IgG4,73,77,Protein	SeMac,96,101,Protein	Mac,109,112,Protein	"[{""token"": ""IgG1"", ""start_span"": 42, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""IgG1"", ""start_span"": 64, ""end_span"": 68, ""type"": ""Protein""}, {""token"": ""IgG4"", ""start_span"": 73, ""end_span"": 77, ""type"": ""Protein""}, {""token"": ""SeMac"", ""start_span"": 96, ""end_span"": 101, ""type"": ""Protein""}, {""token"": ""Mac"", ""start_span"": 109, ""end_span"": 112, ""type"": ""Protein""}]"	train
SeMac or GAS Mac cleaved a small portion of the IgG1 / IgG4 mixture, but not IgG4.	SeMac,0,5,Protein	Mac,13,16,Protein	IgG1,48,52,Protein	IgG4,55,59,Protein	IgG4,77,81,Protein	"[{""token"": ""SeMac"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}, {""token"": ""Mac"", ""start_span"": 13, ""end_span"": 16, ""type"": ""Protein""}, {""token"": ""IgG1"", ""start_span"": 48, ""end_span"": 52, ""type"": ""Protein""}, {""token"": ""IgG4"", ""start_span"": 55, ""end_span"": 59, ""type"": ""Protein""}, {""token"": ""IgG4"", ""start_span"": 77, ""end_span"": 81, ""type"": ""Protein""}]"	train
We investigated whether PmrB was also required for the pH - dependent induction of pbgP, which was chosen as a prototypical PmrA - activated gene because the PmrA protein binds to the pbgP promoter in vitro ( Wosten and Groisman, 1999) and in vivo ( Shin and Groisman, 2005).	PmrB,24,28,Protein	pbgP,83,87,Protein	PmrA,124,128,Protein	PmrA,158,162,Protein	pbgP,184,188,Protein	"[{""token"": ""PmrB"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""pbgP"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Protein""}, {""token"": ""PmrA"", ""start_span"": 124, ""end_span"": 128, ""type"": ""Protein""}, {""token"": ""PmrA"", ""start_span"": 158, ""end_span"": 162, ""type"": ""Protein""}, {""token"": ""pbgP"", ""start_span"": 184, ""end_span"": 188, ""type"": ""Protein""}]"	valid
Thus, we determined the beta - galactosidase activity of isogenic pmrB strains harbouring a chromosomal pbgP - lac transcriptional fusion: expression was approximately sixfold lower in a pmrB mutant than in the pmrB + strain following growth at pH 5. 8 ( Fig. 3), indicating that a functional pmrB gene is necessary for a normal response to mild acid pH.	pmrB,66,70,Protein	pbgP,104,108,Protein	pmrB,187,191,Protein	pmrB,211,215,Protein	pmrB,293,297,Protein	"[{""token"": ""pmrB"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Protein""}, {""token"": ""pbgP"", ""start_span"": 104, ""end_span"": 108, ""type"": ""Protein""}, {""token"": ""pmrB"", ""start_span"": 187, ""end_span"": 191, ""type"": ""Protein""}, {""token"": ""pmrB"", ""start_span"": 211, ""end_span"": 215, ""type"": ""Protein""}, {""token"": ""pmrB"", ""start_span"": 293, ""end_span"": 297, ""type"": ""Protein""}]"	valid
The expression of invF leads to the induction of several effector genes encoded both within SPI1 ( sic / sip operon) and outside SPI1 ( sigD / sopB and sopE), with SicA as a co - factor ( 11).	invF,18,22,Protein	sigD,136,140,Protein	sopB,143,147,Protein	sopE,152,156,Protein	SicA,164,168,Protein	"[{""token"": ""invF"", ""start_span"": 18, ""end_span"": 22, ""type"": ""Protein""}, {""token"": ""sigD"", ""start_span"": 136, ""end_span"": 140, ""type"": ""Protein""}, {""token"": ""sopB"", ""start_span"": 143, ""end_span"": 147, ""type"": ""Protein""}, {""token"": ""sopE"", ""start_span"": 152, ""end_span"": 156, ""type"": ""Protein""}, {""token"": ""SicA"", ""start_span"": 164, ""end_span"": 168, ""type"": ""Protein""}]"	valid
Using two - hybrid analysis, it has been shown that HilE interacts with HilD, which suggests that HilE represses hilA expression by inhibiting the activity of HilD through a protein - protein interaction ( 19, 20).	HilE,52,56,Protein	HilD,72,76,Protein	HilE,98,102,Protein	hilA,113,117,Protein	HilD,159,163,Protein	"[{""token"": ""HilE"", ""start_span"": 52, ""end_span"": 56, ""type"": ""Protein""}, {""token"": ""HilD"", ""start_span"": 72, ""end_span"": 76, ""type"": ""Protein""}, {""token"": ""HilE"", ""start_span"": 98, ""end_span"": 102, ""type"": ""Protein""}, {""token"": ""hilA"", ""start_span"": 113, ""end_span"": 117, ""type"": ""Protein""}, {""token"": ""HilD"", ""start_span"": 159, ""end_span"": 163, ""type"": ""Protein""}]"	valid
The expression levels of hilA, invF and hilD, but not of hilC, are decreased in the mlc mutant	hilA,25,29,Protein	invF,31,35,Protein	hilD,40,44,Protein	hilC,57,61,Protein	mlc,84,87,Protein	"[{""token"": ""hilA"", ""start_span"": 25, ""end_span"": 29, ""type"": ""Protein""}, {""token"": ""invF"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""hilD"", ""start_span"": 40, ""end_span"": 44, ""type"": ""Protein""}, {""token"": ""hilC"", ""start_span"": 57, ""end_span"": 61, ""type"": ""Protein""}, {""token"": ""mlc"", ""start_span"": 84, ""end_span"": 87, ""type"": ""Protein""}]"	valid
To identify the target gene in SPI1 that is regulated by Mlc, the expression patterns of the SPI1 - regulatory genes, which include hilA, invF, hilC and hilD, were examined by primer extension analysis of total RNA from SL1344 and SR1304 grown statically to the exponential phase.	Mlc,57,60,Protein	hilA,132,136,Protein	invF,138,142,Protein	hilC,144,148,Protein	hilD,153,157,Protein	"[{""token"": ""Mlc"", ""start_span"": 57, ""end_span"": 60, ""type"": ""Protein""}, {""token"": ""hilA"", ""start_span"": 132, ""end_span"": 136, ""type"": ""Protein""}, {""token"": ""invF"", ""start_span"": 138, ""end_span"": 142, ""type"": ""Protein""}, {""token"": ""hilC"", ""start_span"": 144, ""end_span"": 148, ""type"": ""Protein""}, {""token"": ""hilD"", ""start_span"": 153, ""end_span"": 157, ""type"": ""Protein""}]"	valid
To study the effect of Mlc on hilE expression, we measured the expression of hilE - lacZY on the low - copy plasmid pMAB69, which contains the hilE promoter region from - 886 to + 121, relative to the translation start site.	Mlc,23,26,Protein	hilE,30,34,Protein	hilE,77,81,Protein	lacZY,84,89,Protein	hilE,143,147,Protein	"[{""token"": ""Mlc"", ""start_span"": 23, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""hilE"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Protein""}, {""token"": ""hilE"", ""start_span"": 77, ""end_span"": 81, ""type"": ""Protein""}, {""token"": ""lacZY"", ""start_span"": 84, ""end_span"": 89, ""type"": ""Protein""}, {""token"": ""hilE"", ""start_span"": 143, ""end_span"": 147, ""type"": ""Protein""}]"	valid
The role of HilE in the regulation of SPI1 gene expression by Mlc was further studied by comparing the invasive abilities of the hilE and hilE / mlc mutant strains of Salmonella.	HilE,12,16,Protein	Mlc,62,65,Protein	hilE,129,133,Protein	hilE,138,142,Protein	mlc,145,148,Protein	"[{""token"": ""HilE"", ""start_span"": 12, ""end_span"": 16, ""type"": ""Protein""}, {""token"": ""Mlc"", ""start_span"": 62, ""end_span"": 65, ""type"": ""Protein""}, {""token"": ""hilE"", ""start_span"": 129, ""end_span"": 133, ""type"": ""Protein""}, {""token"": ""hilE"", ""start_span"": 138, ""end_span"": 142, ""type"": ""Protein""}, {""token"": ""mlc"", ""start_span"": 145, ""end_span"": 148, ""type"": ""Protein""}]"	valid
However, the hilE / mlc double mutant showed an almost similar invasion ability to that of the hilE mutant ( Figure 3B), which suggests that the effect of the mlc mutation on the invasive phenotype is mainly dependent upon HilE function.	hilE,13,17,Protein	mlc,20,23,Protein	hilE,95,99,Protein	mlc,159,162,Protein	HilE,223,227,Protein	"[{""token"": ""hilE"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""mlc"", ""start_span"": 20, ""end_span"": 23, ""type"": ""Protein""}, {""token"": ""hilE"", ""start_span"": 95, ""end_span"": 99, ""type"": ""Protein""}, {""token"": ""mlc"", ""start_span"": 159, ""end_span"": 162, ""type"": ""Protein""}, {""token"": ""HilE"", ""start_span"": 223, ""end_span"": 227, ""type"": ""Protein""}]"	valid
While hilD expression was reduced in the mlc mutant, it was slightly higher than the wild - type level in both the hilE and hilE / mlc mutant strains ( Figure 3C).	hilD,6,10,Protein	mlc,41,44,Protein	hilE,115,119,Protein	hilE,124,128,Protein	mlc,131,134,Protein	"[{""token"": ""hilD"", ""start_span"": 6, ""end_span"": 10, ""type"": ""Protein""}, {""token"": ""mlc"", ""start_span"": 41, ""end_span"": 44, ""type"": ""Protein""}, {""token"": ""hilE"", ""start_span"": 115, ""end_span"": 119, ""type"": ""Protein""}, {""token"": ""hilE"", ""start_span"": 124, ""end_span"": 128, ""type"": ""Protein""}, {""token"": ""mlc"", ""start_span"": 131, ""end_span"": 134, ""type"": ""Protein""}]"	valid
The low level of hilD expression in the mlc mutant can be explained by the fact that the increased level of HilE in the mlc mutant can repress the activity of HilD, which is known to act as an activator of its own expression ( 9, 36).	hilD,17,21,Protein	mlc,40,43,Protein	HilE,108,112,Protein	mlc,120,123,Protein	HilD,159,163,Protein	"[{""token"": ""hilD"", ""start_span"": 17, ""end_span"": 21, ""type"": ""Protein""}, {""token"": ""mlc"", ""start_span"": 40, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""HilE"", ""start_span"": 108, ""end_span"": 112, ""type"": ""Protein""}, {""token"": ""mlc"", ""start_span"": 120, ""end_span"": 123, ""type"": ""Protein""}, {""token"": ""HilD"", ""start_span"": 159, ""end_span"": 163, ""type"": ""Protein""}]"	valid
The 2 - 3 - fold decrease in hilD expression caused by the mlc mutation is sufficient to account for the nearly 10 - fold decrease in hilA and invFA transcription, owing to the nature of the feed - forward regulatory loop, in that moderate effects on HilD production are amplified ( 9).	hilD,29,33,Protein	mlc,59,62,Protein	hilA,134,138,Protein	invFA,143,148,Protein	HilD,251,255,Protein	"[{""token"": ""hilD"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""mlc"", ""start_span"": 59, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""hilA"", ""start_span"": 134, ""end_span"": 138, ""type"": ""Protein""}, {""token"": ""invFA"", ""start_span"": 143, ""end_span"": 148, ""type"": ""Protein""}, {""token"": ""HilD"", ""start_span"": 251, ""end_span"": 255, ""type"": ""Protein""}]"	valid
The two Mlc - binding sites in hilE P3 identified by the gel mobility shift assay and DNase I footprinting analysis show high - level homology with the known consensus Mlc - binding sequences; additionally, the two Mlc - binding sites are separated by 98nt, as is the case for other promoters that have two Mlc - binding sites ( 41).	Mlc,8,11,Protein	hilE,31,35,Protein	Mlc,168,171,Protein	Mlc,215,218,Protein	Mlc,307,310,Protein	"[{""token"": ""Mlc"", ""start_span"": 8, ""end_span"": 11, ""type"": ""Protein""}, {""token"": ""hilE"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""Mlc"", ""start_span"": 168, ""end_span"": 171, ""type"": ""Protein""}, {""token"": ""Mlc"", ""start_span"": 215, ""end_span"": 218, ""type"": ""Protein""}, {""token"": ""Mlc"", ""start_span"": 307, ""end_span"": 310, ""type"": ""Protein""}]"	valid
Thus, carbon metabolism sensed by PhoB / R may also affect hilE expression ( 22), and this may be one of the reasons for the elevated hilE expression in the presence of carbohydrates in the mlc mutant ( Figure 6A).	PhoB,34,38,Protein	R,41,42,Protein	hilE,59,63,Protein	hilE,134,138,Protein	mlc,190,193,Protein	"[{""token"": ""PhoB"", ""start_span"": 34, ""end_span"": 38, ""type"": ""Protein""}, {""token"": ""R"", ""start_span"": 41, ""end_span"": 42, ""type"": ""Protein""}, {""token"": ""hilE"", ""start_span"": 59, ""end_span"": 63, ""type"": ""Protein""}, {""token"": ""hilE"", ""start_span"": 134, ""end_span"": 138, ""type"": ""Protein""}, {""token"": ""mlc"", ""start_span"": 190, ""end_span"": 193, ""type"": ""Protein""}]"	valid
In order to define the role of SalK / SalR in SS2 infection, an isogenic SalK / SalR - deficient mutant was generated and the impact of salKR deletion on virulence of SS2 was assessed.	SalK,31,35,Protein	SalR,38,42,Protein	SalK,73,77,Protein	SalR,80,84,Protein	salKR,136,141,Protein	"[{""token"": ""SalK"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""SalR"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Protein""}, {""token"": ""SalK"", ""start_span"": 73, ""end_span"": 77, ""type"": ""Protein""}, {""token"": ""SalR"", ""start_span"": 80, ""end_span"": 84, ""type"": ""Protein""}, {""token"": ""salKR"", ""start_span"": 136, ""end_span"": 141, ""type"": ""Protein""}]"	valid
SsrB regulates the expression of SPI - 2 encoded substrate effectors including ssaB, as well as several integrated virulence effectors such as sseL [ 8] and srfN [ 9] that are encoded elsewhere on the chromosome but that have integrated into the SsrB regulon.	SsrB,0,4,Protein	ssaB,79,83,Protein	sseL,143,147,Protein	srfN,157,161,Protein	SsrB,246,250,Protein	"[{""token"": ""SsrB"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""ssaB"", ""start_span"": 79, ""end_span"": 83, ""type"": ""Protein""}, {""token"": ""sseL"", ""start_span"": 143, ""end_span"": 147, ""type"": ""Protein""}, {""token"": ""srfN"", ""start_span"": 157, ""end_span"": 161, ""type"": ""Protein""}, {""token"": ""SsrB"", ""start_span"": 246, ""end_span"": 250, ""type"": ""Protein""}]"	valid
Consistent with the results for SseB, there was a decrease in SifA - 2HA levels in DeltarpoE compared to wild type, although deletion of rpoE did not have an effect on SseL - 2HA.	SseB,32,36,Protein	SifA - 2HA,62,72,Protein	DeltarpoE,83,92,Protein	rpoE,137,141,Protein	SseL - 2HA,168,178,Protein	"[{""token"": ""SseB"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Protein""}, {""token"": ""SifA - 2HA"", ""start_span"": 62, ""end_span"": 72, ""type"": ""Protein""}, {""token"": ""DeltarpoE"", ""start_span"": 83, ""end_span"": 92, ""type"": ""Protein""}, {""token"": ""rpoE"", ""start_span"": 137, ""end_span"": 141, ""type"": ""Protein""}, {""token"": ""SseL - 2HA"", ""start_span"": 168, ""end_span"": 178, ""type"": ""Protein""}]"	valid
Furthermore, we demonstrate that the Drosophila Imd - regulated local gut response is necessary to combat infection and that P. entomophila AprA - regulation via GacS / GacA and PrtR regulators is used as a strategy to escape AMP activity.	Imd,48,51,Protein	AprA,140,144,Protein	GacS,162,166,Protein	GacA,169,173,Protein	PrtR,178,182,Protein	"[{""token"": ""Imd"", ""start_span"": 48, ""end_span"": 51, ""type"": ""Protein""}, {""token"": ""AprA"", ""start_span"": 140, ""end_span"": 144, ""type"": ""Protein""}, {""token"": ""GacS"", ""start_span"": 162, ""end_span"": 166, ""type"": ""Protein""}, {""token"": ""GacA"", ""start_span"": 169, ""end_span"": 173, ""type"": ""Protein""}, {""token"": ""PrtR"", ""start_span"": 178, ""end_span"": 182, ""type"": ""Protein""}]"	test
The structural gene for the metalloprotease, aprA, is followed by a gene encoding its periplasmic inhibitor, aprI, and three genes encoding the Type I transporter, aprD, E, and F ( Figure 2A).	aprA,45,49,Protein	aprI,109,113,Protein	aprD,164,168,Protein	E,170,171,Protein	F,177,178,Protein	"[{""token"": ""aprA"", ""start_span"": 45, ""end_span"": 49, ""type"": ""Protein""}, {""token"": ""aprI"", ""start_span"": 109, ""end_span"": 113, ""type"": ""Protein""}, {""token"": ""aprD"", ""start_span"": 164, ""end_span"": 168, ""type"": ""Protein""}, {""token"": ""E"", ""start_span"": 170, ""end_span"": 171, ""type"": ""Protein""}, {""token"": ""F"", ""start_span"": 177, ""end_span"": 178, ""type"": ""Protein""}]"	test
We could not exclude that the aprA mutant phenotype was due to polar effects of the insertion in the operon upon expression of apr I, D, E, and F.	aprA,30,34,Protein	apr I,127,132,Protein	D,134,135,Protein	E,137,138,Protein	F,144,145,Protein	"[{""token"": ""aprA"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Protein""}, {""token"": ""apr I"", ""start_span"": 127, ""end_span"": 132, ""type"": ""Protein""}, {""token"": ""D"", ""start_span"": 134, ""end_span"": 135, ""type"": ""Protein""}, {""token"": ""E"", ""start_span"": 137, ""end_span"": 138, ""type"": ""Protein""}, {""token"": ""F"", ""start_span"": 144, ""end_span"": 145, ""type"": ""Protein""}]"	test
To determine whether AprA plays a role in counteracting the Imd - dependent immune response, we compared persistence of wild - type P. entomophila, gacA, and aprA derivatives by quantifying the number of bacteria in Rel flies and larvae.	AprA,21,25,Protein	Imd,60,63,Protein	gacA,148,152,Protein	aprA,158,162,Protein	Rel,216,219,Protein	"[{""token"": ""AprA"", ""start_span"": 21, ""end_span"": 25, ""type"": ""Protein""}, {""token"": ""Imd"", ""start_span"": 60, ""end_span"": 63, ""type"": ""Protein""}, {""token"": ""gacA"", ""start_span"": 148, ""end_span"": 152, ""type"": ""Protein""}, {""token"": ""aprA"", ""start_span"": 158, ""end_span"": 162, ""type"": ""Protein""}, {""token"": ""Rel"", ""start_span"": 216, ""end_span"": 219, ""type"": ""Protein""}]"	test
We utilized an engineered fly line ( UAS - imd, hs - Gal4) over - expressing imd under the control of a heat - shock promoter via the UAS - Gal4 system, which consequently leads to strong expression of Imd - dependent AMP genes.	imd,43,46,Protein	Gal4,53,57,Protein	imd,77,80,Protein	Gal4,140,144,Protein	Imd,202,205,Protein	"[{""token"": ""imd"", ""start_span"": 43, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""Gal4"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Protein""}, {""token"": ""imd"", ""start_span"": 77, ""end_span"": 80, ""type"": ""Protein""}, {""token"": ""Gal4"", ""start_span"": 140, ""end_span"": 144, ""type"": ""Protein""}, {""token"": ""Imd"", ""start_span"": 202, ""end_span"": 205, ""type"": ""Protein""}]"	test
This conclusion is based on our observations that ( i) aprA mutants show attenuated virulence, ( ii) aprA mutants survive less well than wild - type P. entomophila in Drosophila and are more sensitive to Imd - mediated defense, and ( iii) AprA provides specific protection in vivo against Diptericin.	aprA,55,59,Protein	aprA,101,105,Protein	Imd,204,207,Protein	AprA,239,243,Protein	Diptericin,289,299,Protein	"[{""token"": ""aprA"", ""start_span"": 55, ""end_span"": 59, ""type"": ""Protein""}, {""token"": ""aprA"", ""start_span"": 101, ""end_span"": 105, ""type"": ""Protein""}, {""token"": ""Imd"", ""start_span"": 204, ""end_span"": 207, ""type"": ""Protein""}, {""token"": ""AprA"", ""start_span"": 239, ""end_span"": 243, ""type"": ""Protein""}, {""token"": ""Diptericin"", ""start_span"": 289, ""end_span"": 299, ""type"": ""Protein""}]"	test
As opposed to the pleiotropic effects of GacS / GacA, PrtR appears to be a more specific regulator of aprA expression in P. entomophila, reminiscent of aprX regulation in P. fluorescens [ 32].	GacS,41,45,Protein	GacA,48,52,Protein	PrtR,54,58,Protein	aprA,102,106,Protein	aprX,152,156,Protein	"[{""token"": ""GacS"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Protein""}, {""token"": ""GacA"", ""start_span"": 48, ""end_span"": 52, ""type"": ""Protein""}, {""token"": ""PrtR"", ""start_span"": 54, ""end_span"": 58, ""type"": ""Protein""}, {""token"": ""aprA"", ""start_span"": 102, ""end_span"": 106, ""type"": ""Protein""}, {""token"": ""aprX"", ""start_span"": 152, ""end_span"": 156, ""type"": ""Protein""}]"	test
This observation is consistent with the dual functional role of RcsC as both kinase and phosphatase, moving phosphates both to and away from RcsB via RcsD, and that RcsB remains phosphorylated in rcsC null mutants [ 38, 39].	RcsC,64,68,Protein	RcsB,141,145,Protein	RcsD,150,154,Protein	RcsB,165,169,Protein	rcsC,196,200,Protein	"[{""token"": ""RcsC"", ""start_span"": 64, ""end_span"": 68, ""type"": ""Protein""}, {""token"": ""RcsB"", ""start_span"": 141, ""end_span"": 145, ""type"": ""Protein""}, {""token"": ""RcsD"", ""start_span"": 150, ""end_span"": 154, ""type"": ""Protein""}, {""token"": ""RcsB"", ""start_span"": 165, ""end_span"": 169, ""type"": ""Protein""}, {""token"": ""rcsC"", ""start_span"": 196, ""end_span"": 200, ""type"": ""Protein""}]"	test
Tether assays with DeltayhjH DeltacheZ double mutants showed flagellar rotation indistinguishable from cheZ single mutants ( unpublished data), indicating that null mutations in cheZ are epistatic to null mutations in yhjH.	DeltayhjH,19,28,Protein	DeltacheZ,29,38,Protein	cheZ,103,107,Protein	cheZ,178,182,Protein	yhjH,218,222,Protein	"[{""token"": ""DeltayhjH"", ""start_span"": 19, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""DeltacheZ"", ""start_span"": 29, ""end_span"": 38, ""type"": ""Protein""}, {""token"": ""cheZ"", ""start_span"": 103, ""end_span"": 107, ""type"": ""Protein""}, {""token"": ""cheZ"", ""start_span"": 178, ""end_span"": 182, ""type"": ""Protein""}, {""token"": ""yhjH"", ""start_span"": 218, ""end_span"": 222, ""type"": ""Protein""}]"	test
YfiR is predicted to be a periplasmic protein, YfiB shows sequence similarity to outer - membrane porin proteins, and YfiN is a predicted inner - membrane protein with GGDEF and HAMP domains.	YfiR,0,4,Protein	YfiB,47,51,Protein	YfiN,118,122,Protein	GGDEF,168,173,Protein	HAMP,178,182,Protein	"[{""token"": ""YfiR"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""YfiB"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Protein""}, {""token"": ""YfiN"", ""start_span"": 118, ""end_span"": 122, ""type"": ""Protein""}, {""token"": ""GGDEF"", ""start_span"": 168, ""end_span"": 173, ""type"": ""Protein""}, {""token"": ""HAMP"", ""start_span"": 178, ""end_span"": 182, ""type"": ""Protein""}]"	test
The selection results revealed that mutants harboring insertions in five genes ( ompR, envZ, znuA, znuC, and yfiM) were the most abundant.	ompR,81,85,Protein	envZ,87,91,Protein	znuA,93,97,Protein	znuC,99,103,Protein	yfiM,109,113,Protein	"[{""token"": ""ompR"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Protein""}, {""token"": ""envZ"", ""start_span"": 87, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""znuA"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Protein""}, {""token"": ""znuC"", ""start_span"": 99, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""yfiM"", ""start_span"": 109, ""end_span"": 113, ""type"": ""Protein""}]"	test
Ongoing work will determine how the gene products of yfiM, znuA, and znuC contribute to this signaling pathway, either through Envz / OmpR or through a parallel pathway.	yfiM,53,57,Protein	znuA,59,63,Protein	znuC,69,73,Protein	Envz,127,131,Protein	OmpR,134,138,Protein	"[{""token"": ""yfiM"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Protein""}, {""token"": ""znuA"", ""start_span"": 59, ""end_span"": 63, ""type"": ""Protein""}, {""token"": ""znuC"", ""start_span"": 69, ""end_span"": 73, ""type"": ""Protein""}, {""token"": ""Envz"", ""start_span"": 127, ""end_span"": 131, ""type"": ""Protein""}, {""token"": ""OmpR"", ""start_span"": 134, ""end_span"": 138, ""type"": ""Protein""}]"	test
In addition, iolH, iolJ and iolK, present in L. casei, are not present in OG1RF, nor are iolH and iolK present in the C. perfringens iol operon.	iolH,13,17,Protein	iolJ,19,23,Protein	iolK,28,32,Protein	iolH,89,93,Protein	iolK,98,102,Protein	"[{""token"": ""iolH"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""iolJ"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Protein""}, {""token"": ""iolK"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Protein""}, {""token"": ""iolH"", ""start_span"": 89, ""end_span"": 93, ""type"": ""Protein""}, {""token"": ""iolK"", ""start_span"": 98, ""end_span"": 102, ""type"": ""Protein""}]"	test
