We verified the differential expression of spy2039 and spy0130 by qRT - PCR.	"spy2039	43	50	Protein"	"spy0130	55	62	Protein"	"[{""token"": ""spy2039"", ""start_span"": 43, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""spy0130"", ""start_span"": 55, ""end_span"": 62, ""type"": ""Protein""}]"
Moreover, the expression values of genes rv3612c - rv3616c in H37Rv described in the article by Gao et al.	"rv3612c	41	48	Protein"	"rv3616c	51	58	Protein"	"[{""token"": ""rv3612c"", ""start_span"": 41, ""end_span"": 48, ""type"": ""Protein""}, {""token"": ""rv3616c"", ""start_span"": 51, ""end_span"": 58, ""type"": ""Protein""}]"
[ 12] show substantial differences between cultures grown in roller bottles relative to cultures grown in shake flasks, arguing that this gene cluster might be regulated by environmental conditions through the PhoP / PhoR system.	"PhoP	210	214	Protein"	"PhoR	217	221	Protein"	"[{""token"": ""PhoP"", ""start_span"": 210, ""end_span"": 214, ""type"": ""Protein""}, {""token"": ""PhoR"", ""start_span"": 217, ""end_span"": 221, ""type"": ""Protein""}]"
Furthermore, rv3614c - rv3616c were reported to be transiently upregulated in the phagosome and under acidic stress [ 38].	"rv3614c	13	20	Protein"	"rv3616c	23	30	Protein"	"[{""token"": ""rv3614c"", ""start_span"": 13, ""end_span"": 20, ""type"": ""Protein""}, {""token"": ""rv3616c"", ""start_span"": 23, ""end_span"": 30, ""type"": ""Protein""}]"
Our results obtained for ESAT - 6 expression ( Figure 5) and the transcriptome data from Gao and colleagues [ 12] argue against direct downregulation of ESAT - 6 in H37Ra.	"ESAT - 6	25	33	Protein"	"ESAT - 6	153	161	Protein"	"[{""token"": ""ESAT - 6"", ""start_span"": 25, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 153, ""end_span"": 161, ""type"": ""Protein""}]"
By complementation with the wild - type copy of PhoP, we obtained a significant increase in virulence in ex vivo and animal models as well as restoration of ESAT - 6 secretion and the accompanying antigen - specific immunological recognition by sensitized splenocytes or T cell hybridomas.	"PhoP	48	52	Protein"	"ESAT - 6	157	165	Protein"	"[{""token"": ""PhoP"", ""start_span"": 48, ""end_span"": 52, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 157, ""end_span"": 165, ""type"": ""Protein""}]"
The link described here between mutation of phoP and consequences on ESAT - 6 secretion, however, appears to be one factor that significantly contributes to attenuation.	"phoP	44	48	Protein"	"ESAT - 6	69	77	Protein"	"[{""token"": ""phoP"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 69, ""end_span"": 77, ""type"": ""Protein""}]"
Thus, our results once more emphasize the great importance of the ESX - 1 system for tubercle bacilli and provide important new information about the phoP - associated virulence regulation in M. tuberculosis.	"ESX - 1	66	73	Protein"	"phoP	150	154	Protein"	"[{""token"": ""ESX - 1"", ""start_span"": 66, ""end_span"": 73, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 150, ""end_span"": 154, ""type"": ""Protein""}]"
Primary variants are found to produce extracellular protease, extracellular lipase, intracellular protein crystals CipA and CipB, antibiotics, and are bioluminescent.	"CipA	115	119	Protein"	"CipB	124	128	Protein"	"[{""token"": ""CipA"", ""start_span"": 115, ""end_span"": 119, ""type"": ""Protein""}, {""token"": ""CipB"", ""start_span"": 124, ""end_span"": 128, ""type"": ""Protein""}]"
Both sensor kinases Plu0102 and YE4185 are of moderate similarity ( 31. 5% identity, 48. 5% homology).	"Plu0102	20	27	Protein"	"YE4185	32	38	Protein"	"[{""token"": ""Plu0102"", ""start_span"": 20, ""end_span"": 27, ""type"": ""Protein""}, {""token"": ""YE4185"", ""start_span"": 32, ""end_span"": 38, ""type"": ""Protein""}]"
Therefore, Plu0102 and YE4185 are interesting candidates for unravelling invertebrate - specific signals.	"Plu0102	11	18	Protein"	"YE4185	23	29	Protein"	"[{""token"": ""Plu0102"", ""start_span"": 11, ""end_span"": 18, ""type"": ""Protein""}, {""token"": ""YE4185"", ""start_span"": 23, ""end_span"": 29, ""type"": ""Protein""}]"
The role of PhoP / PhoQ in regulating virulence gene expression has been characterized mainly in Salmonella species, but has also been shown, in addition to three other TCSs, to be important for virulence of Y. pseudotuberculosis [ 29, 30].	"PhoP	12	16	Protein"	"PhoQ	19	23	Protein"	"[{""token"": ""PhoP"", ""start_span"": 12, ""end_span"": 16, ""type"": ""Protein""}, {""token"": ""PhoQ"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Protein""}]"
The AstS / AstR TCS is required for the correct timing of phase variant switching in P. luminescens [ 28].	"AstS	4	8	Protein"	"AstR	11	15	Protein"	"[{""token"": ""AstS"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Protein""}, {""token"": ""AstR"", ""start_span"": 11, ""end_span"": 15, ""type"": ""Protein""}]"
Both Y. enterocolitica and P. luminescens produce the KdpD / KdpE system that regulates K + homeostasis and osmotic stress.	"KdpD	54	58	Protein"	"KdpE	61	65	Protein"	"[{""token"": ""KdpD"", ""start_span"": 54, ""end_span"": 58, ""type"": ""Protein""}, {""token"": ""KdpE"", ""start_span"": 61, ""end_span"": 65, ""type"": ""Protein""}]"
Therefore, the KdpD / KdpE system is also a further candidate system which might be involved in the regulation of insecticidal activity of Y. enterocolitica.	"KdpD	15	19	Protein"	"KdpE	22	26	Protein"	"[{""token"": ""KdpD"", ""start_span"": 15, ""end_span"": 19, ""type"": ""Protein""}, {""token"": ""KdpE"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Protein""}]"
The only TCS of P. luminescens absent in Y. enterocolitica is TctE / TctD ( Fig. 2, marked in blue), which, however, is found in the genomes of Y. intermedia and Y. frederiksenii.	"TctE	62	66	Protein"	"TctD	69	73	Protein"	"[{""token"": ""TctE"", ""start_span"": 62, ""end_span"": 66, ""type"": ""Protein""}, {""token"": ""TctD"", ""start_span"": 69, ""end_span"": 73, ""type"": ""Protein""}]"
"Beside these microorganisms, TctE / TctD homologues controlling the transport of tricarboxylic acid ( see section "" Tricarboxylate utilization "") are present in the genera Salmonella, Burkholderia, Agrobacterium, Bordetella, Collinsella, Xylella, Xanthomonas, and Pseudomonas, particularly P. entomophila, all of which are found in association with eukaryotes."	"TctE	29	33	Protein"	"TctD	36	40	Protein"	"[{""token"": ""TctE"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""TctD"", ""start_span"": 36, ""end_span"": 40, ""type"": ""Protein""}]"
Moreover, we identified a second AHL - LuxR regulator, YE1026, which lacks a separate AHL synthase ( Fig. 3).	"LuxR	39	43	Protein"	"YE1026	55	61	Protein"	"[{""token"": ""LuxR"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""YE1026"", ""start_span"": 55, ""end_span"": 61, ""type"": ""Protein""}]"
Regulation by PAS _ 4 / LuxR - like receptors	"PAS _ 4	14	21	Protein"	"LuxR	24	28	Protein"	"[{""token"": ""PAS _ 4"", ""start_span"": 14, ""end_span"": 21, ""type"": ""Protein""}, {""token"": ""LuxR"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Protein""}]"
35 of these potential LuxR - like receptors exhibit PAS _ 4 signal binding domains instead of an AHL - binding domain, and two have a signalling domain with a yet unidentified motif ( Fig. 3).	"LuxR	22	26	Protein"	"PAS _ 4	52	59	Protein"	"[{""token"": ""LuxR"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""PAS _ 4"", ""start_span"": 52, ""end_span"": 59, ""type"": ""Protein""}]"
It is interesting to note that there is only one bacterium else, the insect colonizing S. glossinidius, whose genome also carries a series of unclustered genes coding for PAS _ 4 / LuxR - like receptors, indicating that this kind of receptors plays a role during insect infection.	"PAS _ 4	171	178	Protein"	"LuxR	181	185	Protein"	"[{""token"": ""PAS _ 4"", ""start_span"": 171, ""end_span"": 178, ""type"": ""Protein""}, {""token"": ""LuxR"", ""start_span"": 181, ""end_span"": 185, ""type"": ""Protein""}]"
Therefore, the potential PAS _ 4 / LuxR - like receptors of P. luminescens, Y. enterocolitica, and S. glossinidius might sense JH or other eukaryotic hormones of the insect to adapt their gene expression to the insect host.	"PAS _ 4	25	32	Protein"	"LuxR	35	39	Protein"	"[{""token"": ""PAS _ 4"", ""start_span"": 25, ""end_span"": 32, ""type"": ""Protein""}, {""token"": ""LuxR"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Protein""}]"
This hypothesis is underlined by the fact that not more than five PAS _ 4 / LuxR - like receptors are present in S. glossinidius for which only one insect host has been reported.	"PAS _ 4	66	73	Protein"	"LuxR	76	80	Protein"	"[{""token"": ""PAS _ 4"", ""start_span"": 66, ""end_span"": 73, ""type"": ""Protein""}, {""token"": ""LuxR"", ""start_span"": 76, ""end_span"": 80, ""type"": ""Protein""}]"
The protein family is divided into the UspA subfamily and the UspFG subfamily.	"UspA	39	43	Protein"	"UspFG	62	67	Protein"	"[{""token"": ""UspA"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""UspFG"", ""start_span"": 62, ""end_span"": 67, ""type"": ""Protein""}]"
In E. coli, the sequence motif of Usp proteins is not highly conserved: UspA and UspC show a sequence identity of 37% and a homology of 57%, for example.	"UspA	72	76	Protein"	"UspC	81	85	Protein"	"[{""token"": ""UspA"", ""start_span"": 72, ""end_span"": 76, ""type"": ""Protein""}, {""token"": ""UspC"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Protein""}]"
In contrast, the UspA and the UspE homologues of P. luminescens and Y. enterocolitica are nearly similar, indicating that an identical stress response is regulated by these proteins.	"UspA	17	21	Protein"	"UspE	30	34	Protein"	"[{""token"": ""UspA"", ""start_span"": 17, ""end_span"": 21, ""type"": ""Protein""}, {""token"": ""UspE"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Protein""}]"
It is discussed that the AstS / AstR - system prevents or delays phenotypic variation by protecting the cell from stress [ 18].	"AstS	25	29	Protein"	"AstR	32	36	Protein"	"[{""token"": ""AstS"", ""start_span"": 25, ""end_span"": 29, ""type"": ""Protein""}, {""token"": ""AstR"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Protein""}]"
Phenotypic variation and thus the switch between mutualism and pathogenicity in P. luminescens is proposed to be regulated by a Ner - like and a HexA - like regulator that repress primary variant specific genes in the stage of the secondary variant [ 17].	"Ner	128	131	Protein"	"HexA	145	149	Protein"	"[{""token"": ""Ner"", ""start_span"": 128, ""end_span"": 131, ""type"": ""Protein""}, {""token"": ""HexA"", ""start_span"": 145, ""end_span"": 149, ""type"": ""Protein""}]"
Therefore, UspA might have a global importance in P. luminescens notifying stress and transmitting signals for HexA [ 18].	"UspA	11	15	Protein"	"HexA	111	115	Protein"	"[{""token"": ""UspA"", ""start_span"": 11, ""end_span"": 15, ""type"": ""Protein""}, {""token"": ""HexA"", ""start_span"": 111, ""end_span"": 115, ""type"": ""Protein""}]"
It is known that UspG of E. coli interacts with the chaperonin GroEL [ 54], which promotes the correct folding of many cytosolic proteins [ 55].	"UspG	17	21	Protein"	"GroEL	63	68	Protein"	"[{""token"": ""UspG"", ""start_span"": 17, ""end_span"": 21, ""type"": ""Protein""}, {""token"": ""GroEL"", ""start_span"": 63, ""end_span"": 68, ""type"": ""Protein""}]"
Proteins containing a so - called GGDEF domain are responsible for the synthesis of c - di - GMP, and those with a so - called EAL domain for its degradation.	"GGDEF	34	39	Protein"	"EAL	127	130	Protein"	"[{""token"": ""GGDEF"", ""start_span"": 34, ""end_span"": 39, ""type"": ""Protein""}, {""token"": ""EAL"", ""start_span"": 127, ""end_span"": 130, ""type"": ""Protein""}]"
In Y. enterocolitica, we identified 22 putative proteins containing GGDEF and EAL domains.	"GGDEF	68	73	Protein"	"EAL	78	81	Protein"	"[{""token"": ""GGDEF"", ""start_span"": 68, ""end_span"": 73, ""type"": ""Protein""}, {""token"": ""EAL"", ""start_span"": 78, ""end_span"": 81, ""type"": ""Protein""}]"
Eleven of these proteins solely contain a GGDEF - domain and six solely an EAL - domain, and both domains are found in tandem in five proteins.	"GGDEF	42	47	Protein"	"EAL	75	78	Protein"	"[{""token"": ""GGDEF"", ""start_span"": 42, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""EAL"", ""start_span"": 75, ""end_span"": 78, ""type"": ""Protein""}]"
All other GGDEF and EAL domain - containing proteins are of unknown function.	"GGDEF	10	15	Protein"	"EAL	20	23	Protein"	"[{""token"": ""GGDEF"", ""start_span"": 10, ""end_span"": 15, ""type"": ""Protein""}, {""token"": ""EAL"", ""start_span"": 20, ""end_span"": 23, ""type"": ""Protein""}]"
It has been reported that P. luminescens forms biofilms in vitro, and that a luxS - deficient mutant unable to synthesize the quorum - sensing inducer AI - 2 showed a decreased biofilm formation [ 42].	"luxS	77	81	Protein"	"AI - 2	151	157	Protein"	"[{""token"": ""luxS"", ""start_span"": 77, ""end_span"": 81, ""type"": ""Protein""}, {""token"": ""AI - 2"", ""start_span"": 151, ""end_span"": 157, ""type"": ""Protein""}]"
P. luminescens and Y. enterocolitica TPS systems include the calcium - independent hemolysin PhlA that is transported through the outer membrane and activated by PhlB.	"PhlA	93	97	Protein"	"PhlB	162	166	Protein"	"[{""token"": ""PhlA"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Protein""}, {""token"": ""PhlB"", ""start_span"": 162, ""end_span"": 166, ""type"": ""Protein""}]"
Remarkably, their expression is induced by low iron concentration as encountered in the insect host, and phlA / phlB are up - regulated at 18degreesC compared to 28degreesC in Y. ruckeri [ 66].	"phlA	105	109	Protein"	"phlB	112	116	Protein"	"[{""token"": ""phlA"", ""start_span"": 105, ""end_span"": 109, ""type"": ""Protein""}, {""token"": ""phlB"", ""start_span"": 112, ""end_span"": 116, ""type"": ""Protein""}]"
Except YE0479 / YE0480, all have counterparts in the P. luminescens genome.	"YE0479	7	13	Protein"	"YE0480	16	22	Protein"	"[{""token"": ""YE0479"", ""start_span"": 7, ""end_span"": 13, ""type"": ""Protein""}, {""token"": ""YE0480"", ""start_span"": 16, ""end_span"": 22, ""type"": ""Protein""}]"
FhaC which belongs to a family of hemolysin activator proteins related to ShlA from Serratia marcescens is present in both pathogens and also induced at low temperature [ 67].	"FhaC	0	4	Protein"	"ShlA	74	78	Protein"	"[{""token"": ""FhaC"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""ShlA"", ""start_span"": 74, ""end_span"": 78, ""type"": ""Protein""}]"
The P. luminescens genome comprises a gene cluster encoding RTX proteins, namely plu1330 - 1369.	"plu1330	81	88	Protein"	"1369	91	95	Protein"	"[{""token"": ""plu1330"", ""start_span"": 81, ""end_span"": 88, ""type"": ""Protein""}, {""token"": ""1369"", ""start_span"": 91, ""end_span"": 95, ""type"": ""Protein""}]"
This pathogen produces only one RTX protein ( YE1322) for which a truncated homologue is found in P. luminescens ( Plu3209).	"YE1322	46	52	Protein"	"Plu3209	115	122	Protein"	"[{""token"": ""YE1322"", ""start_span"": 46, ""end_span"": 52, ""type"": ""Protein""}, {""token"": ""Plu3209"", ""start_span"": 115, ""end_span"": 122, ""type"": ""Protein""}]"
In P. luminescens, the two paralogs plu4092 and plu4436 encode juvenile hormone esterases ( JHE) for which insect toxicity has already been demonstrated [ 24].	"plu4092	36	43	Protein"	"plu4436	48	55	Protein"	"[{""token"": ""plu4092"", ""start_span"": 36, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""plu4436"", ""start_span"": 48, ""end_span"": 55, ""type"": ""Protein""}]"
Additionally, neither the locus mcf that confers insecticidal activity of P. luminescens towards M. sexta [ 71] by inducing apoptosis [ 72], nor the homologous gene locus mcf2 ( plu3128) [ 73] are present in the genome of Y. enterocolitica.	"mcf2	171	175	Protein"	"plu3128	178	185	Protein"	"[{""token"": ""mcf2"", ""start_span"": 171, ""end_span"": 175, ""type"": ""Protein""}, {""token"": ""plu3128"", ""start_span"": 178, ""end_span"": 185, ""type"": ""Protein""}]"
Recently, it was reported that PrtS ( Plu1382) secreted by P. luminescens, a metalloprotease without counterpart in Y. enterocolitica, specifically induces melanization of the hemolymph, probably to circumvent the innate immune response of the insect [ 81].	"PrtS	31	35	Protein"	"Plu1382	38	45	Protein"	"[{""token"": ""PrtS"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""Plu1382"", ""start_span"": 38, ""end_span"": 45, ""type"": ""Protein""}]"
In Y. enterocolitica, two type - III secretion systems ( T3SS) essential for virulence in the mammalian host are encoded on pYV and by the ysa operon ( YE3533 - 3561) [ 23, 82].	"YE3533	152	158	Protein"	"3561	161	165	Protein"	"[{""token"": ""YE3533"", ""start_span"": 152, ""end_span"": 158, ""type"": ""Protein""}, {""token"": ""3561"", ""start_span"": 161, ""end_span"": 165, ""type"": ""Protein""}]"
Plu1971 of P. luminescens is a protein which contains two phospholipase D motifs.	"Plu1971	0	7	Protein"	"phospholipase D	58	73	Protein"	"[{""token"": ""Plu1971"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Protein""}, {""token"": ""phospholipase D"", ""start_span"": 58, ""end_span"": 73, ""type"": ""Protein""}]"
Ymt is essential for flea colonization by Y. pestis and is regulated by AHL both in Y. pestis [ 95] and P. luminescens ( R. Heermann, unpublished data), indicating that Ymt is also required for insect colonization by P. luminescens.	"Ymt	0	3	Protein"	"Ymt	169	172	Protein"	"[{""token"": ""Ymt"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Protein""}, {""token"": ""Ymt"", ""start_span"": 169, ""end_span"": 172, ""type"": ""Protein""}]"
Degradative pathways P. luminescens and Y. enterocolitica share loci encoding several common degradation pathways that are absent in E. coli K - 12, including the urease operon ( ureABCEFGD), the genes involved in myo - inositol degradation, and the histidine degradation operon ( hutHUCGI).	"ureABCEFGD	179	189	Protein"	"hutHUCGI	281	289	Protein"	"[{""token"": ""ureABCEFGD"", ""start_span"": 179, ""end_span"": 189, ""type"": ""Protein""}, {""token"": ""hutHUCGI"", ""start_span"": 281, ""end_span"": 289, ""type"": ""Protein""}]"
We recently reported that the genes of the urease operon as well as a histidine ammonia lyase ( ye3021 / plu1240), which deaminates histidine to urocanic acid, are highly induced in Y. enterocolitica upon temperature decrease [ 67].	"ye3021	96	102	Protein"	"plu1240	105	112	Protein"	"[{""token"": ""ye3021"", ""start_span"": 96, ""end_span"": 102, ""type"": ""Protein""}, {""token"": ""plu1240"", ""start_span"": 105, ""end_span"": 112, ""type"": ""Protein""}]"
Propanediol degradation by Y. enterocolitica might also be supported by YE4187 with a putative GlcG domain which is predicted to be involved in glycolate and propanediol utilization.	"YE4187	72	78	Protein"	"GlcG	95	99	Protein"	"[{""token"": ""YE4187"", ""start_span"": 72, ""end_span"": 78, ""type"": ""Protein""}, {""token"": ""GlcG"", ""start_span"": 95, ""end_span"": 99, ""type"": ""Protein""}]"
The uhpABC operon as well as mgtC encoding the Mg2 + transport ATPase subunit have been found to be induced at low temperature in Y. enterocolitica [ 67], indicating a relevance for these metabolic genes for P. luminescens and Y. enterocolitica during insect infection.	"uhpABC	4	10	Protein"	"mgtC	29	33	Protein"	"[{""token"": ""uhpABC"", ""start_span"": 4, ""end_span"": 10, ""type"": ""Protein""}, {""token"": ""mgtC"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Protein""}]"
"The TctE / TctD system is the only TCS of P. luminescens without homologue in Y. enterocolitica ( see section "" Two - component signal transduction "", Fig. 2)."	"TctE	4	8	Protein"	"TctD	11	15	Protein"	"[{""token"": ""TctE"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Protein""}, {""token"": ""TctD"", ""start_span"": 11, ""end_span"": 15, ""type"": ""Protein""}]"
It controls the expression of the tctCBA operon encoding the tricarboxylic acid transport system TctCBA [ 107].	"tctCBA	34	40	Protein"	"TctCBA	97	103	Protein"	"[{""token"": ""tctCBA"", ""start_span"": 34, ""end_span"": 40, ""type"": ""Protein""}, {""token"": ""TctCBA"", ""start_span"": 97, ""end_span"": 103, ""type"": ""Protein""}]"
For example, sucA encoding a subunit of alpha - ketoglutarate synthase and acnA encoding the aconitase have been found to be induced in V. cholerae during host infection [ 111, 112], and a complete TCA cycle is also required for S. typhimurium virulence [ 113].	"sucA	13	17	Protein"	"acnA	75	79	Protein"	"[{""token"": ""sucA"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""acnA"", ""start_span"": 75, ""end_span"": 79, ""type"": ""Protein""}]"
We show here that graRS deletion considerably alters bacterial surface charge, increases susceptibility to killing by human neutrophils or the defense peptide LL - 37, and attenuates virulence of S. aureus in a mouse infection model.	"graRS	18	23	Protein"	"LL - 37	159	166	Protein"	"[{""token"": ""graRS"", ""start_span"": 18, ""end_span"": 23, ""type"": ""Protein""}, {""token"": ""LL - 37"", ""start_span"": 159, ""end_span"": 166, ""type"": ""Protein""}]"
S. aureus has evolved mechanisms to alter the anionic charge of cell surface components to gain resistance to a broad variety of cationic antimicrobial factors such as CAMPs [ 7], phospholipase A2 [ 8], myeloperoxidase [ 9], or lysozyme [ 10].	"phospholipase A2	180	196	Protein"	"myeloperoxidase	203	218	Protein"	"[{""token"": ""phospholipase A2"", ""start_span"": 180, ""end_span"": 196, ""type"": ""Protein""}, {""token"": ""myeloperoxidase"", ""start_span"": 203, ""end_span"": 218, ""type"": ""Protein""}]"
The graRS mutant bound significantly more cytochrome c than the WT or the complemented mutant ( Fig. 1A), which is in accordance with the recently described reduced content of D - alanine residues in the teichoic acids of the mutant [ 10].	"graRS	4	9	Protein"	"cytochrome c	42	54	Protein"	"[{""token"": ""graRS"", ""start_span"": 4, ""end_span"": 9, ""type"": ""Protein""}, {""token"": ""cytochrome c"", ""start_span"": 42, ""end_span"": 54, ""type"": ""Protein""}]"
Accordingly, the WT and complemented mutant strains showed no significant decrease in CFU following LL - 37 exposure, whereas the number of graRS mutant bacteria recovered was only 25% of the original inoculum ( Fig. 2A).	"LL - 37	100	107	Protein"	"graRS	140	145	Protein"	"[{""token"": ""LL - 37"", ""start_span"": 100, ""end_span"": 107, ""type"": ""Protein""}, {""token"": ""graRS"", ""start_span"": 140, ""end_span"": 145, ""type"": ""Protein""}]"
Next we investigated whether the graRS mutant is killed faster than the parental strain by human neutrophils, which produce high amounts of LL - 37 and other CAMPs as components of their antibacterial killing arsenal.	"graRS	33	38	Protein"	"LL - 37	140	147	Protein"	"[{""token"": ""graRS"", ""start_span"": 33, ""end_span"": 38, ""type"": ""Protein""}, {""token"": ""LL - 37"", ""start_span"": 140, ""end_span"": 147, ""type"": ""Protein""}]"
Expression of genes was upregulated by a loss of repressive function with the mutation of csrS gene in the all emm49 severe invasive GAS isolates.	"csrS	90	94	Protein"	"emm49	111	116	Protein"	"[{""token"": ""csrS"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Protein""}, {""token"": ""emm49"", ""start_span"": 111, ""end_span"": 116, ""type"": ""Protein""}]"
Recently, GAS with diverse emm genotypes, especially, emm49 - genotype, have been isolated from patients of severe invasive GAS infections since 2000; however, these genotypes were not isolated before 1999 in Japan [ 8].	"emm	27	30	Protein"	"emm49	54	59	Protein"	"[{""token"": ""emm"", ""start_span"": 27, ""end_span"": 30, ""type"": ""Protein""}, {""token"": ""emm49"", ""start_span"": 54, ""end_span"": 59, ""type"": ""Protein""}]"
PMN were killed by streptolysin O ( SLO) from severe invasive GAS	"streptolysin O	19	33	Protein"	"SLO	36	39	Protein"	"[{""token"": ""streptolysin O"", ""start_span"": 19, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""SLO"", ""start_span"": 36, ""end_span"": 39, ""type"": ""Protein""}]"
To confirm that SLO activity is increased in invasive GAS strain, we measured SLO hemolytic activity of GAS strains used in this study.	"SLO	16	19	Protein"	"SLO	78	81	Protein"	"[{""token"": ""SLO"", ""start_span"": 16, ""end_span"": 19, ""type"": ""Protein""}, {""token"": ""SLO"", ""start_span"": 78, ""end_span"": 81, ""type"": ""Protein""}]"
Impaired migration of PMN is due to degradation of IL - 8 by serine proteinase ScpC	"IL - 8	51	57	Protein"	"ScpC	79	83	Protein"	"[{""token"": ""IL - 8"", ""start_span"": 51, ""end_span"": 57, ""type"": ""Protein""}, {""token"": ""ScpC"", ""start_span"": 79, ""end_span"": 83, ""type"": ""Protein""}]"
Figure 4B shows that the amount of IL - 8 was significantly reduced by 60 - min co - culture with NIH230, as well as NIH230slo, but not with non - invasive GAS 1556.	"IL - 8	35	41	Protein"	"NIH230slo	117	126	Protein"	"[{""token"": ""IL - 8"", ""start_span"": 35, ""end_span"": 41, ""type"": ""Protein""}, {""token"": ""NIH230slo"", ""start_span"": 117, ""end_span"": 126, ""type"": ""Protein""}]"
These results demonstrate that clinically isolated invasive GAS impaired PMN recruitment and its survival, as a result of productions of ScpC and SLO, respectively.	"ScpC	137	141	Protein"	"SLO	146	149	Protein"	"[{""token"": ""ScpC"", ""start_span"": 137, ""end_span"": 141, ""type"": ""Protein""}, {""token"": ""SLO"", ""start_span"": 146, ""end_span"": 149, ""type"": ""Protein""}]"
These results demonstrate the prominent changes in the transcriptional profile of several virulence - associated genes, including the slo and the scpC, in the all severe invasive GAS.	"slo	134	137	Protein"	"scpC	146	150	Protein"	"[{""token"": ""slo"", ""start_span"": 134, ""end_span"": 137, ""type"": ""Protein""}, {""token"": ""scpC"", ""start_span"": 146, ""end_span"": 150, ""type"": ""Protein""}]"
Mutation of csrR or csrS can cause significant alterations in virulence in mouse models of infection, either increasing lethality or the severity of localized soft tissue lesions [ 5], [ 6].	"csrR	12	16	Protein"	"csrS	20	24	Protein"	"[{""token"": ""csrR"", ""start_span"": 12, ""end_span"": 16, ""type"": ""Protein""}, {""token"": ""csrS"", ""start_span"": 20, ""end_span"": 24, ""type"": ""Protein""}]"
The nucleotide sequence of the csrR gene was identical in all the isolates, and that of the csrS gene was identical among the all non - invasive GAS isolates ( data not shown).	"csrR	31	35	Protein"	"csrS	92	96	Protein"	"[{""token"": ""csrR"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""csrS"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Protein""}]"
In order to clarify the role of CsrS regarding expression of the virulence - associated genes and resistance to PMN killing, we introduced the intact csrS gene of the 1566 strain into the severe invasive GAS ( see Figure 5A).	"CsrS	32	36	Protein"	"csrS	150	154	Protein"	"[{""token"": ""CsrS"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Protein""}, {""token"": ""csrS"", ""start_span"": 150, ""end_span"": 154, ""type"": ""Protein""}]"
The non - invasive 1566 strain displayed the LD50 value approximately 100 - fold higher than that of the severe invasive NIH230 strain ( Table 1), whereas a csrS deletion ( 1566DeltacsrS) caused an increase in the LD50 value comparable to that of the NIH230 strain.	"csrS	157	161	Protein"	"1566DeltacsrS	173	186	Protein"	"[{""token"": ""csrS"", ""start_span"": 157, ""end_span"": 161, ""type"": ""Protein""}, {""token"": ""1566DeltacsrS"", ""start_span"": 173, ""end_span"": 186, ""type"": ""Protein""}]"
Consistently, an introduction of the intact csrS gene into the NIH230 strain ( NIH230:: csrS +) reduced the LD50 value to the level observed in the non - invasive strain.	"csrS	44	48	Protein"	"csrS +	88	94	Protein"	"[{""token"": ""csrS"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Protein""}, {""token"": ""csrS +"", ""start_span"": 88, ""end_span"": 94, ""type"": ""Protein""}]"
