The relationship of glycosylation and isoelectric point with tumor accumulation of avidin.	"avidin	83	89	Protein"	"[{""token"": ""avidin"", ""start_span"": 83, ""end_span"": 89, ""type"": ""Protein""}]"
Further, peptide N - glycohydrolase F and endo - alpha - N - acetylgalactosaminidase, which are specific for the cleavage of N - glycan and O - glycan linkages, respectively, in glycoproteins were used.	"endo - alpha - N - acetylgalactosaminidase	42	84	Protein"	"[{""token"": ""endo - alpha - N - acetylgalactosaminidase"", ""start_span"": 42, ""end_span"": 84, ""type"": ""Protein""}]"
The gene encoding the membrane ( M) protein of the OC43 strain of human coronavirus ( HCV - OC43) was amplified by a reverse transcription - polymerase chain reaction of viral RNA with HCV - OC43 - and bovine coronavirus ( BCV) - specific primers.	"M	33	34	Protein"	"[{""token"": ""M"", ""start_span"": 33, ""end_span"": 34, ""type"": ""Protein""}]"
The nucleotide sequence of the cloned 1. 5 kb fragment revealed an open reading frame ( ORF) of 690 nucleotides which was identified as the M protein gene from its homology to BCV.	"M	140	141	Protein"	"[{""token"": ""M"", ""start_span"": 140, ""end_span"": 141, ""type"": ""Protein""}]"
The amino acid sequence of the M protein of HCV - OC43 has 94% identity with that of the Mebus strain of BCV, and also contains six potential O - glycosylation sites in the exposed N - terminal domain.	"M	31	32	Protein"	"[{""token"": ""M"", ""start_span"": 31, ""end_span"": 32, ""type"": ""Protein""}]"
Indeed, the glycosylation of the M protein was not inhibited in the presence of tunicamycin, which is indicative of O - glycosylation, as previously reported for BCV and murine hepatitis virus.	"M	33	34	Protein"	"[{""token"": ""M"", ""start_span"": 33, ""end_span"": 34, ""type"": ""Protein""}]"
Production and secretion of high levels of recombinant human acetylcholinesterase in cultured cell lines: microheterogeneity of the catalytic subunit.	"acetylcholinesterase	61	81	Protein"	"[{""token"": ""acetylcholinesterase"", ""start_span"": 61, ""end_span"": 81, ""type"": ""Protein""}]"
All expression vectors contained the selectable neo gene under control of a weak promoter, while the hAChE cDNA was under control of the cytomegalovirus ( CMV) immediate - early or Rous sarcoma virus long terminal repeat ( RSV LTR) or simian virus 40 ( SV40) early promoters.	"hAChE	101	106	Protein"	"[{""token"": ""hAChE"", ""start_span"": 101, ""end_span"": 106, ""type"": ""Protein""}]"
These two forms appear as a single discrete 62 - kDa band following deglycosylation by N - glycanase.	"N - glycanase	87	100	Protein"	"[{""token"": ""N - glycanase"", ""start_span"": 87, ""end_span"": 100, ""type"": ""Protein""}]"
Evaluation of CD44 variant 6 expression and clinicopathological factors in pulmonary metastases from colon carcinoma.	"CD44	14	18	Protein"	"[{""token"": ""CD44"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Protein""}]"
CD44 is a family of transmembrane receptors generated from a single gene by alternative splicing and differential glycosylation.	"CD44	0	4	Protein"	"[{""token"": ""CD44"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}]"
Important biological processes involving CD44 glycoproteins include cell adhesion, lymphocyte homing, hematopoiesis, tumor progression and metastasis.	"CD44	41	45	Protein"	"[{""token"": ""CD44"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Protein""}]"
The precise mechanism via which CD44 promotes tumorigenesis have not yet been elucidated.	"CD44	32	36	Protein"	"[{""token"": ""CD44"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Protein""}]"
We evaluated the expression of adhesion molecule CD44 variant 6 in pulmonary metastases from colorectal carcinomas and its correlation with clinicopathological parameters.	"CD44	49	53	Protein"	"[{""token"": ""CD44"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Protein""}]"
Immunoreactivity for CD44 was quantified.	"CD44	21	25	Protein"	"[{""token"": ""CD44"", ""start_span"": 21, ""end_span"": 25, ""type"": ""Protein""}]"
CD44 v6 expression was related to the interval between colon resection and metastases diagnosis, the number of pulmonary metastases, and the survival after lung resection.	"CD44	0	4	Protein"	"[{""token"": ""CD44"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}]"
No statistical correlation was found between CD44 v6 positivity and disease - free interval after colon resection, number of metastases or 2 - year survival after lung resection.	"CD44	45	49	Protein"	"[{""token"": ""CD44"", ""start_span"": 45, ""end_span"": 49, ""type"": ""Protein""}]"
Probably CD44 v6 is necessary and sufficient to confer metastatic potential to carcinoma cells increasing the migration capacity and participating in invasion via changes in adhesion to the extracellular ligands, but is not necessary to modify the clinical history of the metastases.	"CD44	9	13	Protein"	"[{""token"": ""CD44"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Protein""}]"
Therefore the evaluation of CD44 v6 expression in lung metastases does not influence the therapeutic scheme.	"CD44	28	32	Protein"	"[{""token"": ""CD44"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Protein""}]"
Promoter - restricted H3 Lys 4 di - methylation is an epigenetic mark for monoallelic expression.	"H3	22	24	Protein"	"[{""token"": ""H3"", ""start_span"": 22, ""end_span"": 24, ""type"": ""Protein""}]"
Methylation of histone tails has been implicated in long - term epigenetic memory.	"histone	15	22	Protein"	"[{""token"": ""histone"", ""start_span"": 15, ""end_span"": 22, ""type"": ""Protein""}]"
Methylated H3 Lys 4 ( K4) is a generally conserved mark for euchromatic, transcriptionally active regions, although the effect of this modification is likely also to depend on its distribution both within the euchromatic region and more specifically within a given gene.	"H3	11	13	Protein"	"[{""token"": ""H3"", ""start_span"": 11, ""end_span"": 13, ""type"": ""Protein""}]"
Here we describe a profile of H3K4 di - methylation that is specific for monoallelically expressed genes.	"H3K4	30	34	Protein"	"[{""token"": ""H3K4"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Protein""}]"
Both X - linked genes subject to X - inactivation and autosomal imprinted genes have di - methylated H3K4 restricted to their promoter regions.	"H3K4	101	105	Protein"	"[{""token"": ""H3K4"", ""start_span"": 101, ""end_span"": 105, ""type"": ""Protein""}]"
In contrast, high levels of H3K4 di - methylation are found in both promoters and exonic parts of autosomal genes and of X - linked genes that escape X - inactivation.	"H3K4	28	32	Protein"	"[{""token"": ""H3K4"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Protein""}]"
We suggest that this pattern of promoter restricted H3 Lys 4 di - methylation, already present in totipotent cells, is causally related to the long - term programming of allelic expression and provides an epigenetic mark for monoallelically expressed genes.	"H3	52	54	Protein"	"[{""token"": ""H3"", ""start_span"": 52, ""end_span"": 54, ""type"": ""Protein""}]"
Inhibition of histone deacetylase increases cytotoxicity to anticancer drugs targeting DNA.	"histone	14	21	Protein"	"[{""token"": ""histone"", ""start_span"": 14, ""end_span"": 21, ""type"": ""Protein""}]"
We thus treated four human cancer cell lines and two normal epithelial cell lines with either trichostatin A ( TSA) or SAHA, two histone deacetylase inhibitors, before exposing the cells to VP - 16, ellipticine, camptothecin, doxorubicin, cisplatin, 5 - fluorouracil, or cyclophosmamide.	"histone	129	136	Protein"	"[{""token"": ""histone"", ""start_span"": 129, ""end_span"": 136, ""type"": ""Protein""}]"
Moreover, pretreatment with TSA also increased VP - 16 - induced apoptosis in a p53 - dependent and - independent manner.	"p53	80	83	Protein"	"[{""token"": ""p53"", ""start_span"": 80, ""end_span"": 83, ""type"": ""Protein""}]"
These data suggest that loosening - up the chromatin structure by histone acetylation can increase the efficiency of several anticancer drugs targeting DNA.	"histone	66	73	Protein"	"[{""token"": ""histone"", ""start_span"": 66, ""end_span"": 73, ""type"": ""Protein""}]"
Role of glycosylation in the organic anion transporter OAT1.	"OAT1	55	59	Protein"	"[{""token"": ""OAT1"", ""start_span"": 55, ""end_span"": 59, ""type"": ""Protein""}]"
This study is the first molecular identification and characterization of glycosylation of OAT1 and may provide important insights into the structure - function relationships of the organic anion transporter family.	"OAT1	90	94	Protein"	"[{""token"": ""OAT1"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Protein""}]"
CYP2C11 was inhibited by specific antibodies for lack of specific chemical inhibitors.	"CYP2C11	0	7	Protein"	"[{""token"": ""CYP2C11"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Protein""}]"
Expression and methylation status of 14 - 3 - 3 sigma gene can characterize the different histological features of ovarian cancer.	"14 - 3 - 3 sigma	37	53	Protein"	"[{""token"": ""14 - 3 - 3 sigma"", ""start_span"": 37, ""end_span"": 53, ""type"": ""Protein""}]"
We hypothesize that 14 - 3 - 3 sigma gene expression and its regulation by methylation can characterize histological types of primary human epithelial ovarian cancer.	"14 - 3 - 3 sigma	20	36	Protein"	"[{""token"": ""14 - 3 - 3 sigma"", ""start_span"": 20, ""end_span"": 36, ""type"": ""Protein""}]"
To test this hypothesis, ovarian cancer cell lines and 54 ovarian cancer tissue samples were analyzed for expression and methylation of 14 - 3 - 3 sigma gene using methylation specific PCR.	"14 - 3 - 3 sigma	136	152	Protein"	"[{""token"": ""14 - 3 - 3 sigma"", ""start_span"": 136, ""end_span"": 152, ""type"": ""Protein""}]"
The results of our experiments demonstrate that 14 - 3 - 3 sigma gene was methylated and inactivated in ES - 2 ovarian cell line, which was derived from clear cell adenocarcinoma.	"14 - 3 - 3 sigma	48	64	Protein"	"[{""token"": ""14 - 3 - 3 sigma"", ""start_span"": 48, ""end_span"": 64, ""type"": ""Protein""}]"
Treatment of this cell line with demethylating agent 5 - aza - 2 ' - deoxycytidine restored the expression of 14 - 3 - 3 sigma gene.	"14 - 3 - 3 sigma	110	126	Protein"	"[{""token"": ""14 - 3 - 3 sigma"", ""start_span"": 110, ""end_span"": 126, ""type"": ""Protein""}]"
In human ovarian cancer tissues, the expression of 14 - 3 - 3 sigma protein was inactivated in most of the ovarian clear cell carcinoma tissues.	"14 - 3 - 3 sigma	51	67	Protein"	"[{""token"": ""14 - 3 - 3 sigma"", ""start_span"": 51, ""end_span"": 67, ""type"": ""Protein""}]"
Interestingly, 14 - 3 - 3 sigma protein expression was positive in significantly higher percentages of serous ( 89. 5%), endometrioid ( 90%), and mucinous ( 81. 8%) ovarian adenocarcinoma tissues.	"14 - 3 - 3 sigma	15	31	Protein"	"[{""token"": ""14 - 3 - 3 sigma"", ""start_span"": 15, ""end_span"": 31, ""type"": ""Protein""}]"
Using direct DNA sequencing, 14 - 3 - 3 sigma gene methylation on all the 17 CpG sites was significantly higher in ovarian clear cell carcinoma as compared to other histological types of ovarian cancer ( serous, endometrioid, and mucinous).	"14 - 3 - 3 sigma	29	45	Protein"	"[{""token"": ""14 - 3 - 3 sigma"", ""start_span"": 29, ""end_span"": 45, ""type"": ""Protein""}]"
This is the first report suggesting that 14 - 3 - 3 sigma gene expression and methylation status can characterize histological features of different types of ovarian cancer.	"14 - 3 - 3 sigma	41	57	Protein"	"[{""token"": ""14 - 3 - 3 sigma"", ""start_span"": 41, ""end_span"": 57, ""type"": ""Protein""}]"
Tracking global patterns of N - linked glycosylation site variation in highly variable viral glycoproteins: HIV, SIV, and HCV envelopes and influenza hemagglutinin.	"hemagglutinin	150	163	Protein"	"[{""token"": ""hemagglutinin"", ""start_span"": 150, ""end_span"": 163, ""type"": ""Protein""}]"
Redox state regulates HIF - 1alpha and its DNA binding and phosphorylation in salmonid cells.	"HIF - 1alpha	22	34	Protein"	"[{""token"": ""HIF - 1alpha"", ""start_span"": 22, ""end_span"": 34, ""type"": ""Protein""}]"
HIF - 1alpha is rapidly degraded by a proteasome under normal oxygen ( 21% O2) conditions, mainly as a result of prolyl hydroxylation needed for protein destabilization.	"HIF - 1alpha	0	12	Protein"	"[{""token"": ""HIF - 1alpha"", ""start_span"": 0, ""end_span"": 12, ""type"": ""Protein""}]"
In the present studies we have investigated if the redox state influences HIF - 1alpha stability, DNA binding and phosphorylation in two established salmonid cell lines RTG - 2 and CHSE - 214.	"HIF - 1alpha	74	86	Protein"	"[{""token"": ""HIF - 1alpha"", ""start_span"": 74, ""end_span"": 86, ""type"": ""Protein""}]"
The results indicate that reducing conditions, achieved using N - propylgallate ( nPG) or N - acetylcysteine ( NAC), stabilize HIF - 1alpha, facilitate its DNA binding, and increase its phosphorylation even under normal oxygen conditions.	"HIF - 1alpha	127	139	Protein"	"[{""token"": ""HIF - 1alpha"", ""start_span"": 127, ""end_span"": 139, ""type"": ""Protein""}]"
On the basis of these results, we suggest that redox state influences the accessibility of the conserved prolyl residues to oxygen - dependent hydroxylation and the accessibility of the residues involved in the phosphorylation of HIF - 1alpha.	"HIF - 1alpha	230	242	Protein"	"[{""token"": ""HIF - 1alpha"", ""start_span"": 230, ""end_span"": 242, ""type"": ""Protein""}]"
Levels of the HIF - 1alpha subunit increase under hypoxic conditions.	"HIF - 1alpha	14	26	Protein"	"[{""token"": ""HIF - 1alpha"", ""start_span"": 14, ""end_span"": 26, ""type"": ""Protein""}]"
Exposure of cells to growth factors, prostaglandin, and certain nitric oxide donors also induces HIF - 1alpha expression under non - hypoxic conditions.	"HIF - 1alpha	97	109	Protein"	"[{""token"": ""HIF - 1alpha"", ""start_span"": 97, ""end_span"": 109, ""type"": ""Protein""}]"
Muscarinic signal - induced HIF - 1alpha protein and HIF - 1 - dependent gene expression were blocked by treating cells with inhibitors of phosphatidylinositol 3 - kinase, MAP kinase kinase, or tyrosine kinase signaling pathways.	"HIF - 1alpha	28	40	Protein"	"[{""token"": ""HIF - 1alpha"", ""start_span"": 28, ""end_span"": 40, ""type"": ""Protein""}]"
Dominant - negative forms of Ras and / or Rac - 1 significantly suppressed HIF - 1 activation by muscarinic signaling.	"Rac - 1	42	49	Protein"	"[{""token"": ""Rac - 1"", ""start_span"": 42, ""end_span"": 49, ""type"": ""Protein""}]"
Protein C inhibitor as an anti - disseminated intravascular coagulation agent - - mechanism and modification.	"Protein C inhibitor	0	19	Protein"	"[{""token"": ""Protein C inhibitor"", ""start_span"": 0, ""end_span"": 19, ""type"": ""Protein""}]"
G - actin was measured by a DNase I inhibition assay in cell lysates.	"DNase I	28	35	Protein"	"[{""token"": ""DNase I"", ""start_span"": 28, ""end_span"": 35, ""type"": ""Protein""}]"
We report here that the two leucines in the Leu - Glu - Met - Leu - Ala - Pro core motif of a 20 - residue peptide corresponding to the sequence around Pro ( 564) in HIF - 1alpha can be replaced by many residues with no or only a modest decrease in its substrate properties or in some cases even a slight increase.	"HIF - 1alpha	166	178	Protein"	"[{""token"": ""HIF - 1alpha"", ""start_span"": 166, ""end_span"": 178, ""type"": ""Protein""}]"
The glutamate and methionine could be substituted by almost any residue, eight amino acids in the former position and four in the latter being even better for HIF - P4H - 3 than the wild - type residues.	"HIF - P4H - 3	159	172	Protein"	"[{""token"": ""HIF - P4H - 3"", ""start_span"": 159, ""end_span"": 172, ""type"": ""Protein""}]"
The data obtained for the three HIF - P4Hs in various experiments were in most cases similar, but in some cases HIF - P4H - 3 showed distinctly different properties.	"HIF - P4H - 3	112	125	Protein"	"[{""token"": ""HIF - P4H - 3"", ""start_span"": 112, ""end_span"": 125, ""type"": ""Protein""}]"
Flying Saucers is likely to be an epiallele because the DNA methylation in the DFR - B promoter appeared to be associated with flower pigmentation.	"DFR - B	79	86	Protein"	"[{""token"": ""DFR - B"", ""start_span"": 79, ""end_span"": 86, ""type"": ""Protein""}]"
4 - Hydroxyproline is found in collagens, collagen - like proteins, elastin, and the hypoxia - inducible transcription factor in animals and in many hydroxyproline - rich glycoproteins in plants.	"elastin	68	75	Protein"	"[{""token"": ""elastin"", ""start_span"": 68, ""end_span"": 75, ""type"": ""Protein""}]"
We report here on the cloning and characterization of a second plant P4H ( prolyl 4 - hydroxylase), At - P4H - 2, from Arabidopsis thaliana.	"P4H - 2	105	112	Protein"	"[{""token"": ""P4H - 2"", ""start_span"": 105, ""end_span"": 112, ""type"": ""Protein""}]"
It consists of 299 amino acids and shows 33% sequence identity to the first characterized isoenzyme, At - P4H - 1.	"P4H - 1	106	113	Protein"	"[{""token"": ""P4H - 1"", ""start_span"": 106, ""end_span"": 113, ""type"": ""Protein""}]"
All the peptides efficiently hydroxylated by At - P4H - 2 had at least 3 consecutive prolines, suggesting that these may represent a minimum requirement for efficient hydroxylation by this isoenzyme.	"P4H - 2	50	57	Protein"	"[{""token"": ""P4H - 2"", ""start_span"": 50, ""end_span"": 57, ""type"": ""Protein""}]"
N - terminal sequencing of an extensin - like peptide SPPPVYKSPPPPVKHYSPPPV indicated that At - P4H - 2 preferentially hydroxylated the 3rd proline in the C - terminal PPP triplet.	"P4H - 2	96	103	Protein"	"[{""token"": ""P4H - 2"", ""start_span"": 96, ""end_span"": 103, ""type"": ""Protein""}]"
Pyridine - 2, 4 - dicarboxylate and pyridine - 2, 5 - dicarboxylate, well known competitive inhibitors of the vertebrate P4Hs with respect to 2 - oxoglutarate, were also competitive inhibitors of At - P4H - 2 but with Ki values 5 - 100 - fold higher than those of human type I collagen P4H.	"P4H - 2	201	208	Protein"	"[{""token"": ""P4H - 2"", ""start_span"": 201, ""end_span"": 208, ""type"": ""Protein""}]"
It thus seems that there are some distinct differences in the structure of the 2 - oxoglutarate - binding site between At - P4H - 2 and the animal collagen P4Hs.	"P4H - 2	124	131	Protein"	"[{""token"": ""P4H - 2"", ""start_span"": 124, ""end_span"": 131, ""type"": ""Protein""}]"
PKA activation did not significantly alter AR protein levels but significantly increased the phosphorylated form of its downstream effector, cAMP responsive element - binding protein ( CREB) in the presence of androgen.	"AR	43	45	Protein"	"[{""token"": ""AR"", ""start_span"": 43, ""end_span"": 45, ""type"": ""Protein""}]"
These results demonstrate an intriguing interplay between a signal transduction pathway, coactivator overexpression and AR signaling as a possible combined mechanism of progression to androgen - independent prostate cancer.	"AR	120	122	Protein"	"[{""token"": ""AR"", ""start_span"": 120, ""end_span"": 122, ""type"": ""Protein""}]"
Oxidative stress is involved in inhibition of copper on histone acetylation in cells.	"histone	56	63	Protein"	"[{""token"": ""histone"", ""start_span"": 56, ""end_span"": 63, ""type"": ""Protein""}]"
However, it lacks direct evidences whether copper - inhibited histone acetylation right contributes to the toxicity of copper.	"histone	62	69	Protein"	"[{""token"": ""histone"", ""start_span"": 62, ""end_span"": 69, ""type"": ""Protein""}]"
Exposure of human leukemia cells ( HL - 60) to Cu2 + resulted in cell proliferation arrest and a concentration - and time - dependent decrease of histone acetylation.	"histone	146	153	Protein"	"[{""token"": ""histone"", ""start_span"": 146, ""end_span"": 153, ""type"": ""Protein""}]"
Considering the important role of histone acetylation in gene transcription and regulation of cell fate, the present study may open a new door to further understand the mechanism of Cu2 + - induced toxicity.	"histone	34	41	Protein"	"[{""token"": ""histone"", ""start_span"": 34, ""end_span"": 41, ""type"": ""Protein""}]"
DNA methylation - related chromatin modification in the regulation of mouse delta - opioid receptor gene.	"delta - opioid receptor	76	99	Protein"	"[{""token"": ""delta - opioid receptor"", ""start_span"": 76, ""end_span"": 99, ""type"": ""Protein""}]"
In emulsions containing hydroxylated lecithin, the increase in total adsorbed protein during heat treatment was much lower and the unadsorbed beta - lg did not appear to interact with the adsorbed proteins during heating.	"beta - lg	142	151	Protein"	"[{""token"": ""beta - lg"", ""start_span"": 142, ""end_span"": 151, ""type"": ""Protein""}]"
However, the behavior of alpha - la during heat treatment of these emulsions was similar to that observed in the emulsions containing no hydroxylated lecithin.	"alpha - la	25	35	Protein"	"[{""token"": ""alpha - la"", ""start_span"": 25, ""end_span"": 35, ""type"": ""Protein""}]"
Dynamic lysine methylation on histone H3 defines the regulatory phase of gene transcription.	"histone H3	30	40	Protein"	"[{""token"": ""histone H3"", ""start_span"": 30, ""end_span"": 40, ""type"": ""Protein""}]"
Covalent modifications to histones are key epigenetic marks that control gene transcription.	"histones	26	34	Protein"	"[{""token"": ""histones"", ""start_span"": 26, ""end_span"": 34, ""type"": ""Protein""}]"
Multiple lysine residues on histone H3 are methylated ( me), but their functions are unclear.	"histone H3	28	38	Protein"	"[{""token"": ""histone H3"", ""start_span"": 28, ""end_span"": 38, ""type"": ""Protein""}]"
The Isw1 ATPase delays the release of initiated RNA polymerase II ( RNAPII) into elongation to facilitate chromatin modifications.	"Isw1	4	8	Protein"	"[{""token"": ""Isw1"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Protein""}]"
This releases RNAPII from Isw1 control and promotes controlled transcription elongation and termination.	"Isw1	26	30	Protein"	"[{""token"": ""Isw1"", ""start_span"": 26, ""end_span"": 30, ""type"": ""Protein""}]"
Prolyl hydroxylation generates a binding site for a ubiquitin ligase complex containing the von Hippel - Lindau ( VHL) tumor suppressor protein, which results in HIFalpha destruction.	"ubiquitin	52	61	Protein"	"[{""token"": ""ubiquitin"", ""start_span"": 52, ""end_span"": 61, ""type"": ""Protein""}]"
We now show that the HAT activity of p300 can also be required for down - regulation of transcription by a DNA binding repressor protein.	"p300	37	41	Protein"	"[{""token"": ""p300"", ""start_span"": 37, ""end_span"": 41, ""type"": ""Protein""}]"
This is due to the fact that acetylation of PLZF activates its ability to bind specific DNA sequences both in vitro and in vivo.	"PLZF	44	48	Protein"	"[{""token"": ""PLZF"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Protein""}]"
Taken together, our results indicate that a histone deacetylase - dependent transcriptional repressor can be positively regulated through acetylation and point to an unexpected role of a coactivator protein in transcriptional repression.	"histone	44	51	Protein"	"[{""token"": ""histone"", ""start_span"": 44, ""end_span"": 51, ""type"": ""Protein""}]"
Coordinate regulation of the oxygen - dependent degradation domains of hypoxia - inducible factor 1 alpha.	"hypoxia - inducible factor 1 alpha	71	105	Protein"	"[{""token"": ""hypoxia - inducible factor 1 alpha"", ""start_span"": 71, ""end_span"": 105, ""type"": ""Protein""}]"
To determine whether the more rapid hydroxylation of the proline 564 under conditions of normoxia is due to a preference for the particular sequence surrounding proline 564 or for that site within the protein, we exchanged the degradation domains within the full - length HIF - 1alpha protein.	"HIF - 1alpha	272	284	Protein"	"[{""token"": ""HIF - 1alpha"", ""start_span"": 272, ""end_span"": 284, ""type"": ""Protein""}]"
These results indicate that hydroxylation of proline 402 is highly responsive to physiologic changes in oxygen and, therefore, plays a more important role in HIF - 1alpha regulation under conditions of hypoxia than under conditions of normoxia.	"HIF - 1alpha	158	170	Protein"	"[{""token"": ""HIF - 1alpha"", ""start_span"": 158, ""end_span"": 170, ""type"": ""Protein""}]"
Dimethylation of histone H3 at lysine 36 demarcates regulatory and nonregulatory chromatin genome - wide.	"histone H3	17	27	Protein"	"[{""token"": ""histone H3"", ""start_span"": 17, ""end_span"": 27, ""type"": ""Protein""}]"
This provides evidence that H3K36me2 is established during the initial instances of gene transcription, with subsequent transcription having at most a maintenance role.	"H3K36me2	28	36	Protein"	"[{""token"": ""H3K36me2"", ""start_span"": 28, ""end_span"": 36, ""type"": ""Protein""}]"
Accordingly, newly activated genes acquire H3K36me2 in a manner that does not correlate with gene transcript levels.	"H3K36me2	43	51	Protein"	"[{""token"": ""H3K36me2"", ""start_span"": 43, ""end_span"": 51, ""type"": ""Protein""}]"
Finally, nucleosomes dimethylated at H3K36 appear to be refractory to loss from highly transcribed chromatin.	"H3K36	37	42	Protein"	"[{""token"": ""H3K36"", ""start_span"": 37, ""end_span"": 42, ""type"": ""Protein""}]"
Thus, H3K36me2, which is highly conserved throughout eukaryotic evolution, provides a stable molecular mechanism for establishing chromatin context throughout the genome by distinguishing potential regulatory regions from transcribed chromatin.	"H3K36me2	6	14	Protein"	"[{""token"": ""H3K36me2"", ""start_span"": 6, ""end_span"": 14, ""type"": ""Protein""}]"
The possible pathways would start either at Trp164 or His232 of isoenzyme VPL, and at His82 or Trp170 of isoenzyme VPS1.	"VPS1	115	119	Protein"	"[{""token"": ""VPS1"", ""start_span"": 115, ""end_span"": 119, ""type"": ""Protein""}]"
In contrast, promoter hypermethylation of RASSF1A was detected in 100% of primary MBs, 67% ( 6 / 9) of primary SPNETs, and all PNET cell lines.	"RASSF1A	42	49	Protein"	"[{""token"": ""RASSF1A"", ""start_span"": 42, ""end_span"": 49, ""type"": ""Protein""}]"
The frequency of promoter hypermethylation of RASSF1A was significantly lower in SPNETs than in MBs ( Fisher exact test, P =. 014).	"RASSF1A	46	53	Protein"	"[{""token"": ""RASSF1A"", ""start_span"": 46, ""end_span"": 53, ""type"": ""Protein""}]"
Macroprolactin ( s): composition and reactivity in immunoassays and laboratory interpretation of results of an unusual patient serum.	"Macroprolactin	0	14	Protein"	"[{""token"": ""Macroprolactin"", ""start_span"": 0, ""end_span"": 14, ""type"": ""Protein""}]"
The composition of macroprolactin and its reactivity in immunoassays are variable but the complex has minimal bioactivity in vivo.	"macroprolactin	19	33	Protein"	"[{""token"": ""macroprolactin"", ""start_span"": 19, ""end_span"": 33, ""type"": ""Protein""}]"
METHODS: Serum from a patient with an unusual pattern of immunoreactivity was distributed to three users of each of the most popular immunoassays represented in the UK National External Quality Assessment Scheme ( NEQAS) for prolactin.	"prolactin	225	234	Protein"	"[{""token"": ""prolactin"", ""start_span"": 225, ""end_span"": 234, ""type"": ""Protein""}]"
Clinical details were provided and participating centres were invited to investigate the prolactin content of the specimen according to their local protocol, and to comment on their results.	"prolactin	89	98	Protein"	"[{""token"": ""prolactin"", ""start_span"": 89, ""end_span"": 98, ""type"": ""Protein""}]"
RESULTS: Gel filtration studies revealed two peaks of macroprolactin in this serum.	"macroprolactin	54	68	Protein"	"[{""token"": ""macroprolactin"", ""start_span"": 54, ""end_span"": 68, ""type"": ""Protein""}]"
These macroprolactins were shown to be different in their IgG content and degree of glycosylation.	"macroprolactins	6	21	Protein"	"[{""token"": ""macroprolactins"", ""start_span"": 6, ""end_span"": 21, ""type"": ""Protein""}]"
All eight immunoassays reacted strongly with the macroprolactin present.	"macroprolactin	49	63	Protein"	"[{""token"": ""macroprolactin"", ""start_span"": 49, ""end_span"": 63, ""type"": ""Protein""}]"
The majority ( 78%) of centres that interpreted their results either demonstrated the presence of macroprolactin in the specimen, or suggested it as a likely cause of the hyperprolactinaemia.	"macroprolactin	98	112	Protein"	"[{""token"": ""macroprolactin"", ""start_span"": 98, ""end_span"": 112, ""type"": ""Protein""}]"
However, two centres inappropriately excluded macroprolactinaemia as the cause of the elevated prolactin, and a further two did not consider it at all.	"prolactin	51	60	Protein"	"[{""token"": ""prolactin"", ""start_span"": 51, ""end_span"": 60, ""type"": ""Protein""}]"
CONCLUSIONS: Very high molecular mass forms of prolactin and the presence of multiple molecular mass forms, as detected in the case presented here, are uncommon.	"prolactin	47	56	Protein"	"[{""token"": ""prolactin"", ""start_span"": 47, ""end_span"": 56, ""type"": ""Protein""}]"
Also, the pattern of immunoreactivity reported in this specimen was unusual as most macroprolactins studied previously react less strongly in, for example, the Bayer ADVIA Centaur assay compared to the Roche E170 assay.	"macroprolactins	84	99	Protein"	"[{""token"": ""macroprolactins"", ""start_span"": 84, ""end_span"": 99, ""type"": ""Protein""}]"
Both peaks of macroprolactin in this serum reacted in all assays tested.	"macroprolactin	14	28	Protein"	"[{""token"": ""macroprolactin"", ""start_span"": 14, ""end_span"": 28, ""type"": ""Protein""}]"
This case highlights the variable nature and immunoreactive behaviour of macroprolactin species.	"macroprolactin	73	87	Protein"	"[{""token"": ""macroprolactin"", ""start_span"": 73, ""end_span"": 87, ""type"": ""Protein""}]"
Sodium butyrate ameliorates histone hypoacetylation and neurodegenerative phenotypes in a mouse model for DRPLA.	"histone	28	35	Protein"	"[{""token"": ""histone"", ""start_span"": 28, ""end_span"": 35, ""type"": ""Protein""}]"
Dentatorubral - pallidoluysian atrophy ( DRPLA) is a progressive neurodegenerative disease caused by polyglutamine expansion within the Atrophin - 1 protein.	"Atrophin - 1	136	148	Protein"	"[{""token"": ""Atrophin - 1"", ""start_span"": 136, ""end_span"": 148, ""type"": ""Protein""}]"
To study the mechanism of this disease and to test potential therapeutic methods, we established Atro - 118Q transgenic mice, which express in neurons a mutant human Atrophin - 1 protein that contains an expanded stretch of 118 glutamines.	"Atrophin - 1	166	178	Protein"	"[{""token"": ""Atrophin - 1"", ""start_span"": 166, ""end_span"": 178, ""type"": ""Protein""}]"
