Sentence	entity_1	entity_2	entity_3	entity_4	json	split
Stock concentrations of fluorene, naphthalene, and benzo [] pyrene in acetone was hand mixed into 350 g batches of sand from St. George or Orange beach for 1 min to achieve final concentrations of 100 g g1 naphthalene, 120 g g1 fluorene, and 20 g g1 benzo [] pyrene in the columns.	fluorene,24,32,state	naphthalene,34,45,state	naphthalene,206,217,state	fluorene,228,236,state	"[{""token"": ""fluorene"", ""start_span"": 24, ""end_span"": 32, ""type"": ""state""}, {""token"": ""naphthalene"", ""start_span"": 34, ""end_span"": 45, ""type"": ""state""}, {""token"": ""naphthalene"", ""start_span"": 206, ""end_span"": 217, ""type"": ""state""}, {""token"": ""fluorene"", ""start_span"": 228, ""end_span"": 236, ""type"": ""state""}]"	train
For warmed plants, all leaf gas exchange measurements were conducted under the prevailing microclimatic conditions within the OTCs ( i. e., elevated temperature and vapor pressure deficit relative to ambient).	warmed,4,10,state	leaf gas exchange,23,40,state	elevated temperature,140,160,state	vapor pressure deficit,165,187,state	"[{""token"": ""warmed"", ""start_span"": 4, ""end_span"": 10, ""type"": ""state""}, {""token"": ""leaf gas exchange"", ""start_span"": 23, ""end_span"": 40, ""type"": ""state""}, {""token"": ""elevated temperature"", ""start_span"": 140, ""end_span"": 160, ""type"": ""state""}, {""token"": ""vapor pressure deficit"", ""start_span"": 165, ""end_span"": 187, ""type"": ""state""}]"	train
Conclusions These results provide evidence for the potential of mixed - culture syngas fermentation, since the CO - enriched mixed culture showed high functional redundancy, was resilient to changes in syngas composition, and was capable of producing acetate or ethanol as main products of CO metabolism.	syngas fermentation,80,99,state	CO - enriched,111,124,state	syngas composition,202,220,state	acetate,251,258,state	"[{""token"": ""syngas fermentation"", ""start_span"": 80, ""end_span"": 99, ""type"": ""state""}, {""token"": ""CO - enriched"", ""start_span"": 111, ""end_span"": 124, ""type"": ""state""}, {""token"": ""syngas composition"", ""start_span"": 202, ""end_span"": 220, ""type"": ""state""}, {""token"": ""acetate"", ""start_span"": 251, ""end_span"": 258, ""type"": ""state""}]"	train
Children ages 10 to 18years old with CF confirmed by genotype analysis were recruited from the CF program at Johns Hopkins University School of Medicine.	Children,0,8,state	10 to 18years old,14,31,state	CF,37,39,state	CF,95,97,state	"[{""token"": ""Children"", ""start_span"": 0, ""end_span"": 8, ""type"": ""state""}, {""token"": ""10 to 18years old"", ""start_span"": 14, ""end_span"": 31, ""type"": ""state""}, {""token"": ""CF"", ""start_span"": 37, ""end_span"": 39, ""type"": ""state""}, {""token"": ""CF"", ""start_span"": 95, ""end_span"": 97, ""type"": ""state""}]"	train
The water column is generally oxic, oxygen penetration depth in the sediment is low ( 15 mm; Rasmussen and Jrgensen, 1992), and bioturbation is visible from sediment color and faunal tracks in the top 3 cm.	oxic,30,34,state	oxygen penetration depth in the sediment is low ( 15 mm,36,91,state	bioturbation,128,140,state	faunal tracks in the top 3 cm,176,205,state	"[{""token"": ""oxic"", ""start_span"": 30, ""end_span"": 34, ""type"": ""state""}, {""token"": ""oxygen penetration depth in the sediment is low ( 15 mm"", ""start_span"": 36, ""end_span"": 91, ""type"": ""state""}, {""token"": ""bioturbation"", ""start_span"": 128, ""end_span"": 140, ""type"": ""state""}, {""token"": ""faunal tracks in the top 3 cm"", ""start_span"": 176, ""end_span"": 205, ""type"": ""state""}]"	train
We subsequently demonstrate the effectiveness of our approach to survey eukaryotic microbiota in a study of stool samples from 46 Malawian children hospitalized for Severe Acute Malnutrition ( SAM) [ 26, 27], a cohort with a high expected prevalence of intestinal parasites.	Malawian,130,138,state	children,139,147,state	hospitalized,148,160,state	high expected prevalence of intestinal parasites,225,273,state	"[{""token"": ""Malawian"", ""start_span"": 130, ""end_span"": 138, ""type"": ""state""}, {""token"": ""children"", ""start_span"": 139, ""end_span"": 147, ""type"": ""state""}, {""token"": ""hospitalized"", ""start_span"": 148, ""end_span"": 160, ""type"": ""state""}, {""token"": ""high expected prevalence of intestinal parasites"", ""start_span"": 225, ""end_span"": 273, ""type"": ""state""}]"	train
The contents of Mg2 +, K +, and Na + ( in 1M NH4acetate pH 7) were analyzed using an ICPAES ( GDC Integra XMP).	Mg2 +,16,21,state	K +,23,26,state	Na +,32,36,state	pH,56,58,state	"[{""token"": ""Mg2 +"", ""start_span"": 16, ""end_span"": 21, ""type"": ""state""}, {""token"": ""K +"", ""start_span"": 23, ""end_span"": 26, ""type"": ""state""}, {""token"": ""Na +"", ""start_span"": 32, ""end_span"": 36, ""type"": ""state""}, {""token"": ""pH"", ""start_span"": 56, ""end_span"": 58, ""type"": ""state""}]"	train
The pond was shallow ( 30 - 35 cm deep) yet stratified, with an oxic upper water layer of 15 - 20 cm above the anoxic, S - rich ( data not shown) layer.	shallow,13,20,state	stratified,44,54,state	oxic,64,68,state	S - rich,119,127,state	"[{""token"": ""shallow"", ""start_span"": 13, ""end_span"": 20, ""type"": ""state""}, {""token"": ""stratified"", ""start_span"": 44, ""end_span"": 54, ""type"": ""state""}, {""token"": ""oxic"", ""start_span"": 64, ""end_span"": 68, ""type"": ""state""}, {""token"": ""S - rich"", ""start_span"": 119, ""end_span"": 127, ""type"": ""state""}]"	train
Methods Animal Subjects C57BL / 6J nursing mothers with three week old female pups were purchased from the Jackson Laboratory ( Bar Harbor, ME).	C57BL / 6J,24,34,state	three week old,56,70,state	female,71,77,state	pups,78,82,state	"[{""token"": ""C57BL / 6J"", ""start_span"": 24, ""end_span"": 34, ""type"": ""state""}, {""token"": ""three week old"", ""start_span"": 56, ""end_span"": 70, ""type"": ""state""}, {""token"": ""female"", ""start_span"": 71, ""end_span"": 77, ""type"": ""state""}, {""token"": ""pups"", ""start_span"": 78, ""end_span"": 82, ""type"": ""state""}]"	train
Two full - scale systems, which treat sour gas from the anaerobic digestion of the wastewater from the paper pulp industry were sampled.	full - scale,4,16,state	sour gas,38,46,state	anaerobic digestion,56,75,state	paper pulp industry,103,122,state	"[{""token"": ""full - scale"", ""start_span"": 4, ""end_span"": 16, ""type"": ""state""}, {""token"": ""sour gas"", ""start_span"": 38, ""end_span"": 46, ""type"": ""state""}, {""token"": ""anaerobic digestion"", ""start_span"": 56, ""end_span"": 75, ""type"": ""state""}, {""token"": ""paper pulp industry"", ""start_span"": 103, ""end_span"": 122, ""type"": ""state""}]"	train
The inoculum for Alk - Opt consisted of 1. 5 L of alkaline sludge obtained from a second alkaline reactor ( Alk - Sed - 2) which was inoculated with a second batch of fresh sediments obtained from the same soda lakes in 2012 and used within 6 months of the sampling date and had been operating for over 190 days with constant biogas production.	alkaline,50,58,state	alkaline,89,97,state	fresh,167,172,state	constant biogas production,317,343,state	"[{""token"": ""alkaline"", ""start_span"": 50, ""end_span"": 58, ""type"": ""state""}, {""token"": ""alkaline"", ""start_span"": 89, ""end_span"": 97, ""type"": ""state""}, {""token"": ""fresh"", ""start_span"": 167, ""end_span"": 172, ""type"": ""state""}, {""token"": ""constant biogas production"", ""start_span"": 317, ""end_span"": 343, ""type"": ""state""}]"	train
Synthesis: Our findings highlight the vulnerability of both native plants and their symbiotic mycorrhizal fungi to climate warming and drying in semiarid shrublands, and point to the importance of a deeper understanding of plant - soil feedbacks to predict dryland vegetation responses to forecasted aridification.	climate warming,115,130,state	drying,135,141,state	dryland vegetation,257,275,state	forecasted aridification,289,313,state	"[{""token"": ""climate warming"", ""start_span"": 115, ""end_span"": 130, ""type"": ""state""}, {""token"": ""drying"", ""start_span"": 135, ""end_span"": 141, ""type"": ""state""}, {""token"": ""dryland vegetation"", ""start_span"": 257, ""end_span"": 275, ""type"": ""state""}, {""token"": ""forecasted aridification"", ""start_span"": 289, ""end_span"": 313, ""type"": ""state""}]"	train
Age - matched male WT ( 129 / SvlmJ or C57BL / 6J) mice were used for fecal microbiota transplant by initial microbiota removal using an antibiotic cocktail for 3 weeks.	male,14,18,state	WT,19,21,state	129 / SvlmJ,24,35,state	C57BL / 6J,39,49,state	"[{""token"": ""male"", ""start_span"": 14, ""end_span"": 18, ""type"": ""state""}, {""token"": ""WT"", ""start_span"": 19, ""end_span"": 21, ""type"": ""state""}, {""token"": ""129 / SvlmJ"", ""start_span"": 24, ""end_span"": 35, ""type"": ""state""}, {""token"": ""C57BL / 6J"", ""start_span"": 39, ""end_span"": 49, ""type"": ""state""}]"	train
From the area of Nijmegen, children younger than 2years of age with laboratory - confirmed RSV infections were prospectively included during three consecutive winter seasons ( 2010 / 2011, 2011 / 2012, and 2012 / 2013), if they were hospitalized to the pediatric ward or intensive care unit ( PICU) [ 46].	children,27,35,state	younger than 2years of age,36,62,state	laboratory - confirmed RSV infections,68,105,state	hospitalized,233,245,state	"[{""token"": ""children"", ""start_span"": 27, ""end_span"": 35, ""type"": ""state""}, {""token"": ""younger than 2years of age"", ""start_span"": 36, ""end_span"": 62, ""type"": ""state""}, {""token"": ""laboratory - confirmed RSV infections"", ""start_span"": 68, ""end_span"": 105, ""type"": ""state""}, {""token"": ""hospitalized"", ""start_span"": 233, ""end_span"": 245, ""type"": ""state""}]"	train
Methods Animals and ethics statement All RMs ( Macaca mulatta) in this study were mature and of Indian origin consisting of both male and female animals ranging in age from 2 to 7 years, and were housed at the National Institutes of Health ( NIH) in accordance with the Association for the Assessment and Accreditation of Laboratory Animal Care standards and all procedures were performed according to the protocols approved by the Institutional Animal Care and Use Committee of the National Cancer Institute ( Assurance # A4149 - 01) as previously reported50.	mature,82,88,state	Indian origin,96,109,state	male,129,133,state	age from 2 to 7 years,164,185,state	"[{""token"": ""mature"", ""start_span"": 82, ""end_span"": 88, ""type"": ""state""}, {""token"": ""Indian origin"", ""start_span"": 96, ""end_span"": 109, ""type"": ""state""}, {""token"": ""male"", ""start_span"": 129, ""end_span"": 133, ""type"": ""state""}, {""token"": ""age from 2 to 7 years"", ""start_span"": 164, ""end_span"": 185, ""type"": ""state""}]"	train
The rates of organic carbon mineralization rates from SRR were calculated with a 1: 2 stoichiometry between SRR and organic C oxidation ( Flury et al., 2016).	organic carbon mineralization,13,42,state	SRR,54,57,state	SRR,108,111,state	organic C,116,125,state	"[{""token"": ""organic carbon mineralization"", ""start_span"": 13, ""end_span"": 42, ""type"": ""state""}, {""token"": ""SRR"", ""start_span"": 54, ""end_span"": 57, ""type"": ""state""}, {""token"": ""SRR"", ""start_span"": 108, ""end_span"": 111, ""type"": ""state""}, {""token"": ""organic C"", ""start_span"": 116, ""end_span"": 125, ""type"": ""state""}]"	train
We note that Hmong refugee camps have long been closed ( Bureau of Population, Refugees and Migration, 2004), hence Hmong in Khun Chang Khian are not refugees but serve as acceptable pre - immigration representatives available for US - based Hmong.	Hmong,13,18,state	refugee,19,26,state	Hmong,116,121,state	Hmong,242,247,state	"[{""token"": ""Hmong"", ""start_span"": 13, ""end_span"": 18, ""type"": ""state""}, {""token"": ""refugee"", ""start_span"": 19, ""end_span"": 26, ""type"": ""state""}, {""token"": ""Hmong"", ""start_span"": 116, ""end_span"": 121, ""type"": ""state""}, {""token"": ""Hmong"", ""start_span"": 242, ""end_span"": 247, ""type"": ""state""}]"	train
This paper describes a gas biodesulfurization process where sulfur - oxidizing bacteria ( SOB) facilitate sulfide conversion to both sulfur and sulfate.	sulfur,32,38,state	sulfide,106,113,state	sulfur,133,139,state	sulfate,144,151,state	"[{""token"": ""sulfur"", ""start_span"": 32, ""end_span"": 38, ""type"": ""state""}, {""token"": ""sulfide"", ""start_span"": 106, ""end_span"": 113, ""type"": ""state""}, {""token"": ""sulfur"", ""start_span"": 133, ""end_span"": 139, ""type"": ""state""}, {""token"": ""sulfate"", ""start_span"": 144, ""end_span"": 151, ""type"": ""state""}]"	train
One reactor was operated under thermophilic conditions ( 50C) and one under mesophilic conditions ( 35C).	thermophilic conditions,31,54,state	50C,57,60,state	mesophilic conditions,76,97,state	35C,100,103,state	"[{""token"": ""thermophilic conditions"", ""start_span"": 31, ""end_span"": 54, ""type"": ""state""}, {""token"": ""50C"", ""start_span"": 57, ""end_span"": 60, ""type"": ""state""}, {""token"": ""mesophilic conditions"", ""start_span"": 76, ""end_span"": 97, ""type"": ""state""}, {""token"": ""35C"", ""start_span"": 100, ""end_span"": 103, ""type"": ""state""}]"	train
Measurements of oxygen concentration, temperature, salinity, and chlorophyll a were recorded for each sampling effort using a Conductivity Temperature Depth profiler ( Sea - Bird SBE 911plus, Sea - Bird Electronics Inc., Bellevue, WA, USA) along with a Seapoint fluorometer ( Seapoint Sensors Inc., Exeter, NH, USA) and a SBE43 dissolved oxygen sensor ( Sea - Bird Electronics Inc.) ( Data S5).	oxygen concentration,16,36,state	temperature,38,49,state	salinity,51,59,state	chlorophyll a,65,78,state	"[{""token"": ""oxygen concentration"", ""start_span"": 16, ""end_span"": 36, ""type"": ""state""}, {""token"": ""temperature"", ""start_span"": 38, ""end_span"": 49, ""type"": ""state""}, {""token"": ""salinity"", ""start_span"": 51, ""end_span"": 59, ""type"": ""state""}, {""token"": ""chlorophyll a"", ""start_span"": 65, ""end_span"": 78, ""type"": ""state""}]"	train
Animals and gut luminal sample collection A total of 226 normal weaning ( 28 - day - old) female DLY pigs were raised in a fattening house comprised of 30 pens, each housing 68 pigs.	normal,57,63,state	weaning,64,71,state	28 - day - old,74,88,state	female,90,96,state	"[{""token"": ""normal"", ""start_span"": 57, ""end_span"": 63, ""type"": ""state""}, {""token"": ""weaning"", ""start_span"": 64, ""end_span"": 71, ""type"": ""state""}, {""token"": ""28 - day - old"", ""start_span"": 74, ""end_span"": 88, ""type"": ""state""}, {""token"": ""female"", ""start_span"": 90, ""end_span"": 96, ""type"": ""state""}]"	train
Ketogenic diet enhances neurovascular function with altered gut microbiome in young healthy mice Neurovascular integrity, including cerebral blood flow ( CBF) and blood - brain barrier ( BBB) function, plays a major role in determining cognitive capability.	young,78,83,state	healthy,84,91,state	Neurovascular integrity,97,120,state	cognitive capability,236,256,state	"[{""token"": ""young"", ""start_span"": 78, ""end_span"": 83, ""type"": ""state""}, {""token"": ""healthy"", ""start_span"": 84, ""end_span"": 91, ""type"": ""state""}, {""token"": ""Neurovascular integrity"", ""start_span"": 97, ""end_span"": 120, ""type"": ""state""}, {""token"": ""cognitive capability"", ""start_span"": 236, ""end_span"": 256, ""type"": ""state""}]"	train
Methods Study participants and samples handling and collection We recruited 40 subjects with clinical diagnosis of autism ( average age 11. 16. 8; sex, male: female, 31: 9) and we compared them with 40 age and sex - matched neurotypical healthy subjects ( average age 9. 27. 9; sex, male: female, 28: 12).	autism,115,121,state	male,152,156,state	neurotypical healthy,224,244,state	male,283,287,state	"[{""token"": ""autism"", ""start_span"": 115, ""end_span"": 121, ""type"": ""state""}, {""token"": ""male"", ""start_span"": 152, ""end_span"": 156, ""type"": ""state""}, {""token"": ""neurotypical healthy"", ""start_span"": 224, ""end_span"": 244, ""type"": ""state""}, {""token"": ""male"", ""start_span"": 283, ""end_span"": 287, ""type"": ""state""}]"	train
Modeling of the experimental setup Software simulations of the single and two - stage reactors were carried out using the complex anaerobic digestion simulation suite ( BioModel) developed by Angelidaki and co - workers [ 33, 34], which was later extended to account for biogas upgrading experiments with hydrogen injection [ 35].	single,63,69,state	two - stage,74,85,state	complex anaerobic digestion,122,149,state	biogas,271,277,state	"[{""token"": ""single"", ""start_span"": 63, ""end_span"": 69, ""type"": ""state""}, {""token"": ""two - stage"", ""start_span"": 74, ""end_span"": 85, ""type"": ""state""}, {""token"": ""complex anaerobic digestion"", ""start_span"": 122, ""end_span"": 149, ""type"": ""state""}, {""token"": ""biogas"", ""start_span"": 271, ""end_span"": 277, ""type"": ""state""}]"	train
As CF twins are rare, our CF pediatric samples were collected at seven different regional CF centers from Texas to New York.	CF,3,5,state	twins,6,11,state	CF pediatric,26,38,state	CF,90,92,state	"[{""token"": ""CF"", ""start_span"": 3, ""end_span"": 5, ""type"": ""state""}, {""token"": ""twins"", ""start_span"": 6, ""end_span"": 11, ""type"": ""state""}, {""token"": ""CF pediatric"", ""start_span"": 26, ""end_span"": 38, ""type"": ""state""}, {""token"": ""CF"", ""start_span"": 90, ""end_span"": 92, ""type"": ""state""}]"	train
HPLC Measurements Lactate, acetate, formate, and propionate were analyzed using UltiMate 3000 HPLC system ( Thermo Scientific, Waltham, MA, United States) equipped with an Aminex HPX - 87H column ( Bio - Rad, Hercules, CA, United States) and a UV detector.	Lactate,18,25,state	acetate,27,34,state	formate,36,43,state	propionate,49,59,state	"[{""token"": ""Lactate"", ""start_span"": 18, ""end_span"": 25, ""type"": ""state""}, {""token"": ""acetate"", ""start_span"": 27, ""end_span"": 34, ""type"": ""state""}, {""token"": ""formate"", ""start_span"": 36, ""end_span"": 43, ""type"": ""state""}, {""token"": ""propionate"", ""start_span"": 49, ""end_span"": 59, ""type"": ""state""}]"	train
The lakes are kettle lakes of glacial origin and are classed as hard - water lakes, characterized by high calcium carbonate concentrations and slightly alkaline pH ( ranging from 7. 5 to 8. 8).	kettle,14,20,state	glacial,30,37,state	hard - water,64,76,state	high calcium carbonate concentrations,101,138,state	"[{""token"": ""kettle"", ""start_span"": 14, ""end_span"": 20, ""type"": ""state""}, {""token"": ""glacial"", ""start_span"": 30, ""end_span"": 37, ""type"": ""state""}, {""token"": ""hard - water"", ""start_span"": 64, ""end_span"": 76, ""type"": ""state""}, {""token"": ""high calcium carbonate concentrations"", ""start_span"": 101, ""end_span"": 138, ""type"": ""state""}]"	train
Metabolic network analysis reveals microbial community interactions in anammox granules Microbial communities mediating anaerobic ammonium oxidation ( anammox) represent one of the most energy - efficient environmental biotechnologies for nitrogen removal from wastewater.	anammox,71,78,state	anaerobic ammonium oxidation,120,148,state	anammox,151,158,state	nitrogen removal,239,255,state	"[{""token"": ""anammox"", ""start_span"": 71, ""end_span"": 78, ""type"": ""state""}, {""token"": ""anaerobic ammonium oxidation"", ""start_span"": 120, ""end_span"": 148, ""type"": ""state""}, {""token"": ""anammox"", ""start_span"": 151, ""end_span"": 158, ""type"": ""state""}, {""token"": ""nitrogen removal"", ""start_span"": 239, ""end_span"": 255, ""type"": ""state""}]"	train
The microbial inoculum was a previously described low temperature, autotrophic denitrifying culture using SCN as the electron donor ( Broman et al., 2017).	low temperature,50,65,state	autotrophic,67,78,state	denitrifying,79,91,state	SCN as the electron donor,106,131,state	"[{""token"": ""low temperature"", ""start_span"": 50, ""end_span"": 65, ""type"": ""state""}, {""token"": ""autotrophic"", ""start_span"": 67, ""end_span"": 78, ""type"": ""state""}, {""token"": ""denitrifying"", ""start_span"": 79, ""end_span"": 91, ""type"": ""state""}, {""token"": ""SCN as the electron donor"", ""start_span"": 106, ""end_span"": 131, ""type"": ""state""}]"	train
The small intestines of six broiler breeder hens from a single flock were collected post mortem and numbered A1A6.	broiler breeder,28,43,state	hens,44,48,state	from a single flock,49,68,state	post mortem,84,95,state	"[{""token"": ""broiler breeder"", ""start_span"": 28, ""end_span"": 43, ""type"": ""state""}, {""token"": ""hens"", ""start_span"": 44, ""end_span"": 48, ""type"": ""state""}, {""token"": ""from a single flock"", ""start_span"": 49, ""end_span"": 68, ""type"": ""state""}, {""token"": ""post mortem"", ""start_span"": 84, ""end_span"": 95, ""type"": ""state""}]"	train
The anammox bioreactor was operated at room temperature with a hydraulic retention time of 2 days and no biomass wasting, which encouraged the formation of dense granules.	anammox,4,11,state	operated at room temperature,27,55,state	hydraulic retention time of 2 days,63,97,state	no biomass wasting,102,120,state	"[{""token"": ""anammox"", ""start_span"": 4, ""end_span"": 11, ""type"": ""state""}, {""token"": ""operated at room temperature"", ""start_span"": 27, ""end_span"": 55, ""type"": ""state""}, {""token"": ""hydraulic retention time of 2 days"", ""start_span"": 63, ""end_span"": 97, ""type"": ""state""}, {""token"": ""no biomass wasting"", ""start_span"": 102, ""end_span"": 120, ""type"": ""state""}]"	train
Twelve samples were collected from the start - up, steady - state, overloading and recovery periods of the AnMBR process.	start - up,39,49,state	steady - state,51,65,state	overloading,67,78,state	recovery,83,91,state	"[{""token"": ""start - up"", ""start_span"": 39, ""end_span"": 49, ""type"": ""state""}, {""token"": ""steady - state"", ""start_span"": 51, ""end_span"": 65, ""type"": ""state""}, {""token"": ""overloading"", ""start_span"": 67, ""end_span"": 78, ""type"": ""state""}, {""token"": ""recovery"", ""start_span"": 83, ""end_span"": 91, ""type"": ""state""}]"	train
Materials and methods Participant recruitment and sputum collection From July to October of 2012, 6 knowledgeable and compliant cystic fibrosis ( CF) patients were recruited for this study from the Southern Alberta Adult Cystic Fibrosis Clinic.	cystic fibrosis,128,143,state	CF,146,148,state	patients,150,158,state	Cystic Fibrosis,221,236,state	"[{""token"": ""cystic fibrosis"", ""start_span"": 128, ""end_span"": 143, ""type"": ""state""}, {""token"": ""CF"", ""start_span"": 146, ""end_span"": 148, ""type"": ""state""}, {""token"": ""patients"", ""start_span"": 150, ""end_span"": 158, ""type"": ""state""}, {""token"": ""Cystic Fibrosis"", ""start_span"": 221, ""end_span"": 236, ""type"": ""state""}]"	train
Cholesterol ( P < 0. 0001), triglyceride ( TG; P < 0. 0001), and LDL ( P < 0. 05) levels were significantly higher in the HFD group relative to the NCD control group ( Fig. 1AC).	Cholesterol,0,11,state	triglyceride ( TG,28,45,state	LDL,65,68,state	HFD,122,125,state	"[{""token"": ""Cholesterol"", ""start_span"": 0, ""end_span"": 11, ""type"": ""state""}, {""token"": ""triglyceride ( TG"", ""start_span"": 28, ""end_span"": 45, ""type"": ""state""}, {""token"": ""LDL"", ""start_span"": 65, ""end_span"": 68, ""type"": ""state""}, {""token"": ""HFD"", ""start_span"": 122, ""end_span"": 125, ""type"": ""state""}]"	train
Nitrogen and sulfur analyses were performed on all six wells while metagenomic analyses, near - full - length reconstruction of the 16S rRNA gene, NPOC, and CO2 analyses were performed on one well ( Marcellus - 4).	Nitrogen,0,8,state	sulfur,13,19,state	NPOC,147,151,state	CO2,157,160,state	"[{""token"": ""Nitrogen"", ""start_span"": 0, ""end_span"": 8, ""type"": ""state""}, {""token"": ""sulfur"", ""start_span"": 13, ""end_span"": 19, ""type"": ""state""}, {""token"": ""NPOC"", ""start_span"": 147, ""end_span"": 151, ""type"": ""state""}, {""token"": ""CO2"", ""start_span"": 157, ""end_span"": 160, ""type"": ""state""}]"	train
The severity of acute and chronic inflammation was graded on a scale from 0 to 3 ( inflammation scored as follows: 0 for no inflammation, 1 for mild, 2 for moderate, or 3 for marked inflammation) in both the gastric antrum and corpus, leading to a maximum cumulative score of 12.	inflammation,34,46,state	inflammation,83,95,state	inflammation,124,136,state	inflammation,182,194,state	"[{""token"": ""inflammation"", ""start_span"": 34, ""end_span"": 46, ""type"": ""state""}, {""token"": ""inflammation"", ""start_span"": 83, ""end_span"": 95, ""type"": ""state""}, {""token"": ""inflammation"", ""start_span"": 124, ""end_span"": 136, ""type"": ""state""}, {""token"": ""inflammation"", ""start_span"": 182, ""end_span"": 194, ""type"": ""state""}]"	train
Material and methods Operation of fed batch reactors In total, five lab - scale anaerobic double - wall reactors ( total volume 6L; working volume 5L) were operated in parallel.	fed batch,34,43,state	lab - scale,68,79,state	anaerobic,80,89,state	double - wall,90,103,state	"[{""token"": ""fed batch"", ""start_span"": 34, ""end_span"": 43, ""type"": ""state""}, {""token"": ""lab - scale"", ""start_span"": 68, ""end_span"": 79, ""type"": ""state""}, {""token"": ""anaerobic"", ""start_span"": 80, ""end_span"": 89, ""type"": ""state""}, {""token"": ""double - wall"", ""start_span"": 90, ""end_span"": 103, ""type"": ""state""}]"	train
In the gene susceptibility cancer experiment, SIRT3KO mice and WT mice were exposed to an AOM / DSS colon tumor cycle and four DSS cycles, which is one additional cycle than previously described17.	cancer,27,33,state	SIRT3KO,46,53,state	WT,63,65,state	tumor,106,111,state	"[{""token"": ""cancer"", ""start_span"": 27, ""end_span"": 33, ""type"": ""state""}, {""token"": ""SIRT3KO"", ""start_span"": 46, ""end_span"": 53, ""type"": ""state""}, {""token"": ""WT"", ""start_span"": 63, ""end_span"": 65, ""type"": ""state""}, {""token"": ""tumor"", ""start_span"": 106, ""end_span"": 111, ""type"": ""state""}]"	train
Approximately 200m of altitude lower, the two turbid lakes FAS 2 and FAS 3 are most of the year connected and therefore, we sampled only the deeper and larger FAS 3.	turbid,46,52,state	connected,96,105,state	deeper,141,147,state	larger,152,158,state	"[{""token"": ""turbid"", ""start_span"": 46, ""end_span"": 52, ""type"": ""state""}, {""token"": ""connected"", ""start_span"": 96, ""end_span"": 105, ""type"": ""state""}, {""token"": ""deeper"", ""start_span"": 141, ""end_span"": 147, ""type"": ""state""}, {""token"": ""larger"", ""start_span"": 152, ""end_span"": 158, ""type"": ""state""}]"	train
Mesophilic and thermophilic inoculums were obtained from a mesophilic and thermophilic reactor, respectively, located at Research Centre Foulum ( Aarhus University, Denmark).	Mesophilic,0,10,state	thermophilic,15,27,state	mesophilic,59,69,state	thermophilic,74,86,state	"[{""token"": ""Mesophilic"", ""start_span"": 0, ""end_span"": 10, ""type"": ""state""}, {""token"": ""thermophilic"", ""start_span"": 15, ""end_span"": 27, ""type"": ""state""}, {""token"": ""mesophilic"", ""start_span"": 59, ""end_span"": 69, ""type"": ""state""}, {""token"": ""thermophilic"", ""start_span"": 74, ""end_span"": 86, ""type"": ""state""}]"	train
It was previously estimated that the in situ concentrations of methane in the gassy HMMV center could reach 100mM [ 23]. Table 2Porewater chemistry, cell counts, methane oxidation, and sulfate reduction ratesaSO42 ( mM) H2S ( mM) DIC ( mM) Alkalinity ( mM) SiO44 ( M) PO43 ( M) NH4 + ( M) NO3 + NO2 ( M) NO2 ( M) Mox Rate [ mmol m2 d - 1] SR Rate [ mmol m2 d - 1] Cell counts probe DSS - 658bCell counts probe MTMC - 701bCell counts probe ANME - 1249b Zone 1 Mean10. 40. 035. 926. 32783. 42379n. d. n. d. 3. 30. 70. 30. 20Standard Error1. 6 < 0. 011. 53. 425. 70. 5166n. d. n. d. 1. 00. 50. 20. 10No.	methane,63,70,state	gassy,78,83,state	methane,162,169,state	sulfate,185,192,state	"[{""token"": ""methane"", ""start_span"": 63, ""end_span"": 70, ""type"": ""state""}, {""token"": ""gassy"", ""start_span"": 78, ""end_span"": 83, ""type"": ""state""}, {""token"": ""methane"", ""start_span"": 162, ""end_span"": 169, ""type"": ""state""}, {""token"": ""sulfate"", ""start_span"": 185, ""end_span"": 192, ""type"": ""state""}]"	train
All reactors were inoculated with crushed anaerobic granular sludge which was taken from a full - scale up - flow anaerobic sludge bed ( UASB) reactor, treating pulp and paper industry effluents ( Industriewater Eerbeek, Eerbeek, The Netherlands).	anaerobic,42,51,state	full - scale,91,103,state	up - flow,104,113,state	anaerobic,114,123,state	"[{""token"": ""anaerobic"", ""start_span"": 42, ""end_span"": 51, ""type"": ""state""}, {""token"": ""full - scale"", ""start_span"": 91, ""end_span"": 103, ""type"": ""state""}, {""token"": ""up - flow"", ""start_span"": 104, ""end_span"": 113, ""type"": ""state""}, {""token"": ""anaerobic"", ""start_span"": 114, ""end_span"": 123, ""type"": ""state""}]"	train
High Prevalence of Quorum - Sensing and Quorum - Quenching Activity among Cultivable Bacteria and Metagenomic Sequences in the Mediterranean Sea There is increasing evidence being accumulated regarding the importance of N - acyl homoserine lactones ( AHL) - mediated quorum - sensing ( QS) and quorum - quenching ( QQ) processes in the marine environment, but in most cases, data has been obtained from specific microhabitats, and subsequently little is known regarding these activities in free - living marine bacteria.	Quorum - Sensing,19,35,state	Quorum - Quenching,40,58,state	marine,336,342,state	marine,504,510,state	"[{""token"": ""Quorum - Sensing"", ""start_span"": 19, ""end_span"": 35, ""type"": ""state""}, {""token"": ""Quorum - Quenching"", ""start_span"": 40, ""end_span"": 58, ""type"": ""state""}, {""token"": ""marine"", ""start_span"": 336, ""end_span"": 342, ""type"": ""state""}, {""token"": ""marine"", ""start_span"": 504, ""end_span"": 510, ""type"": ""state""}]"	train
